process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
53971.1 2.53574e-05 0.0377003 6.99702 2.70985 3.03406 0.101095 0.186572 0.221177 0.255339 0.333403 0.536954 0.976923 0.457782 2.3895 0.267907 0.257262 0.395507 0.280752 0.188779 0.170309 0.221365 0.213068 0.264512 0.376729 0.428497 0.423636 0.338534 0.345437 0.400886 0.350017 0.340078 0.370751 0.300194 0.200631 0.210579 0.18514 0.235051 0.300004 0.331236 0.330921 0.276007 0.245635 0.237728 0.204827 0.190247 0.22454 0.175883 0.282755 0.305814 0.302127 
covariance_matrix:
-17.3189 2.49335e-08 4.70864e-05 -0.000202939 0.000880644 -1.79204e-05 1.92083e-05 -0.00018115 0.0222256 -0.000179991 -0.00215418 -0.00793748 0.01165 -0.00289094 0.00348569 0.00169964 0.000520599 0.00243328 -0.00051488 0.00086677 0.000400883 8.92987e-05 0.000947482 0.0014124 0.00155153 0.000729018 0.00182847 0.00126458 0.00106127 0.000909374 0.00130019 0.00125952 0.00133194 0.00118976 0.000792112 0.000656671 0.000632483 0.000628711 0.000925155 0.00106789 0.00108901 0.000485628 0.000723018 0.000313264 0.000149968 -9.56286e-05 0.000433176 6.34385e-05 0.000162058 -0.00180639 -6.16909e-05 
94.1952 -2.74711e-08 -4.65744e-05 -0.000424277 -0.000179922 -3.80476e-05 -1.24567e-06 0.000546421 -0.000179991 0.0302004 -0.00872813 -0.00522895 0.00774749 0.00224083 -0.000666116 0.000580614 0.00143538 0.000181956 0.000353288 5.35976e-05 -3.15558e-05 0.000536191 0.000476313 8.0736e-05 0.00223739 -0.000238219 0.00203334 4.2423e-05 0.000882536 0.000190751 0.000555071 0.00093859 0.000750653 0.000530314 0.00076777 0.00025694 0.000721481 0.000347558 0.000839737 0.000818474 0.00082063 0.000371561 0.000686486 0.000222114 0.000249724 0.000895305 0.000709031 -0.000422308 -0.000807919 0.000758362 0.000882994 
120.518 -4.13913e-08 -7.66917e-05 0.00164773 0.000644408 -1.47379e-05 -1.83842e-05 0.000196854 -0.00215418 -0.00872813 0.0627738 -0.0278056 -0.00446677 0.00614108 0.0124972 -2.00264e-05 0.00233801 0.000340313 0.000561414 0.00029169 0.00135606 0.00108914 0.000589693 0.00107045 0.00159609 -0.000192487 0.00220704 0.00168164 0.00192705 0.000872408 0.00155053 0.00218103 0.00122377 0.00124422 0.00125831 0.000529413 0.00135413 0.000812241 0.00153523 0.0018742 0.00155866 0.00168171 0.00155104 0.000854353 0.00178709 0.00104277 -0.00013318 0.00132028 3.11523e-05 0.00168088 0.00354843 
-94.7233 6.79115e-08 0.000219876 -0.00533837 -0.00413662 0.000125598 -0.000102038 -0.000964289 -0.00793748 -0.00522895 -0.0278056 0.233449 -0.180493 0.0159525 0.0744395 -0.000260298 -0.00346714 0.00755041 0.00709714 -0.00054743 0.00249891 0.00262471 0.000746912 0.00444102 0.00345674 0.012143 0.00216814 0.00395485 0.00473815 0.00469326 0.00277864 0.00533207 0.00479444 0.00392286 0.00244307 0.00335961 0.00157514 0.00345725 0.00360697 0.00396796 0.00426869 0.00276353 0.0025894 0.00226346 0.00161093 0.00313347 0.00383502 0.0021479 -0.00845946 -0.0117762 0.00602769 
235.515 -3.98194e-08 -0.000217956 0.00808581 0.0139457 -6.29692e-05 0.000305514 0.00220673 0.01165 0.00774749 -0.00446677 -0.180493 0.406405 -0.117209 -0.00469047 0.0070022 0.00518758 0.00973976 0.00116962 0.00484968 0.00368961 -0.00112611 0.00869847 0.00124062 0.00658857 0.00409354 0.0072864 0.00860563 0.00136364 0.011495 0.005227 0.00612449 0.00725332 0.00562796 0.00388746 0.00386272 0.00360308 0.00456979 0.00594417 0.00707295 0.0061241 0.00681726 0.00444576 0.00518396 0.0043253 0.00148032 0.00379633 -0.00117468 0.0068864 0.0118026 -0.024578 
-104.336 1.29561e-08 2.29085e-05 0.00104629 3.62289e-05 -0.000114101 -0.000213538 -0.000381897 -0.00289094 0.00224083 0.00614108 0.0159525 -0.117209 0.178858 -0.0966663 0.0081934 0.0107323 -0.00951763 0.0043254 -0.00143448 -0.000855404 0.0037649 -0.00272924 0.00283514 0.000515534 -0.00115403 0.00087399 -0.000487992 0.00324667 -0.00491406 0.00443892 -0.00163741 0.000633725 3.38385e-05 0.000219296 -0.000520458 0.000272666 -0.00048364 -0.000244565 -0.000577452 -0.00088783 -0.000809146 -0.000637318 -0.00078315 4.21416e-05 -0.00155667 -0.00207958 0.000775348 0.000730894 0.00397737 0.017562 
-155.157 1.12428e-07 0.000161796 0.00358475 0.00493004 -5.73114e-05 0.000212465 0.000943333 0.00348569 -0.000666116 0.0124972 0.0744395 -0.00469047 -0.0966663 0.463987 -0.0318319 -0.00585617 0.0334864 0.0139566 0.0119218 0.0124773 0.00840971 0.0177567 0.0138504 0.0236451 0.027465 0.0264195 0.0263416 0.0146282 0.0336888 0.0182031 0.0257231 0.024108 0.0201233 0.0125068 0.0143674 0.0111491 0.015737 0.0193838 0.0212875 0.0210854 0.0177236 0.0145443 0.0153025 0.0106806 0.0125471 0.0103881 0.00445813 -0.00456429 -0.00978436 -0.0149667 
-56.954 3.82294e-08 4.03776e-05 0.00208925 0.00287262 -1.2877e-05 1.10331e-06 6.47734e-05 0.00169964 0.000580614 -2.00264e-05 -0.000260298 0.0070022 0.0081934 -0.0318319 0.0329885 -0.00311107 -0.00244292 0.00127792 0.000721331 0.000384502 -0.000161306 0.00072033 4.79591e-05 0.0008747 -0.000103601 0.000834284 0.000854649 0.000186196 0.00056179 0.00102695 -8.00415e-06 0.000780536 0.000163907 0.000374478 5.66707e-05 0.000344799 0.000217432 0.000386658 0.000346202 4.80569e-05 0.000746476 -0.000143376 0.000877256 0.000390289 -0.000272932 0.00119385 -0.000934748 0.00291304 0.00231241 -0.0021535 
46.4714 -2.55558e-08 -3.96063e-05 0.00104734 0.00165453 2.2259e-05 -1.73224e-05 -0.000143805 0.000520599 0.00143538 0.00233801 -0.00346714 0.00518758 0.0107323 -0.00585617 -0.00311107 0.0275986 -0.0132713 0.00247783 0.000721494 0.00150955 0.000374529 0.000455342 0.000746862 0.00175887 0.00094665 0.00181354 0.00111002 0.000229822 0.00182365 0.00103051 0.00120383 0.00143598 0.000960152 0.0011121 0.000565763 0.00103615 0.000855443 0.00134284 0.00142656 0.00146843 0.00137388 0.000899741 0.00096506 0.0013707 -0.000103025 0.00186784 0.00115286 -0.00138318 0.00182751 0.0004532 
-128.156 6.45377e-08 8.21456e-05 -0.000582439 0.00110906 -7.42562e-05 5.56708e-05 2.54267e-07 0.00243328 0.000181956 0.000340313 0.00755041 0.00973976 -0.00951763 0.0334864 -0.00244292 -0.0132713 0.0382579 -0.0110889 0.00318364 8.49536e-05 0.00219826 0.00234105 0.000990615 0.00344307 0.00348271 0.0034888 0.00337768 0.0029434 0.00355877 0.00302549 0.00311045 0.00326092 0.00258105 0.00156281 0.00180697 0.00122478 0.00182671 0.00222397 0.00236164 0.00252283 0.00181967 0.00184993 0.00114473 0.00139692 0.000828616 4.55128e-05 6.72757e-05 0.00152067 -0.00228622 -0.00397474 
