*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14199.6 47.3306 0.0597765 3.03932 0.190614 3.3145 1.03325 0.235225 0.232175 0.233214 0.241989 0.264643 0.314841 0.416172 0.601743 0.902116 1.37833 1.56001 1.02891 0.847878 0.846852 1.06536 1.54897 1.05327 0.803063 0.816688 0.628378 0.802061 0.745814 0.467129 1.09423 0.921275 0.384129 0.905891 0.709813 0.835568 0.426294 1.28746 0.690332 0.736378 0.561555 0.439783 
covariance_matrix:
2.57037 -0.00401339 1.75941e-05 -0.000934337 -0.00436305 -0.000149027 -0.000837403 -0.000109707 0.00770126 -0.000121188 -7.42836e-05 3.32924e-05 0.000217051 0.000390413 0.000125126 0.000535542 0.000697308 0.00441713 0.00080383 0.000799843 0.00100819 0.000849594 0.00463656 0.000148957 0.000970035 0.00112005 0.000838466 0.00114263 0.00104853 0.000845195 0.00106363 0.000975715 0.000481817 0.00143167 0.00106449 0.0011316 0.000568191 0.00177737 0.00108046 0.00115716 0.000950806 0.000627119 
2.5405 -0.00477445 2.61451e-05 -0.00114457 -0.00536735 -0.000175099 -0.00081725 -0.000102845 -0.000121188 0.00777379 -6.91326e-05 3.89699e-05 0.000230771 0.000380825 4.01852e-05 0.000386486 0.000728232 0.00454668 0.000760232 0.000770929 0.0010091 0.00090688 0.00468668 0.000118869 0.000936663 0.00117872 0.000888162 0.00118668 0.00109719 0.000831263 0.00103375 0.0009549 0.00048933 0.00147451 0.00105521 0.00114043 0.000582407 0.00181421 0.00109494 0.00119519 0.000988887 0.000655587 
2.66224 -0.00618571 4.48317e-05 -0.00170091 -0.00804828 -0.000182703 -0.000794127 -5.55432e-05 -7.42836e-05 -6.91326e-05 0.00837823 8.68583e-05 0.000297325 0.000422275 -7.79762e-05 0.000101902 0.00072606 0.00503152 0.000660919 0.00071427 0.000997619 0.000973743 0.00501526 8.21699e-05 0.000935382 0.00133516 0.0010091 0.00132433 0.00126354 0.000859769 0.00101648 0.00095733 0.000534987 0.00158647 0.00109297 0.00118864 0.000640428 0.00190985 0.00114985 0.00128953 0.00106105 0.00070315 
3.06876 -0.00874046 8.16015e-05 -0.00309649 -0.0147903 -0.000189733 -0.000804645 5.25774e-05 3.32924e-05 3.89699e-05 8.68583e-05 0.00992515 0.000461907 0.000587064 -0.000314463 -0.000412723 0.000362614 0.00628573 0.000543674 0.000681574 0.00102972 0.00101837 0.00589718 -0.000187943 0.00086207 0.00158789 0.00132686 0.0016612 0.00166676 0.000934942 0.00103472 0.000973785 0.000634203 0.0018201 0.00118702 0.00129993 0.000769398 0.00209597 0.00127961 0.00146855 0.00119202 0.000819995 
4.37816 -0.0135226 0.000173732 -0.00686219 -0.0329894 -0.000375077 -0.00121507 0.000235602 0.000217051 0.000230771 0.000297325 0.000461907 0.0134845 0.000884418 -0.00124486 -0.00131181 -0.00143562 0.00934859 0.000984928 0.000698425 0.000947079 0.000777484 0.00787993 -0.00194507 -5.30243e-05 0.00222289 0.00216807 0.00228957 0.00270368 0.000894916 0.00097909 0.000879167 0.000821848 0.00215039 0.00122177 0.00149438 0.000880123 0.00234069 0.00151818 0.00175509 0.00151379 0.00104886 
2.75699 -0.0080428 -0.000112547 -0.00326359 -0.0149441 -0.000973951 -0.00262126 0.000421048 0.000390413 0.000380825 0.000422275 0.000587064 0.000884418 0.0273935 -0.00464658 -0.00947898 -0.00779727 0.0150883 0.00104814 0.00771104 0.00350544 -0.00801328 0.0150639 0.00539124 -0.0019913 -0.000760186 0.000913534 0.000707255 0.00445832 0.00177117 0.00324132 0.00241379 0.00106611 0.00272402 0.0017285 0.00214549 0.00115557 0.00355045 0.00217645 0.00246107 0.00169983 0.00117214 
7.29594 -0.0280913 0.000148263 -0.00516482 -0.0252957 -0.000807908 0.00341607 0.000199755 0.000125126 4.01852e-05 -7.79762e-05 -0.000314463 -0.00124486 -0.00464658 0.0850188 -0.0254548 -0.0508239 0.0255323 0.0123951 0.00361849 0.00342252 0.01063 -1.42795e-05 0.00593589 0.00345964 0.00480675 0.00406127 0.00390225 -0.000902095 0.00318712 0.00552045 0.00267732 0.00116706 0.00492731 0.00233447 0.00372974 0.00148258 0.00649165 0.00306333 0.00376969 0.00322561 0.00260588 
3.0096 -0.0315245 2.2036e-05 0.0212409 0.106459 -0.00347004 -0.0095973 0.000610708 0.000535542 0.000386486 0.000101902 -0.000412723 -0.00131181 -0.00947898 -0.0254548 0.257925 -0.227682 0.0552383 0.00503898 0.00116831 0.00999929 0.00812499 0.0344894 -0.00805221 0.00936854 0.00400231 0.00261006 0.00359456 0.00776229 0.00404813 0.0067132 0.00518594 0.00145412 0.00824951 0.00595245 0.00517905 0.00385498 0.0102513 0.0042498 0.00543385 0.00480715 0.00391063 
27.2584 -0.108099 0.00192053 0.149102 0.724957 0.00121207 0.00830914 0.000738549 0.000697308 0.000728232 0.00072606 0.000362614 -0.00143562 -0.00779727 -0.0508239 -0.227682 1.14119 -0.963763 0.090848 0.0436638 0.0504495 0.0691656 -0.0267558 -0.0183061 0.026163 -0.00759047 -0.00692704 0.0356008 0.0058515 0.0007301 0.00292546 -0.00307855 0.00331176 0.00905162 0.00253575 0.00738288 0.00157312 0.00930859 0.00580134 0.00823107 0.00872378 0.00400155 
-50.8193 0.150803 -0.00189359 -0.191932 -0.933289 2.3281e-05 -0.00825649 0.00439453 0.00441713 0.00454668 0.00503152 0.00628573 0.00934859 0.0150883 0.0255323 0.0552383 -0.963763 1.55927 -0.392053 -0.10406 -0.0661917 -0.0607139 0.195356 0.0294539 -0.0177013 0.029593 0.0285281 -0.0163068 0.0151058 0.0118956 0.0445505 0.032905 0.0108269 0.0169941 0.0164594 0.0219715 0.00844843 0.0268997 0.0137941 0.0107055 0.00533441 0.00296377 
