*mpd[__mpd__]
estimate_values:
process[Recruit_BH].b0 growth_increment[female_growth].min_sigma process[Recruit_BH].ycs_values{1985} process[Recruit_BH].ycs_values{1986} process[Recruit_BH].ycs_values{1987} process[Recruit_BH].ycs_values{1988} process[Recruit_BH].ycs_values{1989} process[Recruit_BH].ycs_values{1990} process[Recruit_BH].ycs_values{1991} process[Recruit_BH].ycs_values{1992} process[Recruit_BH].ycs_values{1993} process[Recruit_BH].ycs_values{1994} process[Recruit_BH].ycs_values{1995} process[Recruit_BH].ycs_values{1996} process[Recruit_BH].ycs_values{1997} process[Recruit_BH].ycs_values{1998} process[Recruit_BH].ycs_values{1999} process[Recruit_BH].ycs_values{2000} process[Recruit_BH].ycs_values{2001} process[Recruit_BH].ycs_values{2002} process[Recruit_BH].ycs_values{2003} process[Recruit_BH].ycs_values{2004} process[Recruit_BH].ycs_values{2005} process[Recruit_BH].ycs_values{2006} process[Recruit_BH].ycs_values{2007} process[Recruit_BH].ycs_values{2008} process[Recruit_BH].ycs_values{2009} process[Recruit_BH].ycs_values{2010} process[Recruit_BH].ycs_values{2011} process[Recruit_BH].ycs_values{2012} process[Recruit_BH].ycs_values{2013} process[Recruit_BH].ycs_values{2014} process[Recruit_BH].ycs_values{2015} process[Recruit_BH].ycs_values{2016} process[Recruit_BH].ycs_values{2017} process[Recruit_BH].ycs_values{2018} process[Recruit_BH].ycs_values{2019} process[Recruit_BH].ycs_values{2020} process[Recruit_BH].ycs_values{2021} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
-1.02899 -0.00207074 0.00136266 0.00114987 0.000323339 0.00332476 0.0222276 -0.00800818 0.0130477 0.00173076 0.00163955 0.00199125 0.00205432 0.00224406 0.00272582 0.00212361 0.00248626 0.00303719 0.00265075 0.003138 0.00242558 0.0029787 0.00255801 0.00296055 0.00501872 0.00259868 0.00496652 0.00424524 0.00402045 0.00167158 0.00275784 0.00541934 0.00138668 0.0034709 0.00484019 0.0068347 0.00266113 -0.000996005 0.000425256 -6.92658e-05 2.52946e-05 -0.00375269 -0.00562678 4.42491e-06 0.00305119 -0.00118153 -1.10405e-05 0.0287474 -0.0701345 -0.000212459 0.00603056 0.00126432 0.000284886 -0.00238157 0.00226801 -0.00175158 0.00311536 
-1.22171 -0.000676196 0.000619487 0.000418572 0.00110673 0.00191647 0.0127408 0.0037948 0.00173076 0.00673403 0.000744408 0.00169668 0.00144272 0.00186213 0.00241604 0.00165659 0.00223724 0.00222569 0.00268324 0.00150314 0.0029252 0.00169476 0.00252019 0.00227174 0.0043014 0.00235139 0.00397897 0.00403098 0.00159914 0.00365122 0.00118978 0.00333704 0.00239294 0.00247483 0.00415156 0.0065024 0.0020184 2.10507e-06 -0.000220003 -4.96716e-05 7.86592e-05 0.00117485 -0.000459733 -3.41248e-05 0.00523155 0.00283593 -1.8407e-05 0.0147579 0.0246661 -0.000124901 -0.00070585 0.00196333 -8.30149e-05 0.00202124 0.00193483 0.00205738 0.00196032 
-0.514482 0.000230804 0.000366537 0.000230586 0.000649066 0.00129923 0.00861369 0.000328627 0.00163955 0.000744408 0.00359569 0.000258195 0.000894782 0.000723906 0.00131109 0.000970987 0.00110125 0.00134235 0.00119834 0.00131965 0.00123549 0.00129746 0.00112232 0.00132016 0.00236255 0.00132688 0.00220377 0.00209169 0.00115196 0.00191557 0.00062417 0.00179108 0.00141346 0.00128687 0.0024061 0.0032646 0.0013129 -0.000616633 0.00114573 6.3561e-06 6.78108e-05 0.0019757 0.00141302 2.38014e-05 0.0049359 0.0020252 1.47463e-06 0.0122398 -0.0178769 -3.73853e-05 0.00325256 0.00299153 -7.24072e-05 0.000321316 0.000103798 0.00062905 -0.000135701 
-1.01837 -0.00173517 0.000963092 0.000813056 0.000899488 0.00230785 0.0108129 0.00238368 0.00199125 0.00169668 0.000258195 0.00571842 0.000139449 0.00135162 0.00177623 0.00142333 0.00228163 0.00162347 0.0023786 0.000730019 0.00274651 0.00127752 0.00209562 0.00181724 0.00349854 0.00192691 0.00364489 0.00334591 0.00155742 0.00223744 0.00128523 0.00298706 0.00195915 0.00219044 0.00292533 0.00536328 0.000997706 0.000531574 -0.00192713 0.000107012 -0.000142767 -0.00398201 -0.00488681 -5.67521e-05 -0.000195739 0.000862287 -2.69128e-06 -0.0115391 -0.000406079 -0.000111679 -0.00422086 -0.00314974 7.50736e-05 0.000604461 0.00281085 0.000635954 0.00348572 
-0.30205 0.000469638 0.000405384 0.000502358 0.0010128 0.00142603 0.0130248 0.000383185 0.00205432 0.00144272 0.000894782 0.000139449 0.00487198 0.000142276 0.00127625 0.00110233 0.0017661 0.00177504 0.00182104 0.00107373 0.00191009 0.00170451 0.00152036 0.00184531 0.00331223 0.00164807 0.00295838 0.00292637 0.00166482 0.00264046 0.00104775 0.00212084 0.00173273 0.0016351 0.00372078 0.00426293 0.00136954 -0.000651216 0.0012337 7.75146e-05 -7.66356e-05 0.00202462 -0.000102875 -1.7924e-05 0.00932096 0.00129128 -3.68538e-05 0.00310244 0.00484512 3.11963e-05 0.00401203 -0.000917707 -0.00012932 -0.000913901 -0.000847959 -0.000800036 -0.0010912 
-0.641487 -4.96598e-05 0.000771359 0.000669332 0.00101726 0.00167341 0.0107907 0.00158986 0.00224406 0.00186213 0.000723906 0.00135162 0.000142276 0.00440412 0.000562456 0.00106345 0.00160362 0.00192793 0.00176998 0.00111581 0.00213203 0.00112803 0.00191072 0.00171184 0.00341109 0.00156436 0.00313807 0.00322337 0.00104887 0.00197631 0.00107566 0.00245453 0.00176353 0.00201741 0.00270693 0.00449071 0.000949763 0.000106036 -0.0007811 -9.07583e-05 9.09639e-05 0.00466822 0.00211414 -5.2863e-05 0.00632488 -7.30937e-05 -3.28458e-05 0.00707811 0.0105574 -0.00011701 0.00176758 0.00248815 0.000122287 -0.000512504 0.000176193 -7.00285e-05 0.000292289 
-0.451083 6.62512e-05 0.000827538 0.00100818 0.00112653 0.00205798 0.0162391 0.0017661 0.00272582 0.00241604 0.00131109 0.00177623 0.00127625 0.000562456 0.00597609 0.000345832 0.00228574 0.00166007 0.00320095 0.00123197 0.00269243 0.00202704 0.00223981 0.00252235 0.00444989 0.00217558 0.00410076 0.00406792 0.00191386 0.00339664 0.00145943 0.00351911 0.00210073 0.00241555 0.00471497 0.00586578 0.00182854 -0.000434949 -0.000234868 0.000122187 -9.2214e-05 0.00308916 -0.000213638 1.69849e-05 0.00113378 -0.0032644 2.9353e-05 -0.0031458 0.00508983 -7.38703e-05 0.00028974 -0.000986014 -2.35966e-05 -0.000342263 -9.2499e-05 4.76414e-05 -0.000172938 
-0.270031 -0.000386937 0.000854852 0.000576235 0.00104962 0.00188914 0.0108419 0.000997201 0.00212361 0.00165659 0.000970987 0.00142333 0.00110233 0.00106345 0.000345832 0.00440173 9.50861e-05 0.00211963 0.0014532 0.00124996 0.0021556 0.00113213 0.00175857 0.00157693 0.00310376 0.00175242 0.00284024 0.00278861 0.00166662 0.00201436 0.00101584 0.00248718 0.00170014 0.00179181 0.00277797 0.00428752 0.000879032 -0.000237327 0.000520056 4.24657e-06 -1.8547e-05 0.00327759 0.00214344 -7.3988e-05 0.00273979 0.0019254 -1.42481e-05 0.00218695 0.000719015 -2.96641e-05 -0.00092562 -0.00165525 4.51188e-05 -0.0003281 0.000350936 -0.000399638 0.000495221 
-0.401521 0.000159315 0.000573761 0.000969485 0.00111368 0.00232915 0.017118 0.00145778 0.00248626 0.00223724 0.00110125 0.00228163 0.0017661 0.00160362 0.00228574 9.50861e-05 0.00666216 0.0002682 0.00310902 0.00105836 0.00301626 0.00199561 0.00238205 0.00263351 0.00443613 0.00241482 0.00444647 0.00430896 0.00193232 0.003187 0.00159514 0.00325426 0.00230298 0.00247834 0.00449897 0.006663 0.00163177 -0.000314066 -0.000195517 6.77456e-05 -1.7653e-06 -0.00121952 -0.0075981 2.39952e-05 0.00443943 -0.000818751 1.57489e-05 0.00294717 0.0163903 -6.20859e-05 0.000516985 -0.000923542 -0.000128196 -0.00122883 -0.000224931 -0.000512116 -0.000249996 
0.00335867 0.000593641 0.00170482 0.00126249 0.0019764 0.00234571 0.0160523 0.0019294 0.00303719 0.00222569 0.00134235 0.00162347 0.00177504 0.00192793 0.00166007 0.00211963 0.0002682 0.00871991 0.000524714 0.00186032 0.00250251 0.00183852 0.0026107 0.00224666 0.00456096 0.00277563 0.00391911 0.00445179 0.002467 0.00329099 0.00120895 0.00391897 0.00253867 0.00243631 0.00422608 0.00602694 0.00161805 -0.000172885 -0.000178547 -0.000155141 -3.61516e-05 0.00632699 0.00662924 -0.000153109 0.00178724 0.00281365 -3.80907e-05 -0.00836893 -0.000168174 -2.75171e-05 0.0061 0.0168755 0.000293588 0.00109343 -0.00107241 0.000716203 -0.00133204 
