process[Recruitment].b0 selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} 
52706.6 9.6061 5.44352 11.6161 10.9063 3.51779 7.05112 6.57335 3.05853 8.04371 1.02704 1.05104 1.06949 1.08053 1.08285 1.07382 1.05133 1.02563 1.00994 0.423064 0.474214 0.515828 0.379063 0.52116 0.439916 0.665933 0.988908 0.749345 0.64362 0.583763 0.481226 0.316727 0.299232 0.218348 0.328061 0.216705 0.324133 0.910999 0.518746 0.429975 0.18533 0.304414 0.257298 0.229264 0.259707 3 3 
covariance_matrix {matrix}
-413.429 0.00948678 0.00106998 0.0452755 0.0100814 0.00409064 0.0187734 0.00840567 0.00797229 0.0180722 0.000471862 0.000865415 0.00153586 0.00209016 0.0027773 0.00354482 0.00384022 0.004275 0.00450424 0.00409572 0.00313827 0.00345849 0.00253881 0.00460827 0.00319613 0.00569433 0.00851456 0.00795093 -0.000208332 0.0194955 0.000896447 0.00292142 0.0026591 0.00177611 0.00286502 0.00132288 0.00231148 0.00658796 0.00339835 0.00256007 0.000949663 0.00180353 0.0015281 0.000865907 0.000784639 -1.12794e-07 4.92136e-09 
-326.641 0.00720093 -0.000537047 0.0412293 0.00798623 0.00287977 0.0160173 0.00296903 0.000848636 0.0185061 0.000351324 0.000718643 0.00121826 0.00161604 0.00218365 0.0028952 0.00319694 0.00350925 0.00367888 0.00319693 0.00260303 0.00309227 0.00223448 0.00363431 0.00286806 0.00490792 0.00755168 0.00564886 0.00531638 0.000896447 0.0139293 -0.000111103 0.00239055 0.00146897 0.00214982 0.00125975 0.00195684 0.00542832 0.00295187 0.00224935 0.00094085 0.00179191 0.00143732 0.000938784 0.000864333 -7.40835e-08 -1.91489e-09 
-196.741 0.00595864 0.000299826 0.0233821 0.00678467 0.00247241 0.00575612 0.00548868 0.00552186 0.00872378 0.00025203 0.000396851 0.000666073 0.000976881 0.00130744 0.00172972 0.00196795 0.00211876 0.00219517 0.00196878 0.00165872 0.00195786 0.00124526 0.00219026 0.00172293 0.00328888 0.00463282 0.00342398 0.00293921 0.00292142 -0.000111103 0.00888214 -0.000543906 0.00113078 0.00119155 0.000850327 0.00128521 0.00339065 0.00205542 0.00179985 0.000657858 0.00116119 0.00101176 0.000619897 0.000499242 -2.02914e-08 -5.37114e-09 
-176.326 0.0048158 -0.000816196 0.0225452 0.00529461 0.00154503 0.00884779 0.0037015 0.00247572 0.0088814 0.00024393 0.000534937 0.000943533 0.00113367 0.00148903 0.00191503 0.00195966 0.00200303 0.00212963 0.00209222 0.00150506 0.00176562 0.00138986 0.00227695 0.00163919 0.00293109 0.0045615 0.00357565 0.00291355 0.0026591 0.00239055 -0.000543906 0.00810105 -0.000887477 0.00169579 0.000572086 0.00122102 0.00374789 0.00171096 0.00151546 0.000582487 0.00113363 0.00101144 0.000476789 0.000302657 -3.38444e-08 2.22171e-10 
-124.831 0.00345983 0.000173865 0.0179606 0.00622276 0.00279206 0.00168911 0.00200059 0.000973343 0.00688577 0.000146591 0.00034568 0.000513944 0.000862945 0.000985511 0.00121809 0.0012936 0.00135672 0.00139693 0.00113388 0.00110635 0.0013386 0.000961187 0.00135412 0.00125009 0.00218844 0.00312996 0.00225828 0.00216866 0.00177611 0.00146897 0.00113078 -0.000887477 0.00699262 -0.00144773 0.001058 0.000880952 0.00232533 0.00131599 0.00112718 0.000289736 0.000831292 0.000554196 0.000496956 0.00029648 -6.31155e-09 -2.62069e-09 
-162.61 0.00631305 0.000321959 0.0226358 0.00816087 0.00310372 0.00730644 0.00287344 0.00137682 0.0106651 0.0002106 0.000316009 0.000768297 0.000974804 0.00136774 0.00174124 0.00165069 0.00192549 0.0021024 0.00232611 0.00149467 0.00182427 0.00120931 0.00250837 0.0013015 0.0026733 0.0040785 0.00312812 0.00250297 0.00286502 0.00214982 0.00119155 0.00169579 -0.00144773 0.0108618 -0.00171541 0.00197645 0.00486684 0.00215238 0.001951 0.000854048 0.0010545 0.00127259 0.000570889 0.000447386 -1.09369e-07 1.78176e-08 
-93.5527 0.00436033 0.0019786 0.0146604 0.00488095 0.00105633 -0.000450616 0.00202902 0.00179976 0.00566435 0.000153979 0.000137072 0.000291885 0.00073373 0.000727412 0.000850065 0.000865083 0.00108273 0.00120647 0.000876161 0.0010321 0.00121353 0.000795406 0.000943098 0.00109742 0.00156693 0.00249779 0.00180859 0.00157848 0.00132288 0.00125975 0.000850327 0.000572086 0.001058 -0.00171541 0.00832005 -0.00188409 0.0031906 0.00166458 0.00111051 0.000391094 0.00102584 0.000337765 0.000501098 0.000270634 -8.05943e-08 -9.9207e-11 
-125.976 0.00655279 -0.00040417 0.0211773 0.00759072 0.00322335 0.00648365 0.0012495 -0.000273541 0.0113936 0.000167665 0.000243317 0.000506621 0.000724394 0.00108487 0.00137718 0.001378 0.00152683 0.00164184 0.00192753 0.0015478 0.00172451 0.00124955 0.00249309 0.0012104 0.00266792 0.00382387 0.00286126 0.00257982 0.00231148 0.00195684 0.00128521 0.00122102 0.000880952 0.00197645 -0.00188409 0.0135746 -0.000103339 0.00327405 0.00218212 0.000934876 0.00124313 0.00165811 0.000887111 0.000636081 -6.09889e-08 1.37221e-08 
-174.195 0.0152856 -0.000532346 0.0552519 0.00301 -0.00344788 0.0226878 -0.00393095 -0.00501216 0.0326011 0.000778856 0.00134459 0.00228578 0.00283977 0.00378108 0.00467154 0.00490295 0.00535352 0.00544738 0.00550868 0.003615 0.00514322 0.00343964 0.00537004 0.00445176 0.00680733 0.0105497 0.00820549 0.00672475 0.00658796 0.00542832 0.00339065 0.00374789 0.00232533 0.00486684 0.0031906 -0.000103339 0.0426609 0.0019335 0.0078267 0.00277177 0.00510001 0.00381303 0.0026322 0.00166284 -2.61841e-07 -1.41963e-09 
-80.2439 0.0136854 0.00280797 0.0187831 -0.00192575 -0.00496809 0.0128256 0.00995208 0.0104502 0.00931984 0.000330533 0.000241785 0.00057526 0.00103714 0.00145436 0.0020238 0.00212713 0.00233038 0.00244143 0.00254946 0.00260075 0.00221649 0.00131058 0.00299159 0.00208414 0.00405294 0.00547767 0.00398198 0.00339999 0.00339835 0.00295187 0.00205542 0.00171096 0.00131599 0.00215238 0.00166458 0.00327405 0.0019335 0.0256891 -0.000324901 0.00238365 0.00279959 0.00278217 0.00184102 0.000871307 -7.31862e-08 1.19478e-08 
-76.3434 0.0106808 -0.00230107 0.0203384 0.00502769 0.00169452 0.00482083 0.0119373 0.0102824 0.00553733 0.000189683 0.000170378 0.000342728 0.000547164 0.000866995 0.00112729 0.00124101 0.00152094 0.00163645 0.00209767 0.00118298 0.00213415 0.00122972 0.00236723 0.00165854 0.00369798 0.00408905 0.0028055 0.00318875 0.00256007 0.00224935 0.00179985 0.00151546 0.00112718 0.001951 0.00111051 0.00218212 0.0078267 -0.000324901 0.021111 -0.000690793 0.00311673 0.00262756 0.00176644 0.00142247 -1.50259e-07 -1.11665e-09 
-10.1362 0.00456196 -0.00105405 0.00462059 0.00302351 0.00134713 0.00162534 0.000374223 -0.00152125 0.00510459 5.95867e-05 -0.000103698 4.71012e-05 4.00444e-05 7.94209e-05 0.000341244 0.000154777 0.000387042 0.00050693 0.00060156 0.000686138 0.000511144 0.000284688 0.000645892 0.000882772 0.000981122 0.00143482 0.00119024 0.000748717 0.000949663 0.00094085 0.000657858 0.000582487 0.000289736 0.000854048 0.000391094 0.000934876 0.00277177 0.00238365 -0.000690793 0.00822384 -0.000136482 0.00135705 0.000794116 0.000212134 -6.42431e-08 1.12683e-08 
-75.3095 0.0087958 -0.00407077 0.0120926 0.0036291 0.000994613 0.00593193 0.00867343 0.00487798 0.00431366 7.33156e-05 -0.000180173 -0.00027507 -7.5968e-05 9.38642e-05 0.000210873 0.000343672 0.000386114 0.000571383 0.00134791 0.0010908 0.00117804 0.00106407 0.00180896 0.00105968 0.00224235 0.00316741 0.00242145 0.00205806 0.00180353 0.00179191 0.00116119 0.00113363 0.000831292 0.0010545 0.00102584 0.00124313 0.00510001 0.00279959 0.00311673 -0.000136482 0.0152354 0.000539278 0.00180356 0.00125165 -8.68347e-08 4.38005e-09 
-31.7052 0.00650898 -0.00627269 0.013977 0.00348153 0.000439309 0.0106051 0.00262466 -0.0025229 0.00658362 -0.000187277 -0.000291551 -0.000160641 -0.000441189 -5.00535e-05 0.00053866 0.0001233 0.000169936 0.000468269 0.000809992 0.000927938 0.000394655 0.00059808 0.00139508 0.00121359 0.00145824 0.00266612 0.00175264 0.00115977 0.0015281 0.00143732 0.00101176 0.00101144 0.000554196 0.00127259 0.000337765 0.00165811 0.00381303 0.00278217 0.00262756 0.00135705 0.000539278 0.0182365 0.000859308 0.000764317 -7.30542e-08 1.93291e-08 
-5.27047 0.0037695 -0.00714587 0.00405262 0.00156368 3.62882e-05 0.00175784 -0.00249597 -0.00574564 0.00677693 -0.000159621 -0.00036436 -0.000556643 -0.000681277 -0.000347585 -0.000102031 -9.05654e-05 -0.000316999 -0.000199725 0.000807352 0.000779391 1.48477e-05 0.000284005 0.00110441 0.000450732 0.00120903 0.00169667 0.00105378 0.000927582 0.000865907 0.000938784 0.000619897 0.000476789 0.000496956 0.000570889 0.000501098 0.000887111 0.0026322 0.00184102 0.00176644 0.000794116 0.00180356 0.000859308 0.0201906 0.000659754 -2.08101e-08 1.37615e-08 
-96.5897 0.00382964 -0.00860544 0.0209974 0.00357513 0.000199421 0.00502302 0.00592651 0.00365922 0.00537232 -0.000115922 -0.000583351 -0.000966873 -0.000915495 -0.000927042 -0.000508033 -0.000799386 -0.00128222 -0.000622458 0.00106017 0.0005713 -6.6571e-05 0.000863555 0.0003408 0.00096961 0.00128051 0.00201135 0.00091311 0.00113385 0.000784639 0.000864333 0.000499242 0.000302657 0.00029648 0.000447386 0.000270634 0.000636081 0.00166284 0.000871307 0.00142247 0.000212134 0.00125165 0.000764317 0.000659754 0.0384305 -1.83241e-09 -7.20927e-09 
-0.00734627 -4.8817e-07 -9.96726e-08 1.67175e-06 -5.17149e-07 -5.88676e-07 1.09103e-06 -8.8869e-07 -7.23226e-07 1.36787e-06 -3.71802e-08 -1.08635e-07 -1.11419e-07 -2.53799e-07 -1.23283e-07 -1.52806e-07 -3.51927e-07 -2.68835e-07 -1.9851e-07 -5.28559e-08 -8.61607e-08 -1.16668e-07 -6.4186e-08 -2.29269e-07 5.48914e-08 -9.81849e-08 1.96715e-08 -3.03954e-10 -1.21381e-07 -1.12794e-07 -7.40835e-08 -2.02914e-08 -3.38444e-08 -6.31155e-09 -1.09369e-07 -8.05943e-08 -6.09889e-08 -2.61841e-07 -7.31862e-08 -1.50259e-07 -6.42431e-08 -8.68347e-08 -7.30542e-08 -2.08101e-08 -1.83241e-09 1.59882e-08 7.77619e-12 
-0.00338229 -1.89003e-08 -6.05413e-08 3.02503e-07 1.25048e-07 5.50507e-08 1.81715e-07 9.908e-09 -3.06796e-08 2.99464e-07 2.47782e-09 -1.38476e-08 -2.29707e-08 -6.30528e-11 -2.43742e-08 -8.22425e-09 -4.90692e-08 -6.33552e-09 -9.7595e-09 -5.86702e-08 1.2302e-08 1.29424e-09 2.22839e-09 -1.45404e-08 1.17652e-08 -1.29593e-08 -1.15476e-08 2.51407e-10 -1.25528e-08 4.92136e-09 -1.91489e-09 -5.37114e-09 2.22171e-10 -2.62069e-09 1.78176e-08 -9.9207e-11 1.37221e-08 -1.41963e-09 1.19478e-08 -1.11665e-09 1.12683e-08 4.38005e-09 1.93291e-08 1.37615e-08 -7.20927e-09 7.77619e-12 1.45249e-08 
{end_list}
*end
