process[Recruitment].b0 selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} 
52706.6 9.6061 5.44352 11.6161 10.9063 3.51779 7.05112 6.57335 3.05853 8.04371 1.02704 1.05104 1.06949 1.08053 1.08285 1.07382 1.05133 1.02563 1.00994 0.423064 0.474214 0.515828 0.379063 0.52116 0.439916 0.665933 0.988908 0.749345 0.64362 0.583763 0.481226 0.316727 0.299232 0.218348 0.328061 0.216705 0.324133 0.910999 0.518746 0.429975 0.18533 0.304414 0.257298 0.229264 0.259707 3 3 
covariance_matrix {matrix}
-1384.4 0.00661241 -0.0302812 0.104932 -0.0334311 -0.0281713 0.0664484 0.941645 0.984191 -0.777278 -0.00254332 -0.00302924 -0.00257601 -0.00399342 -0.00511041 -0.00590088 -0.00633458 -0.00545573 -0.00352285 -0.00638513 -0.00167307 0.000508336 0.00601917 0.00188218 -0.0110152 0.0107055 -0.0147894 0.00310842 0.00666701 0.00797229 0.000848636 0.00552186 0.00247572 0.000973343 0.00137682 0.00179976 -0.000273541 -0.00501216 0.0104502 0.0102824 -0.00152125 0.00487798 -0.0025229 -0.00574564 0.00365922 -7.23226e-07 -3.06796e-08 
-5926.74 0.159739 0.0137971 0.444191 0.235439 0.100048 0.105548 -0.873834 -0.777278 2.1775 -0.00488782 -0.0118202 -0.0159437 -0.0199605 -0.0191083 -0.014422 -0.0144755 -0.0141289 -0.0134402 0.0255803 0.0129529 0.0147728 0.00324988 0.0221254 0.0234029 0.0260237 0.0628897 0.0332271 0.0253953 0.0180722 0.0185061 0.00872378 0.0088814 0.00688577 0.0106651 0.00566435 0.0113936 0.0326011 0.00931984 0.00553733 0.00510459 0.00431366 0.00658362 0.00677693 0.00537232 1.36787e-06 2.99464e-07 
116.433 -0.00462971 -0.000981923 -0.0161305 -0.00442957 -0.00200889 -0.00408496 -0.00345005 -0.00254332 -0.00488782 0.00501866 0.00452883 0.00388806 0.00349199 0.00317166 0.00291471 0.00254996 0.0024259 0.00211995 -0.000181036 0.000885062 0.000559907 0.000537652 0.000381615 0.000520196 0.000689195 0.000958897 0.000874548 0.000633115 0.000471862 0.000351324 0.00025203 0.00024393 0.000146591 0.0002106 0.000153979 0.000167665 0.000778856 0.000330533 0.000189683 5.95867e-05 7.33156e-05 -0.000187277 -0.000159621 -0.000115922 -3.71802e-08 2.47782e-09 
208.035 -0.0076975 0.00184487 -0.0291616 -0.0072334 -0.00293735 -0.00850478 -0.00469591 -0.00302924 -0.0118202 0.00452883 0.00962011 0.00841564 0.00737403 0.00645113 0.00569777 0.00522385 0.00477433 0.00430623 -0.000402106 0.00153286 0.00106169 0.000694778 0.000806089 0.000662132 0.00113178 0.00192303 0.00135963 0.00108515 0.000865415 0.000718643 0.000396851 0.000534937 0.00034568 0.000316009 0.000137072 0.000243317 0.00134459 0.000241785 0.000170378 -0.000103698 -0.000180173 -0.000291551 -0.00036436 -0.000583351 -1.08635e-07 -1.38476e-08 
255.512 -0.0105258 0.00307998 -0.0372507 -0.00971885 -0.00425541 -0.00984889 -0.00514746 -0.00257601 -0.0159437 0.00388806 0.00841564 0.0136453 0.0117073 0.0100861 0.0088447 0.00813219 0.00741499 0.00695928 -0.000626872 0.00206871 0.00205017 0.000972982 0.00144868 0.00115851 0.00194944 0.00310397 0.00230064 0.00179071 0.00153586 0.00121826 0.000666073 0.000943533 0.000513944 0.000768297 0.000291885 0.000506621 0.00228578 0.00057526 0.000342728 4.71012e-05 -0.00027507 -0.000160641 -0.000556643 -0.000966873 -1.11419e-07 -2.29707e-08 
291.687 -0.0136712 0.00357389 -0.0390699 -0.0123096 -0.00566658 -0.0126634 -0.00739467 -0.00399342 -0.0199605 0.00349199 0.00737403 0.0117073 0.0162288 0.0141012 0.0121125 0.0105013 0.00991459 0.00919413 -0.000638333 0.00287085 0.00258796 0.00152569 0.00207109 0.00158433 0.0025193 0.00420412 0.00306983 0.00265976 0.00209016 0.00161604 0.000976881 0.00113367 0.000862945 0.000974804 0.00073373 0.000724394 0.00283977 0.00103714 0.000547164 4.00444e-05 -7.5968e-05 -0.000441189 -0.000681277 -0.000915495 -2.53799e-07 -6.30528e-11 
275.412 -0.0147625 0.00288772 -0.0389769 -0.0130768 -0.00614753 -0.0116295 -0.00853824 -0.00511041 -0.0191083 0.00317166 0.00645113 0.0100861 0.0141012 0.0178971 0.015554 0.0136484 0.0124142 0.0115065 -0.000834153 0.00346688 0.00298044 0.00184148 0.00289129 0.00191956 0.00322939 0.00526745 0.00386064 0.00311751 0.0027773 0.00218365 0.00130744 0.00148903 0.000985511 0.00136774 0.000727412 0.00108487 0.00378108 0.00145436 0.000866995 7.94209e-05 9.38642e-05 -5.00535e-05 -0.000347585 -0.000927042 -1.23283e-07 -2.43742e-08 
220.227 -0.0154909 0.0026251 -0.0296386 -0.0129627 -0.00654753 -0.00844794 -0.00988298 -0.00590088 -0.014422 0.00291471 0.00569777 0.0088447 0.0121125 0.015554 0.0192841 0.016464 0.0151071 0.0141681 -0.00166251 0.00470308 0.00314982 0.00205358 0.00356725 0.00236696 0.00423144 0.00666862 0.00488237 0.00373607 0.00354482 0.0028952 0.00172972 0.00191503 0.00121809 0.00174124 0.000850065 0.00137718 0.00467154 0.0020238 0.00112729 0.000341244 0.000210873 0.00053866 -0.000102031 -0.000508033 -1.52806e-07 -8.22425e-09 
187.114 -0.0151667 0.00181198 -0.0229194 -0.0124847 -0.00603844 -0.00929527 -0.0102595 -0.00633458 -0.0144755 0.00254996 0.00522385 0.00813219 0.0105013 0.0136484 0.016464 0.0206645 0.0182666 0.0170277 -0.00270713 0.00510456 0.00324409 0.00232108 0.00362113 0.00281327 0.00445057 0.00734236 0.00530735 0.0041801 0.00384022 0.00319694 0.00196795 0.00195966 0.0012936 0.00165069 0.000865083 0.001378 0.00490295 0.00212713 0.00124101 0.000154777 0.000343672 0.0001233 -9.05654e-05 -0.000799386 -3.51927e-07 -4.90692e-08 
183.128 -0.0148045 0.00334136 -0.0223462 -0.0117672 -0.0055462 -0.00810101 -0.0102492 -0.00545573 -0.0141289 0.0024259 0.00477433 0.00741499 0.00991459 0.0124142 0.0151071 0.0182666 0.0222583 0.020788 -0.00482112 0.00614372 0.00327834 0.00235458 0.00384874 0.00297007 0.00486306 0.0077964 0.00580024 0.00468241 0.004275 0.00350925 0.00211876 0.00200303 0.00135672 0.00192549 0.00108273 0.00152683 0.00535352 0.00233038 0.00152094 0.000387042 0.000386114 0.000169936 -0.000316999 -0.00128222 -2.68835e-07 -6.33552e-09 
