1.63368e+08 -4794.57 -1129.16 -13556 -10107 -5034.59 3527.76 -1386.51 35.4725 -5279.45 60.7252 136.808 141.478 90.5813 48.51 26.9118 -31.7304 -72.2358 -80.1287 -434.312 -261.858 -488.723 -243.179 -296.187 -789.298 -425.479 -1282.21 -841.964 -529.703 -605.71 -536.552 -282.687 -301.884 -229.53 -276.672 -57.7172 -377.949 -424.777 -321.072 -191.01 45.7358 -268.378 -206.191 -18.3472 -300.815 -0.00117665 0.000306 
35.4725 -0.065456 -0.102336 -0.45082 -0.551086 -0.321949 0.643892 1.06102 1.16308 -0.818489 -0.00519932 -0.00808285 -0.0132744 -0.020399 -0.0254445 -0.0251495 -0.025021 -0.0246784 -0.0238983 -0.0167158 -0.0142482 -0.00838833 0.00701301 0.00878278 -0.0476518 0.0177339 -0.0554302 -0.0223116 0.0011461 -0.0112288 -0.0193586 -0.00303498 -0.00813159 -0.00915161 -0.00867616 0.00376296 -0.023459 -0.022871 -0.0132683 0.00115417 0.00437544 -0.0139372 -0.0176935 9.20368e-06 -0.0210714 -1.06806e-07 7.09489e-08 
-5279.45 0.0980955 -0.0281073 0.710612 0.260479 0.119067 -0.0159829 -0.906989 -0.818489 2.13487 -0.00609116 -0.0113329 -0.0141138 -0.0152987 -0.0150192 -0.0153983 -0.0131185 -0.0108177 -0.00898676 0.0180861 0.00707624 0.0122562 0.00469775 0.00612471 0.0342964 0.0108625 0.0569246 0.0340035 0.01617 0.0190953 0.0161832 0.00624441 0.00825763 0.00648937 0.0113113 0.00261218 0.0163747 0.0284328 0.0161532 0.0033614 0.00178297 0.00861866 0.0117931 0.000379249 0.0131 2.32634e-08 -1.8494e-08 
60.7252 -0.000511031 0.00440831 -0.00167121 0.0131115 0.00808422 -0.0209702 -0.00447892 -0.00519932 -0.00609116 0.00518847 0.00483412 0.0044982 0.00415102 0.00415174 0.00375949 0.0034051 0.00331677 0.00280296 0.000507397 0.000733566 0.0012939 0.00053212 0.000500001 0.00151918 0.000666865 0.00253529 0.00150181 0.00122301 0.00115471 0.00112229 0.000676358 0.000635713 0.000535458 0.000572328 0.000191319 0.000772617 0.00140763 0.000814454 0.000704915 -5.04327e-05 0.000646152 8.92765e-05 -0.000258271 0.000251988 2.94494e-09 -1.52222e-09 
136.808 -0.00264933 0.0092823 -0.00541864 0.0176375 0.0109915 -0.0317894 -0.00750244 -0.00808285 -0.0113329 0.00483412 0.0101223 0.00910231 0.00838955 0.00791572 0.00702539 0.00648491 0.00602702 0.0054397 0.000206809 0.00169537 0.0021639 0.000731897 0.000753636 0.00233426 0.00105136 0.00420252 0.00242604 0.00188958 0.00196432 0.00197252 0.00102036 0.00112324 0.00100083 0.000836388 0.000294456 0.00125879 0.00227114 0.00123228 0.000762191 -0.0002914 0.000668537 0.000164541 -0.000453769 -0.000251482 4.42647e-09 -2.26308e-09 
141.478 -0.00234885 0.0127966 0.000318778 0.031291 0.0188367 -0.0501595 -0.0115966 -0.0132744 -0.0141138 0.0044982 0.00910231 0.0148833 0.0134161 0.0120891 0.0110459 0.0101167 0.00938942 0.00902807 0.000464235 0.0029087 0.00303172 0.000980242 0.00110802 0.00409814 0.00154751 0.00693757 0.00417391 0.00279921 0.00331164 0.00316952 0.00155919 0.00172639 0.00150749 0.001577 0.000347477 0.00221331 0.00398813 0.00237608 0.00124962 -0.000475985 0.0011674 0.00071494 -0.000398323 0.000224758 7.46903e-09 -3.93976e-09 
90.5813 0.00128468 0.017931 0.0188793 0.0530572 0.0306784 -0.0784673 -0.0162113 -0.020399 -0.0152987 0.00415102 0.00838955 0.0134161 0.0187618 0.0172006 0.015302 0.0138609 0.0132044 0.012572 0.000922735 0.00453588 0.00423033 0.00149471 0.00155775 0.00640409 0.00220642 0.0101838 0.00622132 0.00412333 0.00489902 0.00482988 0.00238001 0.00250379 0.00219267 0.00261118 0.000604834 0.00362907 0.00617944 0.00379541 0.00231393 -0.000674006 0.00207801 0.00126039 -0.000268614 0.000590711 1.19209e-08 -6.67385e-09 
48.51 0.00246937 0.0227012 0.035076 0.0703842 0.0406868 -0.0958157 -0.0199722 -0.0254445 -0.0150192 0.00415174 0.00791572 0.0120891 0.0172006 0.022679 0.0195495 0.0175188 0.0164102 0.0159743 0.000901205 0.006039 0.00504197 0.00200926 0.00208234 0.00811226 0.00297051 0.0130567 0.00812399 0.00542188 0.00635995 0.00607898 0.00313521 0.00320783 0.002807 0.00345243 0.00076075 0.00465433 0.0080221 0.00500403 0.00321705 -0.000582423 0.00294902 0.00179962 -0.000153838 0.000955137 1.52668e-08 -8.65663e-09 
26.9118 0.00248859 0.023674 0.0413235 0.0681674 0.0389454 -0.0948225 -0.0199528 -0.0251495 -0.0153983 0.00375949 0.00702539 0.0110459 0.015302 0.0195495 0.02356 0.0204969 0.0190146 0.0183358 -4.18634e-05 0.00625625 0.00565395 0.00214796 0.00238805 0.00857959 0.00323056 0.0139694 0.00864012 0.00577549 0.00674907 0.00653841 0.0034074 0.00357924 0.00296027 0.00352839 0.000943911 0.00480383 0.00819158 0.00517627 0.00329013 -0.000643303 0.0029437 0.00192926 -0.000371941 0.000860491 1.49953e-08 -8.34449e-09 
-31.7304 0.00317029 0.0226577 0.045313 0.0696607 0.0399798 -0.0935285 -0.0198905 -0.025021 -0.0131185 0.0034051 0.00648491 0.0101167 0.0138609 0.0175188 0.0204969 0.0247252 0.0223202 0.0212587 -0.000983555 0.00642928 0.00598424 0.00231234 0.00282252 0.00886304 0.00382122 0.0147607 0.00921918 0.00624661 0.00719155 0.00692784 0.00365283 0.00379032 0.00299107 0.00369565 0.00091726 0.00492257 0.00880515 0.00532898 0.00344618 -0.000547984 0.00312788 0.00206157 1.57117e-05 0.000959843 1.48889e-08 -7.92202e-09 
-72.2358 0.00371809 0.0222904 0.0506701 0.0704265 0.0405582 -0.0909577 -0.0200182 -0.0246784 -0.0108177 0.00331677 0.00602702 0.00938942 0.0132044 0.0164102 0.0190146 0.0223202 0.0267384 0.0248814 -0.00267954 0.00719606 0.00600066 0.0024382 0.0032405 0.00909208 0.00418172 0.0153601 0.00975637 0.00665896 0.00765447 0.00720473 0.00380261 0.00390219 0.00299799 0.00405819 0.00101959 0.00509137 0.0095572 0.00564599 0.00371446 -0.00036936 0.00331561 0.0022066 0.000165474 0.00105188 1.48182e-08 -7.87923e-09 
