process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
53971.5 2.5348e-05 0.037705 6.99584 2.70805 3.06313 0.187373 0.186487 0.2206 0.255345 0.333122 0.531308 0.988168 0.453789 2.39155 0.26921 0.257488 0.396052 0.280984 0.188703 0.170511 0.221805 0.212914 0.265145 0.377217 0.429685 0.423358 0.338949 0.346261 0.400865 0.350615 0.340434 0.371189 0.300489 0.200993 0.210689 0.185474 0.235239 0.300363 0.331549 0.331285 0.276114 0.245929 0.237922 0.204787 0.190393 0.224515 0.17625 0.281854 0.304251 0.30437 
covariance_matrix:
46.2703 -3.02717e-09 -3.70215e-07 -0.000374984 -0.000229635 484.528 1437.99 6.23322e-05 0.0276636 -0.0021962 -0.00304283 -0.00473113 0.00620424 -0.000628593 0.00402542 0.000252225 0.000323592 0.000743457 0.000477901 0.000332057 0.000326275 0.000465116 0.000445769 0.000586469 0.000865892 0.000974097 0.000992967 0.000782072 0.000820368 0.000987544 0.000851059 0.000833077 0.000920564 0.000741062 0.000483219 0.000514474 0.00044279 0.000570508 0.000730908 0.000804002 0.00080323 0.000652305 0.000571112 0.000544299 0.000427098 0.000350247 0.000324233 0.000105177 -1.34444e-05 1.16684e-07 7.96978e-09 
46.7401 -3.87645e-09 -5.13462e-07 -0.000484918 -0.000297911 613.519 1820.82 7.45367e-05 -0.0021962 0.0398858 -0.00717016 -0.0142803 0.0104264 -0.000372261 0.0058104 0.000346134 0.000465083 0.00104501 0.000649994 0.000447956 0.000436668 0.000621125 0.000593087 0.000778539 0.0011487 0.00129198 0.00131405 0.0010329 0.00108204 0.00130091 0.00112034 0.00109628 0.00121078 0.000974651 0.000635557 0.000676802 0.000582536 0.000750442 0.000961162 0.00105701 0.00105568 0.000857547 0.000751132 0.000716238 0.000563961 0.000465217 0.000439497 0.000154926 -1.3002e-05 1.66059e-07 1.1138e-08 
51.4195 -5.32707e-09 -7.24999e-07 -0.000671524 -0.000405651 842.396 2500.08 9.63862e-05 -0.00304283 -0.00717016 0.080893 -0.0413513 -0.0036631 0.00450633 0.0118805 5.0639e-05 0.000559672 0.00157948 0.000942938 0.000643606 0.000627076 0.00089133 0.0008481 0.00111133 0.00163814 0.0018422 0.00187041 0.00146779 0.00153576 0.00184453 0.00158767 0.00155317 0.00171468 0.00138025 0.000900102 0.000958684 0.000825227 0.00106295 0.00136113 0.00149657 0.00149425 0.00121412 0.00106387 0.00101493 0.00080137 0.000664125 0.000637542 0.00023857 -1.37532e-05 2.4353e-07 1.61409e-08 
69.3963 -7.05613e-09 -9.36049e-07 -0.000885075 -0.000491354 1140.75 3385.56 0.00012147 -0.00473113 -0.0142803 -0.0413513 0.367007 -0.35491 0.0532277 0.0588909 -0.00523387 -0.0010805 0.00228292 0.00125206 0.000832018 0.000850133 0.00122091 0.00115702 0.00151137 0.00222622 0.0024993 0.0025374 0.00198997 0.00207936 0.00249682 0.00214905 0.00210248 0.00232091 0.00186827 0.0012186 0.00129807 0.00111753 0.00143932 0.00184295 0.00202603 0.0020223 0.0016432 0.00144028 0.0013745 0.00108605 0.000901114 0.000870105 0.000332006 -1.97814e-05 3.03561e-07 2.01373e-08 
80.0063 -3.49237e-08 -1.37704e-06 -0.00495465 -0.00312833 5933.07 17608.3 0.00053327 0.00620424 0.0104264 -0.0036631 -0.35491 0.745679 -0.209142 0.023569 0.0158807 0.00923216 0.0134145 0.00845064 0.00543111 0.00502112 0.00703995 0.00664428 0.00867203 0.0127673 0.014344 0.0144888 0.0113228 0.0118141 0.0141492 0.0121595 0.011885 0.0131045 0.0105473 0.00687855 0.00732921 0.00630878 0.00812226 0.0103917 0.0114176 0.0113909 0.00925823 0.00812068 0.00775686 0.00617207 0.00518026 0.00517969 0.00221631 -1.15437e-06 2.11415e-06 1.3658e-07 
9.79072 7.85505e-10 -2.98483e-06 0.000414917 0.000193879 -571.978 -1697.53 -1.51211e-05 -0.000628593 -0.000372261 0.00450633 0.0532277 -0.209142 0.257651 -0.133595 0.00712889 0.00324755 -0.00103421 -0.000995625 -0.000449111 -0.000469376 -0.000661432 -0.000614571 -0.000791487 -0.00115867 -0.00129484 -0.00130001 -0.00101354 -0.00105062 -0.0012554 -0.00107778 -0.00105269 -0.00115955 -0.00093264 -0.000608566 -0.000648196 -0.00055756 -0.000716544 -0.000914469 -0.00100198 -0.000996503 -0.00080737 -0.000708072 -0.000676528 -0.000538062 -0.000452195 -0.000458131 -0.000202393 -2.02452e-06 -1.63211e-07 -1.03561e-08 
-40.631 -6.01626e-08 1.03991e-05 -0.00990133 -0.00539202 12517.3 37149.3 0.000687173 0.00402542 0.0058104 0.0118805 0.0588909 0.023569 -0.133595 0.49386 -0.0431456 -0.00107988 0.0296787 0.0162371 0.0106942 0.0101137 0.014017 0.013094 0.0169933 0.0249439 0.0278993 0.0281199 0.0219573 0.0228365 0.0273396 0.0234901 0.0229597 0.0253098 0.0203655 0.0132894 0.0141595 0.0121865 0.0156768 0.0200341 0.0219801 0.0218948 0.0177585 0.0155736 0.0148738 0.0118162 0.00991032 0.00993931 0.00427214 3.35826e-05 3.92377e-06 2.51483e-07 
-8.36873 -9.29634e-10 1.59059e-06 -0.000268106 -6.74627e-05 440.361 1306.92 9.69167e-06 0.000252225 0.000346134 5.0639e-05 -0.00523387 0.0158807 0.00712889 -0.0431456 0.046024 -0.00636442 -0.00229432 0.00167003 0.000291344 0.000330927 0.000489957 0.000452354 0.000583985 0.000852225 0.00095021 0.000955694 0.000744409 0.000771031 0.000921006 0.000790869 0.000773046 0.00085177 0.000685154 0.00044729 0.000476529 0.000410202 0.000527343 0.000673318 0.000737904 0.000733634 0.000594569 0.000521419 0.00049829 0.000395695 0.000331438 0.000334462 0.000145397 8.41831e-07 1.07108e-07 6.65086e-09 
-8.73081 -2.66359e-09 1.13595e-06 -0.000409129 -5.61337e-05 767.38 2277.45 3.05354e-05 0.000323592 0.000465083 0.000559672 -0.0010805 0.00923216 0.00324755 -0.00107988 -0.00636442 0.0319525 -0.014636 0.0038085 0.00066766 0.000553596 0.000856751 0.000795485 0.00102877 0.00150416 0.00167719 0.00169194 0.00131927 0.00136702 0.00163457 0.00140357 0.00137283 0.00151326 0.00121762 0.000794858 0.000847068 0.000729694 0.000938999 0.00120044 0.00131736 0.00131112 0.00106463 0.000933848 0.000892807 0.000709314 0.000593218 0.000596004 0.00025558 -2.3443e-07 1.84166e-07 1.13245e-08 
-26.0278 -2.20879e-09 5.77635e-06 -0.000344173 0.000594666 1866.24 5538.68 5.34026e-05 0.000743457 0.00104501 0.00157948 0.00228292 0.0134145 -0.00103421 0.0296787 -0.00229432 -0.014636 0.0469623 -0.0149297 0.00285963 0.00171898 0.00208222 0.00196462 0.00252484 0.00369728 0.00412672 0.00416803 0.00324422 0.00335144 0.00399911 0.00343307 0.00335784 0.00370125 0.00297834 0.00194422 0.00207236 0.00178674 0.00230088 0.002943 0.00323206 0.00321499 0.00261621 0.00229591 0.00219811 0.00174809 0.00145647 0.00145864 0.000614345 -9.49197e-06 3.11487e-07 1.75243e-08 
-26.7403 5.34637e-09 1.0716e-05 9.95309e-05 0.00051485 1148.81 3409.47 -5.05629e-05 0.000477901 0.000649994 0.000942938 0.00125206 0.00845064 -0.000995625 0.0162371 0.00167003 0.0038085 -0.0149297 0.0261782 -0.00542134 0.000768321 0.0013255 0.0011737 0.00152752 0.00222284 0.00248319 0.00250691 0.00193936 0.00199478 0.0023708 0.00203094 0.00198566 0.00218453 0.00175774 0.00114753 0.00122345 0.00105397 0.0013557 0.00172868 0.00189418 0.00187875 0.0015262 0.00134124 0.00128657 0.00102663 0.000856903 0.000863504 0.000366885 -5.85211e-06 9.65732e-08 4.55682e-09 
