process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} 
335844 0.0934009 0.127366 13.0293 0.14116 0.383294 0.345909 4.52313 1.98045 0.592088 5.4778 2.95759 5.51674 3.10031 0.949264 5.91106 3.67144 8.51712 2.09805 75.924 1.04927 8.76002 2.20409 50.9388 12.8407 9.92109 0.438727 9.74549 3.98591 19.4262 14.0989 2.12933 9.8277 3.09958 0.488553 0.460583 0.573351 0.570845 0.488493 0.560341 0.56382 0.682087 0.612456 0.783863 0.465142 0.701661 0.408702 0.527338 0.334942 0.358826 0.410639 0.526476 0.432234 0.50018 0.459568 0.828502 0.776359 0.83359 0.701733 0.560933 0.465073 0.469847 0.568116 0.529153 0.508865 0.519702 0.710084 0.697449 0.640387 0.781813 0.645931 0.691513 0.631433 0.511694 0.625394 0.574861 
covariance_matrix:
47.9887 2.10153e-05 -0.000136738 0.0515366 -0.00056158 0.00388681 0.0023272 0.0194817 0.158171 0.000950386 0.00841844 -0.0117392 0.00155242 0.0283395 0.00276477 -0.0173028 0.00487512 0.0517688 0.0308441 0.509753 0.00275748 0.0323848 0.0182644 0.241603 -0.00085905 0.0122938 -0.000279888 -0.000856036 -0.00727598 -0.00613363 -0.00949709 -0.00396152 0.0110064 0.0192058 0.00336082 7.25757e-05 -0.00601545 0.00296292 -0.00622563 0.00156405 -0.00183329 -0.000439737 -0.00193048 -0.00117406 -0.000100823 -0.00301911 0.00174678 -0.00212467 -5.27469e-05 -0.000912222 -0.00157027 0.000864961 -0.00403205 0.000510681 -0.0025231 -0.0035247 0.000633302 -0.00144799 0.000167205 -0.000146437 -0.00117867 -0.000138002 -0.000394911 -0.000341041 -0.000138433 0.00123909 -0.00135459 0.00313704 -0.00126955 0.00315159 -0.00206691 0.00381308 -0.000821152 -0.000881696 -0.00661411 0.00336781 
-84.2738 -1.88785e-05 2.21664e-06 -0.00591064 -8.76545e-06 -0.000308462 -0.000131521 0.00152147 0.000950386 0.00170791 -0.00373872 -0.000960648 -0.00212293 -0.00141191 -9.15763e-05 -0.0027728 -0.0003781 -0.000887974 -0.000216615 -0.0846102 -5.97493e-05 0.000346945 0.000225748 -0.0417398 -0.00664171 -0.00274941 -0.000286567 -0.000490228 0.00157258 -0.0112758 -0.00861556 -0.00199889 -0.000270825 0.000280213 0.000138388 -0.000178111 -7.70396e-05 0.000183585 -0.000306897 -9.27307e-05 -0.000675365 -0.000527759 -0.000207339 -0.000108327 -0.000196244 -0.000212265 -0.000240981 -0.00018089 -6.57228e-05 -0.000195494 -0.000188276 -0.000175878 -0.000121139 -0.000421843 2.13607e-05 -0.000243669 -0.000619345 -0.000118644 -0.000582057 -0.000200058 -0.000201958 -0.000221142 -0.000277606 -0.000314011 -0.000157777 -0.000359922 -0.000161053 -0.000530974 -0.000219406 -0.000233336 -0.000248846 0.000573963 -0.000776204 0.000219557 0.000226724 6.94068e-05 
186.365 0.000107455 -0.000134818 0.0699956 0.000146359 0.00449597 0.000915449 0.0162955 0.00841844 -0.00373872 0.0458683 0.0294558 0.0307141 0.0247462 0.00349405 0.0177466 -0.00871892 0.0213611 0.00779872 0.786926 0.00218221 0.0028271 -0.00286765 0.373487 0.0475796 0.00359199 0.00254078 0.00545301 -0.0209995 0.0563504 0.0420861 0.010682 0.00350972 -0.00667587 -0.000118695 0.00113513 0.00120143 0.000439742 0.00216293 0.00171596 0.00284775 0.000927062 0.00145172 -0.000405717 0.00018202 2.78372e-05 0.000725495 0.000765953 9.51837e-05 0.000782719 0.00231171 -0.00170185 0.00201697 0.000832105 -0.000964782 0.000300952 0.0024696 -0.00042491 0.00335306 0.000548789 0.00113927 0.000524191 0.00115907 0.00137335 0.00062524 0.00190729 0.00136838 0.000854806 0.00424059 -0.00166736 0.00524601 -0.00306917 0.00142637 -0.000166007 0.00280627 0.000282342 
-146.035 0.000145482 -0.000111092 0.000372946 0.000398935 0.00120599 -0.000982358 0.00588722 -0.0117392 -0.000960648 0.0294558 0.140709 0.0292344 0.0270667 0.00138854 0.0237267 -0.00180757 0.0127722 0.00631064 -0.145887 0.00155484 0.0021704 0.000285552 -0.0996214 -0.00540868 -0.0952245 0.00115447 -0.00185357 -0.0047203 -0.070155 -0.042367 -0.0127092 9.06125e-05 -0.00315917 0.00053342 0.00811116 0.00465886 0.00132891 0.00502755 0.000318207 0.00288765 0.00102391 0.00662929 0.00282327 0.00186101 0.0035626 0.00308027 0.00355143 0.00248812 0.00258826 0.00179297 0.0028137 0.00190847 0.00304267 0.00389817 0.00507002 0.00598215 0.00626845 0.00384973 0.00388555 0.00241341 0.00342982 0.00315234 0.00254333 0.00327674 0.00267607 0.00301654 0.0033172 0.00211134 0.00355239 0.000918743 0.00279404 -0.00163175 0.000778669 -0.00156627 0.00466503 
-254.891 0.00011503 -0.000113697 0.0325161 0.00112263 0.00528686 -0.00430487 0.017877 0.00155242 -0.00212293 0.0307141 0.0292344 0.149302 0.0900092 0.00879625 0.0397351 0.0268813 0.0523825 0.0246384 -0.122432 0.00568561 -0.00130343 -0.00689629 -0.144356 -0.0604968 -0.137111 -0.00266164 0.00995622 -0.0188491 -0.148419 -0.0986085 -0.0396315 0.017737 0.00674945 -0.00135969 0.00783192 0.00629933 -0.00177862 0.00420606 0.004838 0.00414018 -0.00129177 0.003968 0.000934357 0.00224829 0.000686884 0.00138751 0.00224226 0.00148131 0.0018671 0.00280795 0.00121096 0.00406376 0.00250082 0.00275603 0.0030772 0.00420965 0.00214235 0.00358739 0.00149971 0.00177443 0.000820032 0.0014599 0.0010248 0.000902685 0.000907085 0.000750586 -1.38385e-05 0.00178595 -0.00177857 0.00152205 -0.00233069 -0.000547425 -0.00222575 -0.00216913 -0.000723694 
-128.317 7.94667e-05 0.000230298 -0.0884682 0.00242366 0.00213664 -0.0116613 0.0141266 0.0283395 -0.00141191 0.0247462 0.0270667 0.0900092 0.299527 0.0111035 0.063274 0.119226 0.105162 0.0570574 -1.88045 0.00965068 0.0171239 0.00500043 -1.0851 -0.23865 -0.331668 -0.0105028 0.0200656 0.00432075 -0.430983 -0.238619 -0.110992 0.0352735 0.0430652 -0.00076731 0.00349192 0.00769552 0.00553538 0.00484056 0.00141625 0.00130364 -0.00346382 -0.00327878 0.000722935 0.004311 -0.000220328 0.000708561 0.00329482 0.00162056 0.000653384 -0.000282174 0.00535358 0.000280157 0.00101727 0.00185429 0.00030201 5.97549e-06 0.00371854 0.000324086 0.0012336 0.000908367 -0.000148384 0.000785301 -0.000356791 0.000790129 -0.00116804 0.00164636 -0.00153099 0.000611196 -0.000464007 0.00113071 0.00736442 -0.00366355 -0.00275043 -0.00424968 -0.00312238 
-368.443 0.000137398 -0.000187649 -0.000791888 0.000115848 0.00106347 -0.000888501 0.00270819 0.00276477 -9.15763e-05 0.00349405 0.00138854 0.00879625 0.0111035 0.00761593 -0.00956288 -0.0243884 0.0101172 0.00474857 -0.340594 0.0013241 0.000848911 -0.000571127 -0.188331 -0.0351574 -0.0590831 -0.00087021 -0.00231179 -0.00547947 -0.110827 -0.105156 -0.0179904 0.00114575 -0.00187312 -1.69985e-05 -0.00139415 -0.000131162 0.000949996 -0.000269042 0.000315277 -2.97068e-06 -0.000328396 -0.00114846 9.75856e-05 0.000244754 -0.00093563 -0.000210933 -0.000573999 -7.03335e-05 -0.000234347 -0.000290679 -0.000111197 -0.000137732 -0.000353472 0.000360228 -0.000510474 -0.000236196 -0.000136881 -0.000394927 -0.000292736 -0.000149237 -0.000213527 -0.00032691 -0.000440362 -0.000206441 -0.00047529 -0.000295424 -0.000707009 -0.000593768 -0.000545722 -0.000748296 0.000151005 -0.000499687 -0.000873826 -0.000986999 -0.00126127 
1877.67 -0.000532423 0.000873376 0.0299863 0.000565882 0.000475692 -0.0015605 0.00408249 -0.0173028 -0.0027728 0.0177466 0.0237267 0.0397351 0.063274 -0.00956288 0.196127 0.175212 0.0153104 0.0082947 1.47661 0.000412754 -0.00471268 -0.00429354 0.725205 0.0891951 0.136169 0.000176516 0.0291509 0.0174436 0.38069 0.410678 0.0394625 0.0233931 0.0355281 0.000613232 0.00317263 0.00620084 -0.000261494 0.00866143 -0.00628862 0.00608678 0.00358879 0.00342923 0.00372759 -0.000151481 0.0057936 0.002189 0.00568221 0.00226115 0.00367867 0.00408651 0.00384623 0.00385 0.00683505 0.00165381 0.00719191 0.00732079 0.00567757 0.00767832 0.00427809 0.00401079 0.00361251 0.00477012 0.00459069 0.00383191 0.00501395 0.00546167 0.00590295 0.00638825 0.00448397 0.00866138 0.00115473 0.00521997 0.00481449 0.00928725 0.00613202 
3492.55 -0.00144717 0.00230987 -0.122369 0.00199592 -0.00835827 -0.00855603 -0.0107782 0.00487512 -0.0003781 -0.00871892 -0.00180757 0.0268813 0.119226 -0.0243884 0.175212 0.578775 0.0325521 0.025319 0.64567 -0.000699455 5.27013e-05 0.00274846 0.304863 -0.0233745 0.219776 -0.0115524 0.0590026 0.0727448 0.520776 0.68028 0.019324 0.0542822 0.0962218 -0.00228452 0.00787581 0.00902855 -0.00574146 0.00394284 -0.00656576 -0.0025007 -0.00375588 -0.000101744 -0.00337972 -0.000222101 0.00496748 0.000228327 0.00648559 0.000880055 0.00107786 0.000230113 0.00608936 -0.000529338 0.00301131 -0.00266449 0.0021592 8.11918e-05 0.0038455 0.00208892 0.00277415 0.00135565 0.000625947 0.00223692 0.00211311 0.00187311 0.00132746 0.00310295 0.00247502 0.00473629 0.00328233 0.00783771 0.00598844 0.000552731 0.0054392 0.00573484 0.00197736 
-289.527 0.000183396 -0.000139778 -0.00746415 0.00081496 0.0039195 -0.00420216 0.016989 0.0517688 -0.000887974 0.0213611 0.0127722 0.0523825 0.105162 0.0101172 0.0153104 0.0325521 0.159635 0.0878144 -0.692856 0.00899927 0.0381858 0.0161926 -0.428869 -0.109652 -0.220367 -0.00156403 5.3021e-05 -0.013424 -0.258205 -0.168188 -0.0594288 0.0109561 0.0146549 -0.00262558 0.00612587 0.00558625 -9.47776e-05 0.00469212 5.15247e-05 0.00178982 -0.000572702 0.000525921 -0.000268482 0.00140296 0.000473175 0.00097409 0.00170631 0.00173377 0.000692045 -0.000482691 0.00398256 -0.00189893 0.00188886 -0.000221918 0.00135041 -0.000105096 0.00168852 0.000227644 0.00105516 0.000513366 0.000619686 0.000333628 0.000454831 0.00088818 0.000726685 0.000855189 0.00220008 0.000298548 0.00488031 0.00167248 0.0108991 5.12541e-06 0.000733503 -0.00264976 -0.00255457 
