*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 growth_increment[female_growth].min_sigma process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} process[Recruitment].ycs_values{2017} process[Recruitment].ycs_values{2018} process[Recruitment].ycs_values{2019} process[Recruitment].ycs_values{2020} process[Recruitment].ycs_values{2021} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
-1.00745 -0.0017965 0.00144606 0.000385166 0.00127996 0.00256803 0.024118 -0.011233 0.0149816 0.000878106 0.00195139 0.00201809 0.00169492 0.0025977 0.0023588 0.0024081 0.00242871 0.0028113 0.00282541 0.00302954 0.00225974 0.00310295 0.00234877 0.00292769 0.00521433 0.00223909 0.00518026 0.00447323 0.00243409 0.00422193 0.00230184 0.00292877 0.00327096 0.00208696 0.0057607 0.00587941 0.00270955 -0.000471113 -0.000277333 -0.000547241 0.000383151 -0.00749422 -0.00753725 -4.2654e-05 -0.0112735 -0.00852064 -1.75328e-06 0.024882 -0.0881839 -1.87995e-05 -0.00293087 -0.00595049 7.11174e-05 -0.00141903 0.0024088 -0.0011269 0.00305692 
-1.11061 -0.000952992 0.000218625 0.000748505 0.00133815 0.00158935 0.0129182 0.0046767 0.000878106 0.00726 0.000593589 0.00153589 0.00178956 0.00153241 0.00270047 0.00147606 0.00220467 0.00244493 0.00256446 0.00169364 0.00291834 0.00184275 0.00254955 0.00233496 0.00416577 0.00275332 0.00372632 0.00404863 0.00225479 0.00300574 0.00150291 0.00270706 0.00330201 0.00269807 0.00361729 0.00712426 0.00204902 0.000418708 -5.0366e-05 0.000180221 -7.69028e-05 0.00300725 0.00134425 1.12489e-05 0.0116727 0.0069731 -9.17925e-06 0.0198083 0.0349182 -0.000231302 0.00453189 0.00532749 5.97903e-05 0.00143936 0.00192256 0.00171099 0.00215734 
-0.631649 0.000205793 0.000518034 0.000171003 0.000559814 0.00102254 0.00903345 0.000301759 0.00195139 0.000593589 0.00379755 0.000169497 0.0009748 0.0007792 0.00129503 0.0011071 0.00117695 0.0012787 0.00132241 0.00136433 0.00106671 0.00153198 0.00100466 0.00139647 0.00239238 0.00140407 0.00228412 0.00224192 0.00108886 0.00193552 0.000918876 0.00158386 0.00139708 0.00120514 0.00260163 0.00335776 0.00117604 -0.000229076 -0.000329199 -0.000174674 0.000199247 0.00105193 2.83099e-05 -2.72183e-06 -0.00017924 -0.000798172 6.35803e-06 0.0132078 -0.0263529 -0.000128685 0.000646984 0.000201196 9.40021e-06 0.000386946 0.000310353 0.000636403 9.56776e-05 
-0.915512 -0.00148638 0.000826497 0.000808617 0.00108848 0.00213341 0.0105469 0.00165138 0.00201809 0.00153589 0.000169497 0.00561213 1.22025e-05 0.00130768 0.00158799 0.00134925 0.0021046 0.00154611 0.00225221 0.00061791 0.00279243 0.00107567 0.00198219 0.00167398 0.00326741 0.00172928 0.00344563 0.00301731 0.00179263 0.00212508 0.00123508 0.00226451 0.00241466 0.00176237 0.00281928 0.00493663 0.000896212 -0.000104533 -5.91294e-05 8.30813e-05 -0.000123567 -0.00510033 -0.00531221 -5.66247e-05 0.00027173 0.00143843 -1.14123e-05 -0.0124473 -0.00141717 -1.23208e-05 -0.0018363 -0.00331461 -0.000110243 0.000562513 0.00242686 0.000447254 0.00293257 
-0.370441 9.19801e-06 0.000257982 0.000556024 0.000991847 0.00140471 0.0134514 0.00125948 0.00169492 0.00178956 0.0009748 1.22025e-05 0.00526805 -5.30234e-05 0.00158743 0.00110426 0.00188749 0.00193794 0.00186269 0.00131219 0.00168143 0.00212224 0.00151466 0.00202955 0.00336722 0.00212479 0.00291431 0.00326279 0.00162665 0.0025559 0.00128496 0.00222649 0.00190889 0.00199775 0.00356488 0.0049723 0.0013344 9.7697e-05 -0.000287941 0.000114226 -9.34015e-05 0.00361192 0.000670273 -4.34166e-06 0.0103952 0.0017893 -2.27272e-05 0.00787214 0.00712046 -0.000169708 0.003911 0.000264499 0.000171335 -0.00133719 -0.000390656 -0.000964954 -0.000301821 
-0.642011 0.000287164 0.000895061 0.000649341 0.00101718 0.00139618 0.0107066 0.000925221 0.0025977 0.00153241 0.0007792 0.00130768 -5.30234e-05 0.004518 0.000317369 0.00111911 0.00151938 0.00176944 0.00178271 0.000977718 0.00216875 0.00098433 0.00178619 0.00160937 0.00329839 0.00129145 0.00312811 0.00299836 0.00124502 0.00184008 0.00119651 0.0019726 0.00182669 0.00163005 0.00284591 0.00403896 0.00083101 -0.000278961 -0.000255268 -0.000236491 0.000192164 0.00276529 0.000578696 -7.7238e-05 0.00273423 -0.00184051 -4.08132e-05 0.00516852 0.00342316 -3.82661e-05 0.00143494 -6.7913e-05 -5.81766e-05 -0.000289755 -0.000105413 -8.48644e-05 -0.000221019 
-0.397685 -0.000235936 0.000493366 0.00109673 0.00136718 0.00186998 0.0165945 0.00206858 0.0023588 0.00270047 0.00129503 0.00158799 0.00158743 0.000317369 0.00618346 0.000269486 0.00226676 0.00180238 0.00314361 0.00140933 0.00253941 0.00229786 0.0021787 0.00260859 0.00436793 0.00252022 0.00390485 0.00417783 0.00209639 0.00327721 0.00164991 0.002876 0.0028903 0.00245702 0.00444639 0.00629574 0.00179922 -5.33766e-05 -0.00028053 0.000169533 -0.000111585 0.00408532 0.000777108 4.00606e-05 0.00340468 -0.00174316 3.86753e-05 0.00166104 0.00883243 -0.000177821 0.00249823 0.000510215 0.000123548 -0.000805855 6.17057e-05 -0.00024376 0.000208652 
-0.345685 -0.000319405 0.000980937 0.000507839 0.00100801 0.00163335 0.011093 0.00076071 0.0024081 0.00147606 0.0011071 0.00134925 0.00110426 0.00111911 0.000269486 0.0044971 0.000116631 0.00203871 0.00152333 0.00124072 0.00204721 0.0012371 0.00164892 0.00159316 0.00307658 0.00173968 0.00287452 0.00282307 0.00162058 0.00205303 0.00120101 0.00220688 0.00173217 0.00161358 0.0029332 0.00421996 0.000744968 -0.000106767 -0.000224626 -0.000140884 8.50881e-05 0.00221698 0.000854252 -9.67569e-05 -0.00136288 -0.000278411 -1.30353e-05 0.00206404 -0.00649065 -7.10484e-05 -0.00269247 -0.00399803 5.79049e-05 -0.000233699 0.000412807 -0.000397 0.000513883 
-0.453482 0.000156875 0.000577659 0.000971089 0.00109467 0.00199517 0.0172486 0.00147096 0.00242871 0.00220467 0.00117695 0.0021046 0.00188749 0.00151938 0.00226676 0.000116631 0.00664319 0.000241403 0.00309588 0.00109073 0.00286162 0.00212098 0.0022443 0.00264087 0.00427668 0.00252812 0.00433819 0.0042813 0.00207093 0.00297381 0.00185024 0.00283321 0.00252132 0.00232153 0.00443922 0.00674217 0.00141424 -0.000258486 -0.000480331 5.48347e-06 4.29824e-05 -0.00181961 -0.00860349 1.29818e-05 0.00259852 -0.00163222 1.78315e-05 0.00377267 0.0117066 -0.00015236 0.000789392 -0.0019821 -6.36557e-05 -0.00138004 -0.000197894 -0.000690974 -0.000215222 
0.0827629 0.000414225 0.00143474 0.00130762 0.00229158 0.0021425 0.0164365 0.00192957 0.0028113 0.00244493 0.0012787 0.00154611 0.00193794 0.00176944 0.00180238 0.00203871 0.000241403 0.0088328 0.000469221 0.00196888 0.00246939 0.00195063 0.00261449 0.00228568 0.0045227 0.00298922 0.00378319 0.00452084 0.00251807 0.00341409 0.00123105 0.00324438 0.00335901 0.00238897 0.00403893 0.00626836 0.00166969 0.000153991 -0.00010386 -8.21172e-05 -7.84866e-05 0.00715159 0.00773193 -0.000129029 0.00418051 0.0044639 -3.09671e-05 -0.00547258 0.00449455 -5.98444e-05 0.00787569 0.0182351 0.000362139 0.000837842 -0.0010243 0.000592454 -0.00114981 
