process[Recruit_BH].b0 growth_increment[female_growth].min_sigma process[Recruit_BH].recruitment_multipliers{1986} process[Recruit_BH].recruitment_multipliers{1987} process[Recruit_BH].recruitment_multipliers{1988} process[Recruit_BH].recruitment_multipliers{1989} process[Recruit_BH].recruitment_multipliers{1990} process[Recruit_BH].recruitment_multipliers{1991} process[Recruit_BH].recruitment_multipliers{1992} process[Recruit_BH].recruitment_multipliers{1993} process[Recruit_BH].recruitment_multipliers{1994} process[Recruit_BH].recruitment_multipliers{1995} process[Recruit_BH].recruitment_multipliers{1996} process[Recruit_BH].recruitment_multipliers{1997} process[Recruit_BH].recruitment_multipliers{1998} process[Recruit_BH].recruitment_multipliers{1999} process[Recruit_BH].recruitment_multipliers{2000} process[Recruit_BH].recruitment_multipliers{2001} process[Recruit_BH].recruitment_multipliers{2002} process[Recruit_BH].recruitment_multipliers{2003} process[Recruit_BH].recruitment_multipliers{2004} process[Recruit_BH].recruitment_multipliers{2005} process[Recruit_BH].recruitment_multipliers{2006} process[Recruit_BH].recruitment_multipliers{2007} process[Recruit_BH].recruitment_multipliers{2008} process[Recruit_BH].recruitment_multipliers{2009} process[Recruit_BH].recruitment_multipliers{2010} process[Recruit_BH].recruitment_multipliers{2011} process[Recruit_BH].recruitment_multipliers{2012} process[Recruit_BH].recruitment_multipliers{2013} process[Recruit_BH].recruitment_multipliers{2014} process[Recruit_BH].recruitment_multipliers{2015} process[Recruit_BH].recruitment_multipliers{2016} process[Recruit_BH].recruitment_multipliers{2017} process[Recruit_BH].recruitment_multipliers{2018} process[Recruit_BH].recruitment_multipliers{2019} process[Recruit_BH].recruitment_multipliers{2020} process[Recruit_BH].recruitment_multipliers{2021} process[Recruit_BH].recruitment_multipliers{2022} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
2379.27 4.62721 0.721831 0.311647 0.323691 0.384213 3.47704 0.483641 0.478064 0.431272 0.255178 0.380658 0.361959 0.340902 0.500877 0.363914 0.51397 0.587028 0.663174 0.292641 0.678008 0.441896 0.468616 0.549398 0.972193 0.598916 0.79355 0.955676 0.623826 0.652421 0.469703 0.821925 0.394583 0.506873 0.948353 1.36346 0.285582 0.410987 0.459069 30.1239 7.09745 41.4836 14.8269 0.875769 39.8698 16.2661 0.527306 23.5044 13.9666 1.16446 34.3027 14.3814 1.09817 14.0067 2.69152 13.3401 0.667103 
covariance_matrix {matrix}
-0.269101 -1.21214e-05 0.000146952 0.000271835 0.000603455 0.000594187 -0.00146857 0.000490742 0.00444893 -0.000357744 -0.000242311 -0.000262403 -0.000195648 -3.80031e-05 3.10875e-05 0.000263332 0.000209649 0.000583726 3.898e-05 0.000396292 -8.64629e-05 0.000228022 -1.6648e-05 0.000113257 0.000106696 0.000576791 5.33504e-05 0.000422894 0.000205489 0.000260308 0.00029254 1.79417e-06 4.42625e-05 0.000101126 0.000366533 -0.000301963 0.00014974 0.000128146 0.000100447 -7.29792e-05 1.63074e-06 -0.000131471 -0.000467018 4.07974e-06 -0.000789647 0.000109655 -1.888e-05 0.00219163 3.51613e-05 3.49003e-05 1.96658e-05 -4.43201e-05 8.5256e-05 2.73783e-05 -5.74796e-05 4.2498e-05 -9.53556e-05 
-0.33084 6.05747e-05 -0.000514793 -1.34445e-05 0.000358417 0.000457405 -0.00041019 0.000365753 -0.000357744 0.00375813 -0.000325034 -0.000395401 -0.00027232 -0.000131938 0.000125106 0.000206534 0.000350812 0.000289239 0.000236777 0.000147013 3.09915e-05 0.000107078 1.60596e-05 9.5044e-05 0.000221296 0.000382749 0.000242347 0.000589695 0.000293037 0.000243298 0.000206118 2.79016e-05 5.49191e-05 1.66093e-05 0.000353384 0.000676514 0.000199938 0.000119981 9.60666e-05 -6.05178e-05 0.000132962 0.000691011 -0.000303776 3.07428e-05 6.55179e-05 6.52069e-05 -1.80605e-05 0.00162826 0.000119873 -2.05837e-05 0.000392961 3.554e-05 -5.19377e-05 0.000662538 0.00034286 0.000549087 -7.9291e-06 
-0.0846993 5.53226e-05 -0.00011921 7.65008e-05 0.000245747 0.000293855 -0.000204821 0.000192312 -0.000242311 -0.000325034 0.0021944 -0.000305984 -0.000247665 -0.000115037 7.1771e-05 0.000162186 0.000241853 0.000138088 8.55417e-05 8.03104e-05 -4.05579e-06 5.35473e-05 2.72692e-05 0.000141102 0.000157944 0.000297725 0.000239735 0.000249801 0.000124754 0.000100481 0.000107329 6.39942e-05 0.000106925 0.000147916 0.000246453 0.000112054 2.57913e-05 7.5536e-05 6.41284e-05 2.70463e-05 7.184e-05 -0.000221886 -0.000106388 3.50161e-05 -0.000123997 -5.40784e-05 1.01677e-05 0.00135243 4.88936e-05 -1.60883e-05 1.5982e-05 -2.5734e-06 -2.35675e-05 -6.95102e-05 3.39462e-05 0.000120458 -3.74207e-05 
-0.767553 0.000129916 -5.2411e-05 7.18283e-06 0.000143088 0.000147651 -0.000118936 0.000129059 -0.000262403 -0.000395401 -0.000305984 0.00325845 -0.000419339 -0.000272893 -4.93552e-05 0.000118927 0.000187976 7.1096e-05 -5.54199e-05 -1.78881e-05 -8.77934e-05 3.99726e-05 -3.19285e-05 5.00487e-05 -6.25153e-05 0.000219419 2.19973e-05 -3.12627e-05 -6.8617e-06 2.95589e-05 4.95459e-05 -2.62108e-06 3.21121e-05 8.84238e-05 3.58561e-06 -0.000315897 -0.000101437 6.55447e-06 -5.82971e-06 9.67992e-05 -7.01272e-05 -2.35726e-05 0.000120136 -1.50678e-05 0.000146223 0.000205598 1.98363e-05 0.000415235 -3.21131e-05 -1.09418e-05 1.20782e-05 0.000122566 -2.25995e-05 5.49639e-05 -3.75999e-05 0.000155973 7.05199e-05 
-0.128943 0.00010083 -1.77659e-06 9.227e-05 0.00017708 0.00020567 0.000112272 0.000101899 -0.000195648 -0.00027232 -0.000247665 -0.000419339 0.00303858 -0.000359984 -0.000255699 -6.64166e-05 5.74275e-05 -3.60021e-05 7.39535e-05 2.85148e-05 8.88657e-05 0.000101423 0.000106263 0.000128012 0.000141121 0.000184548 0.000195124 0.000182863 0.000108677 0.000100656 0.000100177 0.000127243 0.000121031 0.000159336 0.000213026 0.00016404 -6.38444e-06 4.47059e-05 3.90762e-05 6.37591e-05 -4.39182e-05 -0.000141507 -2.5402e-05 -2.42266e-05 -3.13441e-06 -5.45913e-05 2.18425e-05 0.000857323 2.62675e-05 -1.37781e-05 -0.000149312 3.92907e-05 -2.39599e-05 5.84745e-05 -7.37892e-05 -7.7879e-05 -6.60066e-06 
0.0162043 1.70402e-05 0.000311096 0.000283891 0.00036005 0.00030592 -6.64353e-05 0.000209059 -3.80031e-05 -0.000131938 -0.000115037 -0.000272893 -0.000359984 0.00297413 -0.000536165 -0.000253215 -0.000205134 -1.00259e-05 -4.30163e-05 0.000266453 7.66785e-05 0.000161736 0.000121315 0.000234796 8.01855e-05 0.000363809 0.000292218 0.000114445 -2.77029e-05 -2.26548e-05 4.2164e-05 6.68532e-05 0.000188324 0.00033977 0.000227351 -0.000625244 -6.10473e-05 7.48101e-05 6.36221e-05 -4.35978e-06 5.50422e-05 -0.000581626 -9.93577e-05 2.13136e-05 -0.000342634 -2.43429e-05 3.4535e-05 0.00158809 1.37e-05 9.81491e-06 -0.000133124 3.74812e-05 6.06638e-05 -0.000416481 -0.00018291 -0.000221484 -1.47073e-05 
-0.322894 0.000184271 -0.000646106 -0.000149032 8.26312e-05 0.000272754 0.001225 0.000345695 3.10875e-05 0.000125106 7.1771e-05 -4.93552e-05 -0.000255699 -0.000536165 0.00400075 -0.000745274 -0.000606874 -0.000627762 0.000150771 -0.000122358 0.000310824 0.000207409 0.000268491 0.000192668 0.000337279 0.000137663 0.000145857 6.04666e-05 0.000187206 0.000170934 0.0001606 0.00024877 0.000228966 0.000233846 0.000274104 0.0007695 4.38827e-06 6.885e-05 5.9013e-05 0.000137041 9.85019e-06 0.000645766 -1.8328e-05 7.00369e-06 0.000529115 -7.20621e-05 1.49297e-05 0.000813473 7.42346e-05 -6.22414e-05 -0.000129845 0.000189575 -0.000147999 0.000223276 4.00696e-05 0.000274099 9.58383e-05 
0.022082 2.04547e-05 0.000154584 0.000269918 0.000509893 0.00055509 5.3792e-05 0.000580563 0.000263332 0.000206534 0.000162186 0.000118927 -6.64166e-05 -0.000253215 -0.000745274 0.00296121 -0.000657028 -0.000179601 -0.000202682 0.000245321 2.26883e-05 0.000282052 0.000207401 0.000275554 0.000171851 0.000435398 4.83552e-05 0.000101083 9.13835e-05 0.000141609 0.000211005 7.89073e-05 0.000164423 0.000261513 0.000316939 -0.000342571 4.99346e-05 0.000119798 9.9962e-05 2.73989e-05 -5.25609e-05 -0.000151994 -0.000372093 8.69771e-06 -0.000625622 -2.32234e-05 4.71976e-06 0.00202647 2.49602e-05 9.70362e-06 -0.000249589 3.761e-05 4.08057e-05 -0.000375752 -0.000236324 -0.000231154 -2.78169e-05 
-0.0871953 0.000105988 -0.000567544 -5.57299e-05 0.000206608 0.000378834 0.000938713 0.000447907 0.000209649 0.000350812 0.000241853 0.000187976 5.74275e-05 -0.000205134 -0.000606874 -0.000657028 0.00430439 -0.000665321 -0.0001906 -7.05676e-05 8.234e-05 0.000153186 0.000332188 0.000380945 0.000350101 0.000230424 0.000264407 0.000217007 0.000164437 0.00010846 0.000108268 0.000132826 0.000198975 0.000198325 0.000250763 0.000570052 8.52326e-05 0.000108161 9.43269e-05 8.71207e-05 1.5639e-05 0.000464434 -0.000166203 2.38151e-05 0.000177214 -9.95118e-05 -6.16854e-06 0.00140375 8.80832e-05 -5.15784e-05 0.000159745 0.000104672 -0.000101852 -2.38359e-05 5.30219e-05 0.000193276 4.97226e-05 
0.0977461 -0.000161647 0.00119556 0.000959852 0.00147992 0.00133817 -0.00169205 0.00132646 0.000583726 0.000289239 0.000138088 7.1096e-05 -3.60021e-05 -1.00259e-05 -0.000627762 -0.000179601 -0.000665321 0.00627415 -0.000881912 0.000843321 -0.000628804 0.000414708 8.09449e-05 0.00035206 -0.000157856 0.00106217 -6.73287e-05 0.000759829 0.00015798 0.000275397 0.0004157 -0.000305152 -4.0804e-05 0.000169195 0.000779253 -0.00109486 0.000399554 0.000268408 0.000213585 -0.000237911 -0.000162679 -0.000356297 -0.00124415 -6.31041e-05 -0.0024761 0.00025873 -4.08016e-05 0.00448075 7.87377e-06 0.000130927 -9.09458e-05 -0.000166529 0.000323923 -0.000386459 -0.000324178 -0.000899851 -0.000248663 
1.13146 -3.31204e-05 -0.000284047 -7.97157e-05 -0.000237078 -6.21142e-05 0.00142915 -0.000215087 3.898e-05 0.000236777 8.55417e-05 -5.54199e-05 7.39535e-05 -4.30163e-05 0.000150771 -0.000202682 -0.0001906 -0.000881912 0.00615732 -0.000554195 -9.51242e-05 -0.00021096 0.000378939 0.000390692 0.000705514 -0.000229755 0.000634411 0.000716961 0.000384629 0.000175648 2.16238e-05 0.000263651 9.92535e-05 -2.13979e-05 0.000593461 0.00244039 0.000298946 4.29779e-05 6.85198e-05 0.000130781 -4.33465e-08 -0.000251361 -6.5015e-05 -3.67672e-06 -2.38798e-05 -0.00063623 -2.11754e-05 0.000103871 0.000117625 -6.29527e-05 -0.000202009 -0.00024194 -0.000157151 -2.93065e-05 0.000181845 -0.000394528 -0.000192473 
0.732195 -6.67673e-05 0.000947226 0.00100604 0.00161143 0.00153888 -0.00206928 0.0013715 0.000396292 0.000147013 8.03104e-05 -1.78881e-05 2.85148e-05 0.000266453 -0.000122358 0.000245321 -7.05676e-05 0.000843321 -0.000554195 0.00380916 -0.000488754 0.000354457 6.29605e-05 0.000488445 -7.1897e-05 0.00123783 0.000367979 0.000920567 0.000163342 0.00017788 0.000348757 -0.000264328 0.000138481 0.000407285 0.000914447 -0.00123272 0.00034398 0.000358796 0.000301726 -0.000203649 -1.59538e-06 -0.00112016 -0.00128921 1.07115e-06 -0.00247083 -5.92851e-05 -6.63266e-06 0.00611515 8.99588e-05 0.000100125 0.000151425 -0.000270414 0.000302096 -0.00072139 -0.000358413 -0.00087542 -0.000281048 
1.51722 -9.24728e-06 0.000176066 1.23156e-05 -0.000419803 -0.000386506 0.00110043 -0.000610421 -8.64629e-05 3.09915e-05 -4.05579e-06 -8.77934e-05 8.88657e-05 7.66785e-05 0.000310824 2.26883e-05 8.234e-05 -0.000628804 -9.51242e-05 -0.000488754 0.00660509 -0.000277341 0.000268051 0.000250753 0.000601853 -0.000416857 0.000590676 0.000403017 0.000204153 2.59641e-05 -9.26116e-05 0.000315311 0.000133354 4.33715e-05 0.000333061 0.00166708 0.000129423 -1.81245e-05 2.26345e-05 0.000174656 2.27406e-06 -0.00101429 0.000145296 1.35702e-05 -2.0018e-05 -0.000743256 -8.10657e-06 -0.000351848 7.66586e-05 -4.47708e-05 -0.000357209 -0.000298568 -9.26386e-05 -0.000342932 -9.39416e-05 -0.000618602 -0.000119098 
0.692149 0.000147847 0.000194972 0.000463535 0.000913699 0.00102355 -0.000605613 0.000959825 0.000228022 0.000107078 5.35473e-05 3.99726e-05 0.000101423 0.000161736 0.000207409 0.000282052 0.000153186 0.000414708 -0.00021096 0.000354457 -0.000277341 0.00444164 4.38841e-05 0.000184779 2.46568e-05 0.000562157 4.59761e-05 0.000581734 0.00027798 0.000267067 0.000329802 -8.484e-05 6.26825e-05 8.59356e-05 0.000604896 0.000228185 0.000296091 0.000241987 0.00021008 3.75914e-05 -0.000118652 -0.000234101 -0.000870781 -5.51231e-05 -0.00126205 -0.00023485 -1.97218e-05 0.00382161 0.000110092 2.04352e-05 -1.05793e-05 -0.000191688 6.58505e-05 7.46793e-06 -0.000238288 -0.000496307 -0.000127958 
