process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].ycs_values{1958} process[Recruitment].ycs_values{1959} process[Recruitment].ycs_values{1960} process[Recruitment].ycs_values{1961} process[Recruitment].ycs_values{1962} process[Recruitment].ycs_values{1963} process[Recruitment].ycs_values{1964} process[Recruitment].ycs_values{1965} process[Recruitment].ycs_values{1966} process[Recruitment].ycs_values{1967} process[Recruitment].ycs_values{1968} process[Recruitment].ycs_values{1969} process[Recruitment].ycs_values{1970} process[Recruitment].ycs_values{1971} process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Instantaneous_Mortality].m{male.nonspawn} process[Instantaneous_Mortality].m{female.nonspawn} observation[TangaroaAcousticMature].process_error 
314527 0.0855841 0.729927 0.512672 0.331181 0.0190747 0.51254 0.941203 0.999 0.255898 0.260995 0.267025 0.274312 0.283173 0.294102 0.308798 0.824676 0.531625 0.370703 0.266765 0.138528 0.0802537 0.158215 0.106305 0.0575723 0.060793 0.127247 0.0505653 0.0395934 0.0499646 0.375867 0.368155 0.0940202 0.0328014 0.136472 0.130805 0.112561 0.286165 0.127934 0.437718 0.035898 0.256495 2.75116 0.558714 0.2639 0.126748 0.560017 0.36192 0.144856 0.320596 0.192791 0.298743 0.705184 0.417689 0.254272 0.252378 0.324953 1.69567 0.686598 0.200671 1.20372 0.169349 0.875687 0.132658 0.151183 0.160327 0.0001 
covariance_matrix:
29806.5 0.00540955 0.108839 0.244857 -0.198612 0.000742846 0.0624838 -1.17672 23.8326 -0.00550792 -0.00704232 -0.00877575 -0.0116951 -0.0153089 -0.0204465 -0.0283852 -0.132741 -0.036511 -0.016362 -0.00462948 -0.00248489 -0.00428546 -0.000937562 -0.000280853 -0.00176115 0.00236622 -0.005186 -0.00521344 -5.12811e-05 -0.000334703 -0.0201342 -0.00814296 -0.0019559 -0.00188544 -0.00102435 0.00316498 -0.00834995 -0.0499536 0.00224854 -0.0167836 -0.00236884 -0.0234253 -0.145625 -0.0474539 -0.065318 -0.00272969 0.187001 -0.0960732 0.0214109 -0.0629587 0.0442365 -0.0571866 0.0837662 -0.0596334 0.0225304 0.0379353 0.00952304 -0.00458303 0.132734 0.0543731 0.467564 0.0323884 0.298455 0.0192521 -0.00252089 -0.00183871 -1.02084e-10 
531.497 -5.25229e-05 -0.000233055 -0.000207197 -0.000407049 -1.02721e-05 -0.000128265 0.000281005 -0.00550792 0.0728112 -0.00110922 -0.00132512 -0.00159125 -0.0019446 -0.00244549 -0.00322943 -0.00792303 -0.000815407 -3.28182e-06 3.92953e-05 3.32584e-05 3.01973e-05 0.000101221 7.40416e-05 3.07034e-05 2.86472e-05 6.31366e-05 2.30554e-05 2.04816e-05 2.68705e-05 0.000182349 0.000136377 2.76292e-05 6.20379e-06 8.01216e-06 -2.98681e-06 -6.10067e-06 8.6372e-06 2.16196e-05 0.000185967 2.52813e-05 0.000267829 0.00309374 0.00055508 0.000219743 8.93462e-05 0.000304442 0.000237775 7.03509e-05 0.000183148 7.71836e-05 0.000178592 0.000391292 0.000268579 0.000143782 0.000138579 0.000195827 0.00108351 0.000352202 8.21944e-05 0.000425567 4.52262e-05 0.000163239 1.38526e-05 0.000277561 -3.52886e-07 7.57843e-14 
445.941 -6.66962e-05 -0.000300185 -0.000264336 -0.000519594 -1.29517e-05 -0.000164187 0.0003594 -0.00704232 -0.00110922 0.0771589 -0.00157534 -0.00190967 -0.00233259 -0.0029183 -0.0038516 -0.00922069 -0.000864643 5.81675e-05 8.27023e-05 5.31701e-05 4.07904e-05 0.00013003 9.41398e-05 3.81136e-05 3.45852e-05 7.49178e-05 2.69206e-05 2.38633e-05 3.09962e-05 0.000199191 0.000133442 2.38629e-05 4.42749e-06 -4.08264e-06 -1.75523e-05 -2.01948e-05 -2.33671e-05 1.11199e-05 0.000174931 2.72266e-05 0.000297547 0.00349806 0.000611994 0.000238302 0.000104692 0.000354035 0.000282371 8.15005e-05 0.000214588 8.66522e-05 0.000208843 0.000451653 0.000313094 0.00016431 0.000159415 0.000228836 0.00126549 0.000399717 9.0309e-05 0.000467048 4.93159e-05 0.000161229 1.27467e-05 0.000355969 2.5155e-06 9.5036e-14 
334.771 -8.54215e-05 -0.000387585 -0.000336559 -0.000665476 -1.64805e-05 -0.000210723 0.000448782 -0.00877575 -0.00132512 -0.00157534 0.0824996 -0.00229216 -0.00282747 -0.00353845 -0.00464547 -0.0107989 -0.00088989 0.000160851 0.000151855 8.43815e-05 5.76071e-05 0.000168578 0.000119165 4.78854e-05 4.20993e-05 8.8934e-05 3.13756e-05 2.78636e-05 3.58347e-05 0.000216323 0.000124691 1.7678e-05 1.66558e-06 -2.18823e-05 -3.84895e-05 -4.04034e-05 -7.01253e-05 -4.38393e-06 0.000154579 2.9376e-05 0.000333573 0.00399815 0.00068009 0.000258935 0.000123437 0.000414942 0.000335561 9.47357e-05 0.000251249 9.73299e-05 0.000244392 0.000523781 0.000366133 0.000188775 0.00018458 0.00026899 0.00148715 0.000456938 9.97694e-05 0.000516051 5.37246e-05 0.000155211 1.08353e-05 0.000459814 6.74267e-06 1.18174e-13 
184.239 -0.000111091 -0.000509724 -0.000438621 -0.000869098 -2.12958e-05 -0.000275474 0.000599621 -0.0116951 -0.00159125 -0.00190967 -0.00229216 0.089232 -0.00344689 -0.00435565 -0.00571546 -0.0128124 -0.000864015 0.000321189 0.000257306 0.000129776 8.20595e-05 0.000226383 0.00015247 6.01957e-05 5.23678e-05 0.00010719 3.68772e-05 3.27549e-05 4.17096e-05 0.00023443 0.000107409 7.93376e-06 -2.4971e-06 -4.8153e-05 -6.90493e-05 -6.93917e-05 -0.0001369 -2.74554e-05 0.000120841 3.18972e-05 0.000379624 0.00464316 0.000766074 0.000284969 0.000147235 0.000484777 0.000404989 0.000110102 0.000297924 0.000107904 0.000289837 0.000609454 0.000433854 0.000217979 0.00021447 0.000319112 0.00176631 0.000522771 0.000108933 0.000556837 5.72272e-05 0.000130933 6.91651e-06 0.000601333 1.30467e-05 1.51115e-13 
-23.5564 -0.000146733 -0.000677006 -0.00058081 -0.00114959 -2.79674e-05 -0.000363697 0.000785365 -0.0153089 -0.0019446 -0.00233259 -0.00282747 -0.00344689 0.0977938 -0.00542441 -0.00717761 -0.0154289 -0.000795262 0.000583187 0.000415383 0.000195881 0.00011536 0.000304492 0.000200398 7.70718e-05 6.54034e-05 0.000133205 4.40712e-05 3.89644e-05 4.90907e-05 0.000253005 7.72198e-05 -7.14301e-06 -8.80765e-06 -8.69041e-05 -0.000113612 -0.000111699 -0.000235388 -6.15107e-05 6.65181e-05 3.48362e-05 0.000439277 0.00549396 0.000875771 0.000315628 0.000178338 0.000576543 0.000493744 0.000129659 0.000356375 0.000120458 0.000347068 0.000719225 0.000520319 0.000255199 0.000253021 0.000384251 0.00213005 0.000607473 0.000120098 0.00060657 6.08741e-05 9.3305e-05 7.93875e-07 0.000798101 2.24966e-05 1.94078e-13 
-314.433 -0.000197985 -0.000919254 -0.000781388 -0.00155467 -3.75246e-05 -0.000491351 0.00104991 -0.0204465 -0.00244549 -0.0029183 -0.00353845 -0.00435565 -0.00542441 0.108829 -0.0091636 -0.0189219 -0.000513729 0.00101139 0.000693678 0.00030672 0.000169449 0.000421746 0.000271042 0.000102871 8.30267e-05 0.000163933 5.379e-05 4.68076e-05 5.77645e-05 0.00026455 1.93908e-05 -3.23065e-05 -1.90196e-05 -0.000147811 -0.00018261 -0.000176745 -0.000388083 -0.0001153 -2.79669e-05 3.78562e-05 0.000515567 0.00661171 0.00101269 0.000349959 0.000218196 0.000685776 0.000606353 0.000152012 0.000427393 0.000130834 0.000417405 0.000848567 0.000628337 0.000299065 0.000299209 0.000466109 0.00258989 0.00070541 0.000129859 0.000639832 6.15572e-05 1.66155e-05 -1.0152e-05 0.00108025 3.71505e-05 2.52854e-13 
-758.833 -0.000278482 -0.00129895 -0.00109306 -0.00218702 -5.24914e-05 -0.000690438 0.00146005 -0.0283852 -0.00322943 -0.0038516 -0.00464547 -0.00571546 -0.00717761 -0.0091636 0.124428 -0.0242144 4.93302e-05 0.00183788 0.00117043 0.000506256 0.000263403 0.000621652 0.000384507 0.000144254 0.000113168 0.000207223 6.54325e-05 5.85515e-05 6.95429e-05 0.000261937 -9.10538e-05 -7.65802e-05 -3.6617e-05 -0.000250554 -0.000297699 -0.000284646 -0.00064293 -0.00020629 -0.000198923 4.09259e-05 0.000622361 0.00822189 0.00119907 0.000390397 0.000274045 0.000826616 0.000762349 0.00017933 0.000520601 0.000136803 0.000511107 0.00101311 0.00077513 0.000354796 0.000358966 0.000578195 0.00322497 0.000826434 0.000136472 0.000639158 5.61513e-05 -0.000136508 -3.071e-05 0.00152218 6.13277e-05 3.41064e-13 
-3895.55 -0.00112398 -0.00528627 -0.00465162 -0.00908514 -0.000212566 -0.00282314 0.00672425 -0.132741 -0.00792303 -0.00922069 -0.0107989 -0.0128124 -0.0154289 -0.0189219 -0.0242144 0.378712 -0.00381387 0.0102551 0.00712339 0.00319513 0.00173588 0.00411128 0.00263633 0.00114529 0.00108815 0.00230946 0.000815865 0.000665004 0.000845596 0.00555421 0.00393912 0.000753809 0.000200947 0.000575629 0.00031715 0.000158388 0.000812096 0.000646021 0.00430354 0.000541337 0.00543455 0.0652833 0.0112965 0.00461132 0.00252394 0.00984372 0.00741505 0.00236288 0.00592688 0.00274686 0.00558694 0.0123372 0.00800753 0.00429574 0.00425128 0.00595017 0.0323439 0.0108422 0.00260125 0.0152818 0.0018398 0.00808797 0.000847992 0.00614687 0.000225425 1.85603e-12 
-1157.53 -0.000281397 -0.00131865 -0.00122228 -0.00239608 -5.36979e-05 -0.000711441 0.0018185 -0.036511 -0.000815407 -0.000864643 -0.00088989 -0.000864015 -0.000795262 -0.000513729 4.93302e-05 -0.00381387 0.0910022 0.00326234 0.00256967 0.00122103 0.000678893 0.00164256 0.00108048 0.000505946 0.000519146 0.00115512 0.00042628 0.000341339 0.000438933 0.00320286 0.00275258 0.000622628 0.000192283 0.000790322 0.000698457 0.000570847 0.00158495 0.000767097 0.00316837 0.000289725 0.00256175 0.0295424 0.00548205 0.00239226 0.00120898 0.00514046 0.00360089 0.00126121 0.00302578 0.00158722 0.00281931 0.00644971 0.00397198 0.00224036 0.00220354 0.0029491 0.0158753 0.00575049 0.00148204 0.00896335 0.0011015 0.00545094 0.000589267 0.00154666 4.35418e-05 6.68494e-13 
