*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14210.7 47.3135 0.0614246 3.04011 0.191764 3.31509 1.02647 0.23512 0.232089 0.233169 0.241993 0.264699 0.314952 0.416347 0.601994 0.902567 1.37987 1.55856 1.0285 0.847821 0.847085 1.06575 1.54805 1.05345 0.802905 0.816575 0.628937 0.802339 0.745993 0.466754 1.09063 0.917106 0.382561 0.901903 0.720454 0.834793 0.426065 1.28707 0.6911 0.736776 0.561904 0.439777 
covariance_matrix:
1.94864 -0.00197298 -1.85713e-05 -0.00314758 -0.0150162 -4.79052e-05 -0.000731136 -0.000115892 0.00766984 -0.000130124 -8.52202e-05 2.54456e-05 0.000282038 5.12692e-05 0.000216453 -0.000405633 0.00179169 0.00329813 0.000724019 0.000936582 0.00120751 0.000697897 0.00447201 0.000429658 0.00111134 0.00098627 0.000557984 0.000868313 0.000821475 0.000895946 0.0010985 0.00108847 0.000528529 0.00122243 0.00107037 0.00115335 0.000552248 0.00171608 0.000998185 0.00118632 0.000883608 0.000529716 
1.87076 -0.00260402 -1.34145e-05 -0.00306164 -0.0145851 -8.57815e-05 -0.000711238 -0.000110999 -0.000130124 0.00774026 -8.27787e-05 2.72974e-05 0.000287081 6.97041e-05 0.000147202 -0.000551069 0.00180209 0.00338204 0.000681594 0.000931775 0.00122566 0.000808173 0.00431607 0.000508508 0.00114677 0.00101797 0.000603114 0.000919942 0.000812242 0.000895678 0.00110537 0.00107461 0.000540121 0.00126272 0.00106009 0.00116904 0.00056443 0.00174648 0.00101265 0.00121563 0.000910995 0.00055179 
1.90063 -0.00374856 -3.63493e-06 -0.0029759 -0.0141529 -0.00012322 -0.000705599 -6.51536e-05 -8.52202e-05 -8.27787e-05 0.00834134 7.27816e-05 0.000353426 0.000124688 4.50307e-05 -0.000837139 0.00179229 0.0036245 0.000620171 0.000968462 0.00131778 0.000978626 0.00420507 0.000646529 0.0012364 0.00109644 0.00071837 0.00105626 0.00086737 0.000943451 0.0011619 0.00107859 0.000589603 0.00135923 0.00108318 0.00122988 0.000614937 0.00181198 0.00105777 0.00127765 0.00096414 0.000577771 
2.12578 -0.00569036 1.28599e-05 -0.00295225 -0.0140192 -0.000133863 -0.000619411 4.72249e-05 2.54456e-05 2.72974e-05 7.27816e-05 0.00989525 0.000556048 0.000219428 -0.000173107 -0.00145939 0.00180549 0.00420732 0.000498473 0.00112424 0.00162954 0.00135429 0.00408389 0.000981913 0.0012094 0.00123987 0.00100809 0.00133926 0.00102441 0.00107282 0.00136095 0.00114094 0.000717167 0.00157591 0.00117155 0.00139867 0.00072281 0.00198443 0.00116095 0.00142581 0.00107352 0.000684483 
2.15002 -0.00664157 -6.22048e-06 -0.00561513 -0.0269436 -7.52646e-05 0.00022049 0.000307514 0.000282038 0.000287081 0.000353426 0.000556048 0.0140434 -0.000631813 -0.0011743 -0.0028359 0.00499279 0.004211 -0.000917665 0.00210248 0.00333779 0.00239702 0.00447785 0.00225498 -0.00142719 0.00267218 0.00211042 0.00168209 0.000918817 0.0015048 0.00250178 0.00177346 0.00102246 0.00227449 0.00136038 0.00165484 0.000910683 0.00267789 0.00152205 0.00174355 0.00124311 0.00114406 
4.28211 -0.0162127 0.000171151 0.0234315 0.11347 -0.00124712 -0.00526641 5.69912e-05 5.12692e-05 6.97041e-05 0.000124688 0.000219428 -0.000631813 0.0284771 -0.00372835 -0.0129819 -0.00984973 0.0127612 0.00722797 0.00608589 0.00100799 0.0106012 -0.0210858 0.00101828 0.00952556 -0.00239972 0.000926567 0.0036497 0.00621923 7.98736e-05 -9.09597e-05 0.000326566 0.000943667 0.00133836 0.00111634 0.0013267 0.000847659 0.00107575 0.00132086 0.00144008 0.00108381 0.000584457 
13.0984 -0.0425902 0.000535235 0.0145497 0.0699721 -0.00151634 0.000612044 0.000284335 0.000216453 0.000147202 4.50307e-05 -0.000173107 -0.0011743 -0.00372835 0.0837638 -0.0201091 -0.0468776 0.032944 0.00441067 0.00365793 0.00564305 0.0019801 0.018344 0.0102421 -0.00732234 0.00638452 0.00573221 0.00594679 0.00422268 0.00248028 0.00381088 0.00171909 0.00176926 0.0070069 0.00333802 0.00470011 0.0021232 0.00922541 0.00429889 0.00628124 0.0046726 0.00373337 
-10.506 0.00242704 -0.000588465 -0.171797 -0.82295 -0.000182692 -0.00399112 -0.000345263 -0.000405633 -0.000551069 -0.000837139 -0.00145939 -0.0028359 -0.0129819 -0.0201091 0.228727 -0.20211 0.00696322 0.023216 0.0113046 0.0168857 -0.00240626 -0.0010433 -0.0294082 0.0311848 -0.00112968 0.00364135 0.00460685 -0.00283122 0.00357916 0.00653788 0.00383978 0.0012984 0.00495541 0.00195521 0.000957446 0.00116212 0.00147459 0.000310018 -2.77603e-05 6.36469e-05 0.00152099 
15.1385 -0.0668816 0.000973567 -0.0301715 -0.144098 -0.00036332 0.00785988 0.00180873 0.00179169 0.00180209 0.00179229 0.00180549 0.00499279 -0.00984973 -0.0468776 -0.20211 0.950269 -0.732114 0.0756585 0.0325313 -0.000942004 0.020936 0.0932619 -0.036298 0.0303374 -0.00205208 -0.000782366 0.00890561 0.00971291 0.00494702 0.0112664 0.00652245 0.00293794 0.0117245 0.00621653 0.00893411 0.00417665 0.0163948 0.00880731 0.0091551 0.00877985 0.00505003 
-49.6153 0.12122 -0.00159684 -0.00820191 -0.0438808 -0.00354259 -0.0262648 0.00322932 0.00329813 0.00338204 0.0036245 0.00420732 0.004211 0.0127612 0.032944 0.00696322 -0.732114 1.28973 -0.365483 -0.0949451 -0.0144106 0.000291742 0.0173943 0.0905526 -0.000317505 0.0194339 0.006311 0.0128711 0.00662486 0.00988374 0.0366493 0.0278542 0.00998445 0.0103084 0.0186586 0.0182113 0.00853437 0.0169818 0.0124585 0.00620889 0.0014602 -0.000529044 
