process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} process[Recruitment].recruitment_multipliers{2018} 
310577 0.0910559 0.125941 12.9844 0.127969 0.447264 0.353734 4.87645 1.77029 0.601837 5.60807 2.2142 5.63972 2.29781 0.933195 6.05848 2.73846 8.40239 1.94735 200 1.02085 8.73949 2.08849 40.5947 8.60835 4.59169 0.26993 9.53352 3.69064 14.0467 10.0261 1.17449 9.71478 2.8967 0.466425 0.450203 0.564536 0.566878 0.490807 0.56717 0.578546 0.710941 0.636192 0.808019 0.469285 0.707058 0.410425 0.514559 0.342115 0.347279 0.438257 0.475005 0.451332 0.494793 0.470699 0.80486 0.792084 0.831087 0.712485 0.554267 0.476828 0.461396 0.554418 0.542062 0.482628 0.549935 0.615783 0.774625 0.630525 0.77345 0.639284 0.699353 0.648711 0.50623 0.587382 0.589121 0.574499 
covariance_matrix:
807.312 -0.00028934 -0.000277625 0.0972716 0.000791131 -0.0106165 0.000613839 0.0115135 0.044206 0.00151723 -0.00171358 0.013395 -0.00155766 0.0121368 -0.00021705 0.002117 0.0195515 0.0120118 0.00834647 -0.000101172 0.00131651 0.00618557 0.00602867 0.55556 0.0776011 0.116318 0.00229911 0.0115606 0.0119211 0.000864417 -0.0251819 -0.000471057 0.0100594 0.00779812 -0.0015346 0.00132961 0.000747071 0.000700945 0.000123189 0.00059004 -0.000337593 0.00214894 -0.00156089 -0.000606311 -0.000861254 -0.00166205 -0.000270206 -0.000372294 0.000459478 0.000557834 5.44079e-05 -5.01671e-05 -0.000263562 -0.000122358 -0.000234896 -0.000720142 -0.000310139 3.24768e-05 0.000391795 -0.00012697 0.000261067 0.000206061 0.000264531 0.000718707 0.000369147 0.00062516 0.000182865 0.000176999 0.000829298 0.00165965 0.000461125 0.00148462 0.00169146 0.00158494 -0.000180249 -0.000594127 -0.000653875 
-18.9136 -6.15109e-05 -3.87692e-06 0.00129164 5.54637e-05 -0.00148618 -4.97865e-05 -0.000462185 0.00151723 0.00156241 -0.00447021 -0.00136138 -0.00259877 0.000360744 -3.43957e-05 -0.0020741 0.00165467 -0.00101596 0.000272891 1.55956e-06 0.000342179 -9.41364e-05 0.000870274 -0.0930879 0.0118368 0.0219925 0.000532741 -2.3398e-05 0.00180532 0.00804782 0.0105717 0.00121578 -4.12531e-05 0.00145488 8.98318e-05 -0.00010136 1.32756e-05 -0.000124377 -0.000107398 -0.000139989 -0.000223923 8.27262e-05 -0.000264907 -0.000271274 4.40827e-06 -0.000199044 3.13797e-05 -7.70473e-05 -7.14566e-05 -8.40567e-05 -4.29966e-05 -3.72539e-05 -5.67395e-05 -0.000131509 -2.78248e-05 -0.000161214 -5.84135e-05 -0.000199436 -0.000127622 -5.35241e-05 -4.23056e-05 -6.97113e-05 -5.45208e-05 -6.13202e-05 -4.81885e-05 -5.60514e-05 -6.01561e-05 -3.45414e-05 -6.51527e-05 1.12723e-05 2.10141e-05 3.85173e-05 7.25028e-05 8.9055e-05 0.000364184 1.71151e-05 0.00045157 
1397.6 -7.5239e-05 -0.000408034 -0.174994 -0.00225837 0.0491305 0.000440816 0.0729948 -0.00171358 -0.00447021 0.0859742 -0.00110633 0.053022 -0.0312001 -0.000990248 0.0459426 -0.0564223 0.00765994 -0.0181296 0.000222477 -0.00354409 0.00301485 -0.0239278 -1.28631 -0.336499 -0.609135 -0.0114871 -0.0327185 -0.0670162 -0.178025 -0.215677 -0.0216182 -0.0190948 -0.0425193 -0.0023509 -0.000745906 -0.00169166 0.000658888 0.000139699 -0.000860294 0.00284577 0.000111806 0.00317237 0.0025032 0.00137964 0.000837973 0.000325311 -0.000837822 -0.000136592 0.000818315 8.23467e-05 -0.00106985 -0.00149974 0.000237318 -0.000357518 0.000273492 -0.0018634 0.0002679 -9.5415e-05 -0.000149833 -0.000558932 -0.000542735 -0.000954805 -0.00132106 -0.000563871 -0.000189349 8.33114e-06 -0.000826108 0.000142726 0.0010863 -0.000395847 -0.00122139 0.000641343 -0.00133865 0.00143592 -0.00294157 -0.002748 
147.023 -2.80671e-07 -6.62236e-05 0.256868 0.00214145 -0.0347661 0.00134874 -0.0341608 0.013395 -0.00136138 -0.00110633 0.0702106 -0.0151323 0.0354395 4.89696e-05 -0.00849135 0.0493829 0.0180631 0.0199797 -0.00036697 0.00253284 0.0111858 0.0181074 2.18653 0.250742 0.406621 0.00746879 0.0310395 0.0377398 0.0210148 -0.0113235 -0.000265673 0.0245298 0.0238017 -0.000290889 7.12345e-05 0.00111262 0.000936726 0.0013419 0.00349173 0.000383805 0.00192603 -0.000421429 -0.000828734 -0.00174732 -0.000781491 -0.000665389 0.000885171 0.000688668 0.000637273 0.000283013 0.000213096 0.000996398 -0.00033454 0.00028346 -0.00124229 0.00127332 0.000742445 0.000591182 6.92171e-05 0.000591339 0.000515743 0.00115297 0.00123496 0.00111504 0.00043836 0.000107185 1.34932e-05 0.000612974 -0.000699026 0.000553211 0.00156897 0.00175861 0.00102767 -0.00341741 0.00128299 -0.00304902 
4160.01 -0.00128536 -0.00182206 -0.111906 -0.00120861 0.0372021 0.000702445 0.0568899 -0.00155766 -0.00259877 0.053022 -0.0151323 0.170764 0.0864475 0.014189 0.0564258 -0.0281075 0.0194599 -0.00760341 -0.000861631 -8.85599e-05 0.00389176 -0.0179057 -0.55769 -0.218968 -0.397236 -0.00904443 -0.0128779 -0.0400768 -0.092951 -0.124774 -0.0106924 -0.0041291 -0.0140443 0.00325233 -0.00253876 0.00153789 0.00150459 0.000871624 -0.00176108 0.00480064 -0.000433012 0.00360377 0.000948623 0.00148128 -5.30115e-05 0.000206345 0.00116896 0.00141582 0.00156347 0.000864555 0.001017 0.00182779 0.00313932 0.00173684 0.00358904 0.000447978 0.00208941 0.00192341 0.000721488 0.00111979 -0.000222124 0.000385902 -6.88085e-05 0.0002307 0.000177859 0.000386258 -0.000233772 -1.41058e-05 0.000943363 -0.000187884 -0.00137259 0.00129816 -0.00155773 0.00329404 0.00173887 -0.00147117 
3211.11 -0.00124911 -0.00136409 0.281248 0.00300063 -0.0427354 0.00187124 -0.0460723 0.0121368 0.000360744 -0.0312001 0.0354395 0.0864475 0.240037 0.0125974 -0.00139897 0.0805366 0.0331295 0.0306265 -0.0014872 0.00552658 0.00997499 0.0212847 3.55636 0.357714 0.605889 0.00923729 0.0519051 0.0652284 0.176229 0.153032 0.0217534 0.0357913 0.0475648 0.00681419 -0.00264119 0.00679759 0.00123327 0.0021783 0.00250896 0.00418742 0.00198709 0.000446717 -0.00236915 -0.000331488 -0.000760476 0.000120269 0.00348474 0.00233224 0.00105107 0.000863706 0.00300427 0.00516252 0.00255829 0.00112236 0.00251519 0.00253986 0.00369964 0.00318242 0.00192126 0.00263788 0.00164001 0.00331282 0.00321148 0.00262338 0.0023645 0.00144916 0.00287696 0.0018685 0.00181219 0.00282472 0.0039603 0.00488225 0.00215893 0.00150879 0.0093161 -0.000587231 
-657.434 0.000229578 -0.000821858 -0.0039089 -4.24915e-05 -0.000331095 -0.00028167 -0.00125989 -0.00021705 -3.43957e-05 -0.000990248 4.89696e-05 0.014189 0.0125974 0.0167414 -0.0278703 -0.0227686 -0.00171671 -0.000734836 -0.000210876 0.00042811 0.00141176 0.00119546 -0.111681 -0.00514915 -0.00571653 -0.000364895 0.00217357 0.0053377 -0.0110149 0.0015461 -0.000802643 0.000603178 0.00331385 0.000314047 0.000106164 -0.000690782 0.00034366 -0.000134948 -0.000511224 0.000331258 -0.000672792 0.000133049 -2.20399e-05 0.000191603 0.000162323 -7.93632e-05 5.45646e-05 -5.49864e-05 1.37356e-05 1.69045e-05 -0.00047763 0.000373762 -0.000473021 -7.10538e-05 -0.000331342 -0.000350378 -0.000355419 -0.000209377 -0.000451125 -4.56023e-05 -0.000363871 -0.000371272 -0.000377011 -0.000386511 -0.000622343 -0.000266241 -0.000773536 -0.000629718 -0.000688807 -0.000346003 -0.000539154 -0.000711579 -0.000716969 -0.000762587 -0.00123238 8.48717e-05 
4560.64 -0.00156911 0.0010501 -0.0609155 -0.000375314 0.0285718 5.91936e-05 0.0486184 0.002117 -0.0020741 0.0459426 -0.00849135 0.0564258 -0.00139897 -0.0278703 0.233176 0.149429 0.0282251 0.000364539 0.000377648 0.00072153 0.00385128 -0.0143897 0.0578294 -0.105341 -0.22073 -0.0045853 -0.00920758 -0.0395743 0.00180283 -0.0820422 0.000603956 0.00614119 -5.44077e-06 0.00115928 0.00113354 0.00132246 0.00253378 -0.00111344 0.000647581 0.00199204 0.00254979 0.000307766 0.000180168 7.81824e-05 -0.000601438 0.000541064 0.00111387 0.00142628 0.00138735 0.000817091 0.00279094 0.000911128 0.00440935 0.0011677 0.00335837 0.000560677 0.0018287 0.00122124 0.00138425 0.000411563 0.000162152 0.000865597 1.15185e-05 0.000761059 0.00104647 -0.00055647 0.000478004 0.000768904 0.000711005 -6.50833e-05 -0.00183025 0.00386781 -0.00130522 0.00256236 9.47588e-05 -2.39186e-05 
1466.42 -0.000891607 0.00174815 0.391712 0.00461587 -0.0663971 0.000472181 -0.0751806 0.0195515 0.00165467 -0.0564223 0.0493829 -0.0281075 0.0805366 -0.0227686 0.149429 0.38526 0.0381404 0.0424678 -6.26763e-05 0.00905673 0.0100841 0.032272 4.31733 0.587349 0.980033 0.0181884 0.0584783 0.0772018 0.22586 0.159777 0.0257048 0.0557913 0.0835888 0.00608555 0.00275881 0.00573211 0.00416078 -0.000335662 0.0053043 0.000663707 0.00539651 -0.00341811 -0.0029398 -0.00177954 -0.000819627 0.000616964 0.00410945 0.00230972 0.000986454 0.000796101 0.00444468 0.00457281 0.00323837 -0.000560223 0.00162554 0.00146313 0.00233284 0.00179478 0.00152291 0.0017929 0.0012308 0.00302136 0.0026855 0.002361 0.00189004 -0.000587783 0.00151345 0.001043 -0.00039745 0.00237163 0.00229969 0.00586498 0.00181146 -0.00204923 0.00458425 0.000358319 
587.831 -0.000146918 4.46347e-05 0.166056 0.000996945 -0.0106651 0.00106795 -0.00029736 0.0120118 -0.00101596 0.00765994 0.0180631 0.0194599 0.0331295 -0.00171671 0.0282251 0.0381404 0.153401 0.0777164 0.000109261 0.0124898 0.0308226 0.016486 1.20917 0.14682 0.194561 0.00495119 0.0185649 0.0120411 -0.0166126 -0.0666969 0.000118437 0.0234451 0.0255536 0.00192701 0.0052173 0.00273635 0.00145706 0.00280909 0.00150236 0.00205281 0.00318973 0.00163502 0.00138657 -0.000101267 0.0010507 5.49254e-05 0.00141077 0.000472762 0.000947223 0.0012577 0.00172668 0.00225887 0.00185909 -0.000357806 0.00202021 0.000521471 0.00244303 0.00206274 0.00185342 0.00177295 0.000601248 0.00176084 0.0019341 0.0021664 0.00178795 0.00143506 0.00256463 0.00222916 0.00284501 0.00479603 0.00605368 0.00645311 0.00362904 -0.000122217 8.37586e-05 0.00303228 
