process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
332645 0.0928912 0.126178 12.8641 0.135561 0.400393 0.356019 4.66425 1.7431 0.612361 5.39465 2.2282 5.49577 2.386 0.955215 5.85755 2.82431 8.3769 1.99773 70.2 1.05106 8.63399 2.11036 48.2719 12.4084 9.70441 0.420725 9.66734 3.96166 19.4872 14.3958 2.11839 9.76639 3.05711 0.485448 0.462114 0.568476 0.565131 0.488273 0.552863 0.564026 0.687644 0.619802 0.785343 0.460579 0.700652 0.408881 0.516916 0.344004 0.347019 0.439964 0.480166 0.454847 0.492583 0.471079 0.797661 0.794351 0.825708 0.709605 0.551972 0.477645 0.46153 0.55697 0.547641 0.484482 0.549188 0.616543 0.7754 0.631427 0.774244 0.644485 0.705913 0.650544 0.513486 0.585064 0.605367 0.564116 
covariance_matrix:
48.719 1.98741e-05 -4.0997e-05 0.0261865 3.98629e-05 0.00129707 0.00112476 0.0263859 0.0562603 0.00212228 0.0076277 0.00778731 0.00721266 0.00228103 0.000382545 0.00511255 0.00142375 0.00627096 0.00212712 0.374634 0.000832715 0.00210127 -0.000281788 0.187551 0.0341337 0.0118918 0.00191231 -0.000364266 -0.00959771 0.0580825 0.0506005 0.0125675 -0.00140074 -0.0096998 0.000494531 0.00141636 0.00106247 0.000222385 -0.000407501 -0.000473982 0.000222314 -0.000373644 -0.00137436 0.00195905 0.000886087 -0.000746603 0.000290878 -0.000301143 -0.000510256 0.00140888 -1.01098e-06 -0.000766619 0.000128459 -0.000262062 0.000328191 -0.00106621 -1.79667e-05 0.000312 0.00042973 -8.63245e-05 0.000606378 -0.00053551 0.00109909 -0.000557081 0.000781218 0.00124763 -0.00074604 0.00139924 0.000966712 0.000303488 -0.00168006 0.00312145 -7.39549e-05 0.00138576 -0.000534775 -0.00111173 0.000285443 
-63.2493 -3.05269e-05 1.72547e-05 -0.00441203 1.01021e-05 -0.000236305 -0.000172818 0.00164771 0.00212228 0.00149144 -0.00252594 -0.00191791 -0.00115739 -0.000457002 -0.000162401 -1.72336e-05 0.000479318 -0.000624793 -6.80855e-06 -0.0529267 -4.6308e-06 0.00118856 0.000749089 -0.0264515 -0.00487866 -0.00244812 -0.000163418 0.000486252 0.00109058 -0.00720652 -0.00352175 -0.00168906 0.000846772 0.000682776 -0.000370744 0.000462674 7.47758e-06 8.79156e-05 0.000249918 1.78307e-05 -0.000225447 0.000286901 -0.000271324 8.83645e-05 -1.13147e-05 -3.23722e-05 4.55727e-05 -0.00014154 7.78356e-05 -0.000139284 0.000118899 -0.00011917 -0.000146376 0.000109844 -0.000155019 0.00013766 -9.75091e-05 -2.30683e-05 -5.63874e-05 7.47668e-05 -0.000114809 7.31929e-05 -0.000155507 2.41043e-05 -0.00010152 -6.78061e-05 5.49625e-05 -3.3558e-05 -6.15465e-06 0.000117161 -0.000159047 0.000127793 -0.000193626 0.000226418 0.00040504 -0.000158095 -0.000197979 
137.584 0.000141897 -0.00023414 0.0822396 -0.000113309 0.00446553 0.00283902 0.0141507 0.0076277 -0.00252594 0.0379099 0.0316818 0.0184001 0.0100336 0.00272421 0.00705466 -0.00702509 0.00957549 0.000856468 0.988367 0.001761 -0.00412552 -0.00683847 0.485478 0.0785135 0.0453007 0.00390087 -0.00369826 -0.019748 0.122342 0.0793353 0.0301713 -0.0082296 -0.0207079 0.0010926 -0.00218258 -0.000119215 -0.000870171 -0.00128253 0.000380937 0.00353884 0.000493343 0.000671863 -0.00133824 0.00105951 -0.000255964 4.87148e-05 -0.000610394 0.000166619 0.000804657 0.000311022 -7.33862e-06 -0.000316384 0.000110987 -0.000164499 -0.00100913 -0.000339005 0.000397953 -0.000208323 0.000230853 -0.000119932 0.000175844 0.000311583 -9.38519e-05 0.000757645 0.000806254 -1.19293e-06 0.000727921 0.00100069 0.000903016 2.14736e-05 0.00100436 0.00192966 -0.00193171 0.000369047 0.00199015 0.00159634 
-73.3878 5.73706e-05 -5.29432e-05 0.00748794 0.000305919 0.000459541 4.35222e-05 0.0059413 0.00778731 -0.00191791 0.0316818 0.0607735 0.00682505 0.00717886 0.000981584 0.00411925 0.000960653 0.00372361 0.000398602 0.0796335 0.000725209 -0.00168016 -0.00305429 0.0293399 0.0157535 -0.0199315 0.000395465 0.00294577 -0.0100741 -0.00173026 -0.0181892 0.00243717 -0.0013916 -0.0140335 0.00138732 -0.00175117 -0.000603984 -0.00144995 -0.00182506 0.00118539 0.00299069 -0.000214658 -0.00148321 -0.00176344 0.00236786 0.00015743 0.000435259 3.1626e-05 0.000624132 0.000305506 0.000584675 -0.0011098 -0.000516562 0.000964898 -0.00079404 0.000299381 0.00078449 0.00232566 0.000634759 0.000895161 0.000251899 0.000720502 0.000544479 0.000532811 0.000808114 0.000908657 3.35251e-05 0.00124491 0.000793594 -0.000284999 -0.000341214 -0.000351618 0.00508087 -0.00504696 -0.00201016 -1.21668e-05 0.000820485 
-139.327 8.88284e-05 -0.000250577 0.0856785 0.000275733 0.00505545 0.00169198 0.0149184 0.00721266 -0.00115739 0.0184001 0.00682505 0.130928 0.0569245 0.00598284 0.0433456 0.0394801 0.0332746 0.012823 0.961667 0.00823885 -0.0191131 -0.0144688 0.430544 0.0522962 0.0384866 0.0014132 0.0164261 0.00303181 0.0523168 0.0064143 0.0270775 -0.00506819 -0.0110746 -4.69206e-05 -0.000377752 0.00129533 -0.000622874 0.000296275 -0.0013609 0.00484464 -8.27869e-05 0.000851941 -0.000824823 -0.000418553 -0.000145241 -0.000395793 0.000406672 0.00129181 0.00145799 0.0011635 0.00124718 0.00190341 0.00244534 0.00159298 0.00158463 0.000661658 0.0010273 0.000389096 9.59227e-05 0.000211775 -0.00037767 8.43704e-05 -0.000636113 -2.03066e-05 -4.8655e-05 -0.00140553 -0.00141653 -0.00110022 -0.000947505 -0.00270693 -0.00118151 -0.00278121 -0.00195551 4.02902e-05 0.00317582 0.00378944 
-166.631 9.29738e-05 -8.36013e-05 0.00119014 0.000826323 0.00084796 -0.0013343 0.00631184 0.00228103 -0.000457002 0.0100336 0.00717886 0.0569245 0.178683 0.00182282 0.0510571 0.0616689 0.0378057 0.017612 -0.056618 0.00826322 -0.0177204 -0.0114203 -0.0819067 -0.0178969 -0.0361421 -0.00276542 0.0334204 0.0283064 -0.0901065 -0.121058 -0.00355736 0.00516278 0.00810158 0.00477725 0.000868674 0.00961054 0.00347623 0.00388903 0.00164438 0.00505238 0.00353467 0.00383156 0.00387082 0.00263278 0.00370304 0.00207467 0.00431099 0.00268192 0.00155797 0.00147908 0.00369168 0.0038771 0.00305245 0.00193206 0.0034467 0.00168014 0.00417963 0.00243395 0.00204003 0.00164501 0.00127052 0.00199862 0.00182792 0.00146013 0.00179833 0.00110093 0.00131537 0.00126421 0.00132386 0.000542247 0.00234279 -0.000502 0.00143103 0.000589002 0.00535895 0.00736538 
-370.796 0.000134773 -0.000247823 0.0159583 -0.000190699 0.00116829 0.000835584 0.00215894 0.000382545 -0.000162401 0.00272421 0.000981584 0.00598284 0.00182282 0.00872234 -0.00750107 -0.00817244 0.00771292 0.0031991 0.0212569 0.0017083 -0.00104499 -0.00121761 -0.00597141 -0.00559595 -0.0162082 0.000553176 -0.00599992 -0.00820789 -0.059254 -0.0873254 -0.00116441 -0.00254608 -0.00476932 -0.000933464 -0.000357487 -0.00204408 -0.000326053 -0.000857791 -0.00150521 -0.000219612 -0.00257772 -0.000549528 -0.0016127 -0.000886823 -0.00179596 -0.000897535 -0.00111371 -0.000638462 -0.000682325 -0.000722871 -0.00109083 -0.000973468 -0.000908925 -0.000832304 -0.00151049 -0.00136197 -0.001525 -0.00130518 -0.000960343 -0.000974796 -0.00075167 -0.00123131 -0.00102106 -0.00110152 -0.00104434 -0.00117613 -0.00143622 -0.00125119 -0.00155537 -0.00116848 -0.00139902 -0.000844361 -0.000843191 -0.000800112 -0.000500826 -0.0011945 
1301.34 -0.0004284 0.000741699 0.0100192 0.00103699 4.11705e-05 -0.00191068 0.00632311 0.00511255 -1.72336e-05 0.00705466 0.00411925 0.0433456 0.0510571 -0.00750107 0.15647 0.0959657 0.0262892 0.0127203 0.6492 0.00479527 -0.0123264 -0.00799977 0.322171 0.0277018 0.101418 -0.00247176 0.0415684 0.0356074 0.206116 0.280014 0.0231329 0.0130361 0.0263426 0.000540692 -0.000824878 0.00329073 -9.35917e-05 -0.000777678 -0.00130881 0.00331248 0.00239697 6.27281e-05 -0.00191964 0.000900423 0.000856793 0.00136811 0.00155792 0.00143422 0.00201142 0.00136609 0.00252846 0.0032855 0.00330046 0.00191435 0.00224608 0.00182242 0.0020237 0.000812384 0.000871048 0.000619972 0.000553181 0.0018878 8.97878e-05 0.00197645 0.00156016 -0.00037076 0.000948408 0.0013419 0.00215074 -0.000961545 0.00303863 -0.00174039 -0.000348614 0.000870746 0.00411042 0.00349762 
1480.1 -0.000558227 0.00114152 -0.105483 0.00165917 -0.00578457 -0.005972 -0.00590616 0.00142375 0.000479318 -0.00702509 0.000960653 0.0394801 0.0616689 -0.00817244 0.0959657 0.267336 0.0451749 0.0270554 -0.711616 0.00622466 -0.00461737 0.00077937 -0.36408 -0.0916074 0.0331744 -0.00942682 0.0560337 0.0691074 0.0160058 0.140305 -0.0187925 0.0365184 0.0689155 0.00208964 -0.00147047 0.00414373 0.0019501 -0.00105705 -0.00196192 0.00120438 -0.000340693 -6.53297e-05 -0.00319148 -0.000128552 0.00109756 0.00178579 0.00209068 0.00133061 0.000481342 -0.000641958 0.00150186 0.00252517 0.00126248 -0.000457015 -0.000319513 -0.000460869 0.000985879 -7.11864e-05 0.000354743 -0.000350943 0.000276714 0.000820607 -0.000480329 0.000978448 0.000897199 -0.00149117 -6.18219e-05 0.00140951 0.00215372 -0.000239874 0.00337678 -0.00107843 0.00159367 0.0010153 0.00469999 0.00152725 
-287.416 0.000188146 -0.00026999 0.0319719 9.75099e-05 0.00248273 0.00225269 0.00901287 0.00627096 -0.000624793 0.00957549 0.00372361 0.0332746 0.0378057 0.00771292 0.0262892 0.0451749 0.126273 0.0631831 0.376549 0.00842379 0.0307842 0.014605 0.159618 0.0212126 -0.0366099 0.00325603 -0.00423232 -0.0117134 -0.0285589 -0.0747448 0.0133793 0.00667019 0.013021 0.00807133 -0.00306167 0.00431973 0.00330345 -0.000460214 0.00114797 0.00170309 -0.000239076 0.00148808 -0.000309517 0.000593629 7.84236e-05 0.000436438 0.000886138 -9.83865e-05 -3.04035e-05 -3.00934e-06 0.000185361 0.0009505 0.000703553 -0.000396446 -0.000900961 -0.000521068 0.000118704 0.00108221 0.000633921 -0.000192738 -0.000183318 -1.35741e-05 -8.42556e-05 0.000930033 0.00100023 -0.00124792 0.00112014 0.00128614 0.00218321 0.00168449 0.00498025 0.0041353 0.00227984 0.000866747 0.00250326 0.000177043 
