*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
3.924 1.66267e-08 1.98613e-05 -0.000137808 -0.000236563 -3.39489e-05 1.5127e-05 -9.63999e-05 0.0220969 -0.00102394 -0.00208259 -0.00221686 0.00366262 -4.79657e-05 0.00288642 0.000577073 4.39177e-05 0.00160981 -0.000249685 0.000946429 0.000117951 -0.000261573 0.00121588 0.000783121 0.000898568 0.000638699 0.000768212 0.00131231 0.000854688 0.000553541 0.000973098 0.000851865 0.00116758 0.000753736 0.000800813 0.000355882 0.00058381 0.000388366 0.000720517 0.000836369 0.000879419 0.000410598 0.000545614 0.000229274 0.000279488 -0.000197703 0.000514482 0.000348958 0.000925218 -0.00109161 -0.00104451 
112.179 -4.70314e-08 -6.27712e-05 -0.00154175 0.000367496 -4.28808e-05 -3.95526e-06 0.000455976 -0.00102394 0.0305918 -0.0068889 -0.00944296 0.0112628 0.00323191 -0.000313399 0.000840601 0.000842751 0.00037624 0.000816774 -0.000198705 0.000185771 0.000484769 0.000174465 0.00052599 0.00176274 0.00109013 0.00139998 0.000182245 0.000648665 0.000504404 0.000583533 0.000987259 0.000808952 0.000738664 0.000570334 0.000617986 0.00052557 0.000565416 0.000895481 0.000871323 0.00104608 0.000320375 0.000809599 0.00021486 2.47157e-05 0.000947218 0.000703114 -0.000209456 -0.00154868 0.000804315 0.000538731 
136.04 -6.56808e-08 -8.12425e-05 -0.000871918 0.00149676 -5.97339e-05 -1.59345e-05 0.000196321 -0.00208259 -0.0068889 0.0657539 -0.0351163 -0.0013068 0.00967369 0.0120617 0.00010196 0.00068555 0.00137631 0.000131812 0.000904294 0.00101399 0.0010331 7.47594e-05 0.00114471 0.00165235 0.00100879 0.00175285 0.0014325 0.0011766 0.00184715 0.00117721 0.0019831 0.00131987 0.00140346 0.000882004 0.00112585 0.000822084 0.00108677 0.00146264 0.0016929 0.00197172 0.00126049 0.0016154 0.000662935 0.00111684 0.000760188 0.000302827 0.00090078 -0.00122486 0.000844111 -0.000323648 
-136.966 1.87584e-07 0.000213725 0.00598559 -0.000459546 0.000121755 -0.000110401 5.5916e-05 -0.00221686 -0.00944296 -0.0351163 0.288968 -0.264126 0.0339114 0.0621139 -0.00976839 -0.00236022 0.00207764 0.00502153 0.000489597 0.000291105 9.85539e-05 0.00347479 -0.00152665 0.00142469 0.000603698 0.00401076 0.00161834 0.00185167 0.00217385 -0.000599175 0.00267649 0.00206891 0.000723987 0.00171639 0.000459438 0.000930589 0.00103537 0.00125791 0.00187094 0.000939895 0.00250614 0.000223584 0.00126777 0.00329314 0.00216196 0.00377878 0.000477893 0.00126961 -0.00237352 -0.00483525 
247.998 -1.74693e-07 -0.000163301 -0.00622637 0.00185677 1.10155e-05 0.000325614 0.000563534 0.00366262 0.0112628 -0.0013068 -0.264126 0.553672 -0.160523 0.0179148 0.0240348 0.00760389 0.0175485 0.00425451 0.00305499 0.00750538 0.00391662 0.00547839 0.0107132 0.0121579 0.019912 0.00585543 0.0132149 0.00908247 0.0135517 0.0122128 0.0112082 0.012276 0.0105628 0.00680792 0.00703601 0.00653012 0.00793172 0.010427 0.0111759 0.0111657 0.00811716 0.00853467 0.00746441 0.00297237 0.00353826 0.00341153 0.00216493 -0.00731264 -0.00483634 0.00390507 
-57.1843 1.87197e-09 -3.01848e-05 0.000847957 0.00201525 -0.000242959 -0.000220685 0.000148035 -4.79657e-05 0.00323191 0.00967369 0.0339114 -0.160523 0.198015 -0.103825 0.00247758 0.00693845 -0.0109647 0.00271564 0.000620729 -0.00303152 0.00193975 -0.00222434 -0.000703664 -0.00103665 -0.00404587 -0.000750263 -0.00203093 -0.000105653 -0.00430699 0.00155732 -0.00385146 -0.00060243 -0.00171661 -0.00091091 -0.000949732 -0.00125079 -0.00130945 -0.00174164 -0.00225581 -0.001743 -0.0019689 -0.00176697 -0.00176408 -0.000499184 -0.00276938 -0.000920106 -0.00059172 0.00316589 0.0078228 0.00283914 
-161.555 1.0255e-07 0.000176634 0.00250789 0.0024026 -4.30629e-05 0.000205427 0.000518361 0.00288642 -0.000313399 0.0120617 0.0621139 0.0179148 -0.103825 0.467267 -0.0289982 -0.00439594 0.0341811 0.0142214 0.0117803 0.0131577 0.00929728 0.017373 0.01522 0.0254218 0.0289141 0.0267713 0.0271284 0.0161645 0.0338689 0.0194679 0.0266834 0.0250326 0.0208085 0.0132966 0.0146206 0.0119716 0.0161953 0.0202556 0.0220685 0.0219242 0.0180485 0.0153909 0.0157845 0.0106413 0.0129484 0.0104414 0.00482602 -0.00746944 -0.0107738 -0.00792929 
-58.2576 2.42043e-08 4.91049e-05 0.000460844 0.00155266 3.77509e-06 6.18575e-06 -8.47797e-05 0.000577073 0.000840601 0.00010196 -0.00976839 0.0240348 0.00247758 -0.0289982 0.0351583 -0.00283692 -0.00147323 0.00174574 0.000367409 0.000881506 0.000457109 0.000359288 0.00124052 0.00134083 0.00185126 0.000678848 0.00140393 0.00116044 0.000705112 0.00189199 0.000605452 0.00133272 0.000775332 0.000692902 0.000421828 0.000681373 0.000602539 0.000893499 0.000835636 0.000577953 0.000934269 0.000280347 0.00114549 0.000275275 -3.02635e-06 0.00104134 -0.000461247 0.00157209 -7.51306e-06 0.00115307 
28.5504 -1.35124e-08 -2.20726e-05 0.00131425 0.00165395 5.49661e-05 -2.73112e-06 5.07708e-05 4.39177e-05 0.000842751 0.00068555 -0.00236022 0.00760389 0.00693845 -0.00439594 -0.00283692 0.0278301 -0.012822 0.00268175 0.000290765 0.00166063 0.000605668 0.000586406 0.00106031 0.00135066 0.00114583 0.00212928 0.0011752 0.000713824 0.00142662 0.00132226 0.00136665 0.00138068 0.0011317 0.00113897 0.000490352 0.00112296 0.000819164 0.001339 0.0015219 0.0012584 0.00154927 0.000711532 0.00101132 0.00158685 1.56815e-05 0.00145493 0.00142238 -4.24525e-05 -0.000245473 0.000679528 
-120.688 5.36169e-08 7.52625e-05 -0.000834572 0.00154244 -5.99758e-05 4.76711e-05 -0.000250463 0.00160981 0.00037624 0.00137631 0.00207764 0.0175485 -0.0109647 0.0341811 -0.00147323 -0.012822 0.0383215 -0.010555 0.00270733 0.000640609 0.00235698 0.00204305 0.00178113 0.00354526 0.0044832 0.00345049 0.00368722 0.00315418 0.00375433 0.00342899 0.00349784 0.00347606 0.00295147 0.00160378 0.00210841 0.00135107 0.00210667 0.00251203 0.00266768 0.00283385 0.00197583 0.00219447 0.00130325 0.00133297 0.00107043 -6.11349e-05 0.000313356 0.000167829 -0.00152836 -0.00135096 
