*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
-2.04491 2.03896e-08 2.63559e-05 -0.000115977 0.00110507 -2.43429e-05 8.57254e-06 -7.20558e-05 0.0219064 -0.00115598 -0.00146697 -0.00678331 0.00663265 0.00135171 0.00184401 0.000386404 0.00165954 0.000128817 0.000149284 0.000890986 0.000272205 -0.000166118 0.000824534 0.0014036 4.13447e-05 0.000590771 0.0019041 -0.000143275 0.00198245 -0.000154608 0.00106549 0.000875898 0.00102631 0.000787298 0.000521159 0.000559477 0.000315599 0.000534608 0.000569532 0.000805785 0.000686757 0.000491896 0.000354131 0.000114044 0.000330901 7.89696e-05 0.000433173 -0.000320027 0.00088935 -0.000719222 -0.00151093 
62.7629 -8.29234e-09 -2.10763e-06 -0.000431382 0.000215645 -4.26445e-05 -6.73109e-06 0.000440021 -0.00115598 0.0309861 -0.00920374 -0.00922431 0.00945605 0.00402474 -0.00048431 -0.00142028 0.00126746 -0.00055078 0.000598833 0.000387245 0.000102493 0.000242537 2.23428e-05 0.000741595 0.00103169 0.00129085 0.00116555 -0.00011697 0.00140232 -6.3439e-05 0.00060994 0.000512647 0.000782608 0.000525792 0.000400135 0.000515122 0.000375715 0.000345739 0.000669462 0.000569027 0.000764222 0.000223536 0.000552707 6.2596e-05 0.00023873 0.000460436 0.00104844 0.000273489 -0.000393259 0.00010275 -0.000582761 
18.7519 1.46952e-08 5.64595e-06 -0.00106009 -0.00536654 -2.99054e-05 2.04401e-05 3.34044e-05 -0.00146697 -0.00920374 0.0640274 -0.0371088 0.0205432 -0.00934909 0.0294585 0.000708274 0.00401412 -0.000606858 0.0016998 0.00205989 0.000968152 0.0013805 0.00163099 0.00138872 0.000903237 0.00253737 0.00410731 -5.73771e-05 0.00565743 0.00106688 0.00261887 0.00316394 0.00235418 0.00207236 0.00187363 0.00118933 0.00165614 0.00141934 0.00211027 0.00262409 0.0024649 0.00230597 0.00216913 0.00135871 0.00230677 0.00152115 0.00066428 0.000102255 -0.00289489 -0.00147254 0.00236047 
72.5407 -1.5885e-08 5.21641e-06 0.00300331 0.00550993 6.37817e-06 -0.000141717 -7.06636e-05 -0.00678331 -0.00922431 -0.0371088 0.294665 -0.315718 0.0616122 0.0269543 -0.00472393 0.000915017 0.00145162 -0.000931593 -0.00521498 0.00348921 -0.00180209 -0.00195057 0.000778913 0.00155922 -0.006935 0.00318559 -0.0026029 -0.000431329 -0.00356556 0.000134919 -0.000751614 -0.00152468 -0.000697445 -0.000297924 -0.000795464 -0.000140058 -0.000464142 -0.0006209 -0.000143924 -0.00100052 -0.000489311 -0.000380938 -0.000451184 -0.000229761 -0.000469841 0.000216656 -0.000133366 0.00132571 0.0028867 -0.00319541 
-119.913 1.35684e-07 0.000189044 -0.00188174 0.000269866 6.30455e-05 0.000300259 0.00119844 0.00663265 0.00945605 0.0205432 -0.315718 0.602008 -0.131741 -0.00150163 0.021034 0.0114232 0.00295976 0.0132982 0.00864814 0.00211163 0.00588669 0.00689652 0.00917349 0.00625907 0.0257134 0.00787765 0.00970087 0.015266 0.0132355 0.011692 0.0111932 0.0136589 0.0103923 0.00691011 0.00780338 0.00544509 0.00834451 0.00977473 0.0108668 0.0109785 0.00965134 0.00688556 0.00681274 0.00587586 0.00452111 0.00582021 -0.000114899 0.00663319 -0.0111839 -0.000625512 
120.278 -1.48749e-07 -0.000101129 -0.00478613 -0.00171285 -7.74152e-05 -0.000140816 -0.00100896 0.00135171 0.00402474 -0.00934909 0.0616122 -0.131741 0.142993 -0.0517016 -0.00226217 0.00144438 0.00605888 -0.000140629 0.000755913 0.00010843 0.000952482 0.00092642 0.000877655 0.00176324 -0.000928447 0.00317855 0.00100218 -0.000895251 0.00189276 -0.000503209 -0.000243488 0.00135687 0.000165224 -1.02039e-05 0.000675132 -0.000309703 0.000133621 0.000256496 -9.00957e-05 0.000297232 -0.000340077 0.000213498 0.000328959 0.000247996 -0.000592843 0.00157073 0.00155513 -0.00532632 0.00706415 0.00528312 
-34.3288 -2.40139e-08 5.03037e-05 -0.0126625 -0.00811293 3.85897e-05 8.09518e-05 0.000612557 0.00184401 -0.00048431 0.0294585 0.0269543 -0.00150163 -0.0517016 0.394544 -0.0307698 0.00209522 0.0251061 0.0122349 0.00669551 0.0123357 0.00960521 0.0105986 0.0147641 0.0233916 0.0135305 0.0249664 0.0252845 0.0157007 0.0259133 0.0190843 0.0209989 0.0208141 0.0173855 0.0114273 0.0119319 0.0102056 0.013269 0.0164277 0.0190256 0.0180136 0.0164231 0.012375 0.0137354 0.00923076 0.00920202 0.0073794 0.00139852 0.00482001 -0.00754311 -0.00598456 
-21.5339 1.12489e-08 1.72615e-05 0.00147189 0.00221868 3.05794e-05 1.24292e-05 -1.33408e-05 0.000386404 -0.00142028 0.000708274 -0.00472393 0.021034 -0.00226217 -0.0307698 0.0372199 -0.00386784 -0.00121451 0.00180402 -0.000310376 0.00104331 -0.000189751 0.0010869 0.000471443 0.00113033 0.0022359 0.000919644 0.00138646 9.58534e-05 0.000971471 0.00140859 0.000817956 0.00091632 0.000729706 0.000658752 0.000270639 0.000805411 0.000451617 0.000899011 0.000892424 0.000363376 0.000958855 0.000274177 0.00115998 0.000467747 0.00019545 0.000576413 -0.000577127 0.000670884 -0.000541937 -0.000205863 
61.0999 -3.1293e-08 -2.07647e-05 0.00056133 0.00214361 4.93951e-05 -1.37208e-06 4.60879e-05 0.00165954 0.00126746 0.00401412 0.000915017 0.0114232 0.00144438 0.00209522 -0.00386784 0.0239041 -0.00861851 0.00271204 0.000190702 0.000976432 0.00105153 0.000646918 2.69373e-05 0.00249788 0.000615864 0.00144374 0.00360232 -0.0016 0.00339987 0.000669307 0.00154784 0.00160265 0.00126644 0.00112611 0.000890402 0.0008817 0.00115134 0.00144877 0.00167487 0.00177639 0.00172289 0.00100673 0.00118749 0.0014711 4.64824e-05 0.00161427 0.00172274 -0.000423799 6.39759e-05 -0.000109105 
-116.137 3.63466e-08 7.14708e-05 -0.00430724 0.000103001 -7.70462e-06 1.74198e-05 -0.000289324 0.000128817 -0.00055078 -0.000606858 0.00145162 0.00295976 0.00605888 0.0251061 -0.00121451 -0.00861851 0.0362368 -0.0115579 0.00236221 0.00145386 0.00171361 0.00107981 0.00343329 0.0017861 0.00431978 0.0057225 1.61212e-05 0.00591414 0.00225453 0.00314052 0.00328253 0.00322672 0.00259427 0.00163585 0.00185852 0.00129773 0.0018831 0.0022619 0.00256603 0.00251936 0.00191525 0.0018536 0.00110506 0.00141335 0.00119802 0.00043385 -0.000935262 0.00254667 -0.00068799 -0.00200905 
