process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].recruitment_multipliers{1960} process[Recruitment].recruitment_multipliers{1961} process[Recruitment].recruitment_multipliers{1962} process[Recruitment].recruitment_multipliers{1963} process[Recruitment].recruitment_multipliers{1964} process[Recruitment].recruitment_multipliers{1965} process[Recruitment].recruitment_multipliers{1966} process[Recruitment].recruitment_multipliers{1967} process[Recruitment].recruitment_multipliers{1968} process[Recruitment].recruitment_multipliers{1969} process[Recruitment].recruitment_multipliers{1970} process[Recruitment].recruitment_multipliers{1971} process[Recruitment].recruitment_multipliers{1972} process[Recruitment].recruitment_multipliers{1973} process[Recruitment].recruitment_multipliers{1974} process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} parameter_transformation[M_nonspawn_avg_diff].average_parameter parameter_transformation[M_nonspawn_avg_diff].difference_parameter observation[TangaroaAcousticMature].process_error 
299610 0.0853669 0.735258 0.514322 0.293981 0.0190345 0.515637 0.94578 0.999 0.251687 0.256263 0.261698 0.268296 0.276323 0.286361 0.300089 0.707008 0.464017 0.32237 0.231725 0.12143 0.0708351 0.136124 0.0915088 0.0498304 0.0521509 0.107502 0.0430752 0.0337305 0.042266 0.312768 0.304796 0.0779883 0.0275099 0.112475 0.107569 0.0925564 0.23474 0.105181 0.358491 0.0300068 0.2116 2.26862 0.460416 0.218181 0.106325 0.462205 0.299581 0.120961 0.264764 0.160483 0.246235 0.574981 0.338164 0.205854 0.201745 0.256777 1.31409 0.523281 0.152418 0.876062 0.00771912 0.5907 0.094947 0.161979 -0.00906314 0.0001 
covariance_matrix:
0.0245463 8.84866e-09 8.16436e-08 6.29116e-07 -1.37384e-06 -1.56843e-09 1.82921e-08 -2.00494e-07 3.64265e-09 -1.23374e-07 -2.91724e-08 7.38142e-07 -1.29666e-07 2.83404e-07 -2.22292e-07 1.08303e-07 2.37716e-07 -8.23165e-07 8.26159e-08 1.99279e-08 1.66602e-07 6.97361e-09 7.80183e-09 1.86675e-08 6.01789e-09 3.5152e-09 5.21859e-09 -7.6627e-09 -2.40936e-09 2.8379e-09 2.93957e-08 6.70683e-08 -3.59543e-09 -8.55918e-09 9.74963e-09 -1.53768e-08 -3.07052e-08 8.92436e-08 2.75494e-08 7.65337e-08 6.11311e-10 2.3464e-08 1.66192e-07 6.44348e-08 1.39236e-08 1.45555e-10 3.8394e-08 2.78192e-08 5.92912e-09 2.26162e-08 2.00982e-08 6.15931e-08 8.97853e-08 4.90734e-08 4.29367e-08 2.61248e-08 7.05723e-08 3.1017e-07 1.43387e-07 3.69442e-08 2.51181e-07 -1.93188e-10 1.63911e-07 5.53702e-08 -8.72325e-09 4.90583e-09 1.79372e-16 
594.135 -2.20593e-05 -0.000282437 0.000456836 -0.0045121 -1.02667e-05 1.02551e-05 3.76707e-05 -1.23374e-07 0.0635316 -0.000125303 -0.00300198 -0.00125751 -0.00464787 -0.0024879 -0.00284412 -0.000739317 -0.00215736 0.000217885 -0.000598541 0.000397712 -0.000229082 -0.000131587 -0.000281011 -6.37628e-05 -1.87263e-05 -0.000131893 -6.13422e-05 0.000104849 -6.15518e-05 -0.000163352 -4.53213e-05 -6.29391e-05 -8.24863e-06 2.35707e-06 2.48827e-05 -1.75922e-05 5.68245e-07 4.77487e-05 0.000272143 -2.80091e-05 0.00010365 -0.000390146 0.000131713 0.000209223 8.20611e-05 0.000240928 0.000110513 0.000148236 0.00011259 0.000192858 0.000174345 0.000283423 3.31705e-06 4.38499e-06 -1.81827e-06 -0.00023808 -0.000627921 -0.000190932 7.33982e-05 -0.000360893 2.49309e-06 -0.000110373 -0.000291329 0.00027585 -2.43843e-05 -6.24915e-14 
642.457 -6.4325e-05 -7.01887e-05 -0.00125873 0.000843962 1.60986e-05 0.000137864 0.000474572 -2.91724e-08 -0.000125303 0.0664806 -0.00153526 -0.00295012 -0.00217854 -0.00590091 -0.00122121 -0.00422914 0.000546286 0.000841927 8.68409e-05 0.00035152 0.000124317 0.000104582 0.000178106 9.02361e-05 4.22311e-05 0.000128829 9.93467e-05 1.54342e-05 5.34442e-05 0.000408817 0.000327705 7.82323e-05 7.76241e-05 8.11736e-05 1.72793e-05 0.000133188 0.000336419 7.57535e-05 0.000593571 6.6712e-05 0.000522331 0.00569518 0.00121952 0.000536717 0.000147939 0.000694764 0.000622148 0.000108457 0.000366722 0.000181323 0.000479378 0.0010547 0.000602561 0.000396816 0.0003559 0.000577866 0.00297978 0.0011651 0.000310118 0.00213782 -2.68757e-06 0.00134634 0.00042089 0.000355655 3.65784e-05 -4.85486e-15 
486.07 -7.18765e-05 -0.000507082 -0.00190592 0.00250328 -1.66757e-05 -0.000126726 0.000414354 7.38142e-07 -0.00300198 -0.00153526 0.0776803 -0.00484999 -0.00119554 -0.00523366 -0.00542286 -0.0112467 0.00311929 -0.000879098 -0.000378318 -0.00167261 -5.53263e-06 -0.000287898 -0.000225119 -1.55845e-05 -2.98064e-05 2.47364e-05 2.8735e-06 -8.42153e-05 -1.82399e-05 4.38094e-05 -8.64669e-05 -1.00345e-05 -1.00541e-05 -7.96429e-05 1.20466e-05 -5.81984e-05 -0.000323444 -0.000195391 -0.000748547 3.46377e-05 -2.04434e-05 0.00263542 -3.55415e-06 2.66773e-05 0.000107897 0.000435535 8.90308e-05 5.57273e-05 -2.71424e-05 -1.21247e-06 -0.000170543 -0.000232578 -4.60318e-07 -2.22358e-05 0.000106609 -0.000233815 -0.000569131 -0.000225701 -0.000131327 0.000328347 1.56204e-06 0.000554217 -4.56427e-05 0.000496598 -2.00801e-05 2.60741e-13 
253.937 -0.000128713 -0.000663724 0.000296558 -0.000531555 -3.97308e-05 -0.000511924 -0.000400666 -1.29666e-07 -0.00125751 -0.00295012 -0.00484999 0.0739985 -0.00319671 -0.00377721 -0.00417933 -0.00771003 -0.00403566 0.000633424 0.000917202 0.00016303 0.000180428 0.000173701 7.95569e-05 3.55384e-05 4.68885e-05 6.74408e-05 7.77271e-06 -1.06075e-05 5.80447e-05 0.000297494 0.000169751 -7.78666e-06 -1.08442e-05 -2.17429e-05 9.92957e-06 -0.000103931 -0.000360144 -3.69408e-05 -0.000416309 -2.67801e-05 0.000142652 0.00257521 0.000325162 -2.53193e-05 6.68353e-05 0.000405411 0.000147864 5.96507e-05 0.000147918 3.96847e-05 0.000155046 0.000365101 0.000340175 0.000273316 0.000294231 0.000521409 0.00211325 0.000759094 0.000158163 0.000618686 8.74028e-07 -0.000390258 0.000101062 0.000593938 -6.76824e-06 -5.12292e-14 
99.4203 -5.84234e-05 -0.000229754 -0.00167177 0.00268347 -2.95494e-05 -0.000278729 0.000547778 2.83404e-07 -0.00464787 -0.00217854 -0.00119554 -0.00319671 0.06418 0.00351034 -0.00714281 -0.00501296 -0.00252924 -0.000342823 -0.000465274 -0.000390643 4.89301e-05 9.08987e-05 7.24084e-05 1.62344e-05 0.00010284 8.15421e-05 -2.13729e-05 -3.14806e-05 3.44621e-05 -5.61546e-05 -0.00022009 -0.000155093 -0.000185986 -0.00011002 -7.55064e-05 -0.000373396 -0.000437175 -9.40923e-05 -0.000192326 2.98185e-05 2.43131e-05 0.00193122 9.29687e-05 -1.18633e-05 6.47463e-05 0.000157345 0.000216071 2.2156e-05 -0.000294126 -5.37212e-05 -9.0733e-05 -0.000220657 -8.67108e-05 1.52537e-05 -1.55577e-06 -5.80615e-05 -0.000710517 -0.000368161 -0.0001421 -0.000816682 -9.35376e-07 -0.000794515 -0.000277203 0.000697439 -7.58965e-05 5.99839e-14 
73.8815 -0.000130046 -0.00011496 -0.0016264 -0.000514685 -2.56372e-05 0.000174181 0.000583141 -2.22292e-07 -0.0024879 -0.00590091 -0.00523366 -0.00377721 0.00351034 0.0799284 -0.0112585 -0.00720625 -0.00351006 0.000533729 -0.000546719 -0.000464111 0.000150075 0.000256374 9.549e-05 4.32168e-05 -4.82562e-05 5.68741e-05 -4.71015e-05 -6.22086e-06 2.20765e-05 4.34839e-05 -0.000117564 -1.65351e-05 -5.7205e-05 -0.000111412 -0.000104145 -0.00023236 -0.000165837 -5.7925e-05 -5.56568e-05 3.6047e-05 0.000328033 0.00395663 0.000861164 0.000184136 9.12517e-05 0.00048032 0.000529939 9.24338e-05 0.000394924 0.000131176 0.000356104 0.000804021 0.000208027 0.000260219 2.70207e-05 0.000299393 0.000561059 0.000221522 0.000134973 0.000493871 -4.61677e-06 0.000329761 0.000164313 0.000791192 9.99957e-05 -9.77969e-14 
-402.546 -0.000238884 -0.000944339 -0.00128526 -0.00193455 -3.1972e-05 -0.000427699 0.000445319 1.08303e-07 -0.00284412 -0.00122121 -0.00542286 -0.00417933 -0.00714281 -0.0112585 0.106011 -0.0205276 -0.000816858 0.000815043 0.000594451 0.000375137 0.000126207 0.000230969 0.000240599 6.18654e-05 2.71714e-05 3.3749e-05 6.06584e-05 -4.42705e-06 2.00203e-05 -0.000169591 -0.000465123 -0.000155828 5.71887e-06 -0.00035604 -0.000348517 -0.000239352 -0.000758443 -0.000241807 -0.000212811 3.5827e-05 0.000282405 0.00387556 0.000455094 2.16278e-06 4.67556e-05 0.000138516 0.000181192 -5.89735e-05 -0.000103066 -0.000106328 3.05245e-05 0.000192924 3.62617e-05 7.03352e-06 2.3689e-06 6.96477e-05 0.000322818 5.72813e-05 -6.23391e-05 0.000106949 -1.44766e-06 0.000119473 0.000116738 0.00143063 5.73543e-05 4.53846e-14 
-1872.61 -0.000871393 -0.00352074 -0.000936853 -0.00939944 -0.000105228 -0.00199916 0.000102824 2.37716e-07 -0.000739317 -0.00422914 -0.0112467 -0.00771003 -0.00501296 -0.00720625 -0.0205276 0.240336 -0.00376103 0.00547689 0.00391808 0.00164662 0.00123421 0.00247961 0.00184021 0.000749034 0.000804912 0.00160025 0.000633355 0.000423432 0.000575585 0.00356671 0.00259399 0.000546605 0.000354487 0.00025339 0.000238973 0.000417713 0.000569863 0.000457683 0.00307942 0.000424065 0.00337903 0.0412077 0.00689905 0.00255519 0.00151359 0.00658443 0.00413323 0.00141623 0.0032806 0.00185474 0.00322337 0.00787986 0.00462991 0.00256952 0.00268272 0.00345971 0.0189271 0.00706631 0.00174559 0.0107886 -1.04855e-05 0.00702768 0.00126359 0.00440513 0.000159763 1.05374e-13 
-777.292 -0.000178524 -0.00107664 0.00187598 -0.0030586 -4.44524e-05 -0.000630399 -0.000513617 -8.23165e-07 -0.00215736 0.000546286 0.00311929 -0.00403566 -0.00252924 -0.00351006 -0.000816858 -0.00376103 0.0682363 0.00335624 0.00290892 0.00291876 0.000339529 0.00112622 0.00102101 0.000387582 0.000412831 0.000756176 0.000357479 0.000239569 0.00038472 0.00237692 0.00210205 0.000391483 9.90741e-05 0.000527895 0.000442989 0.000300526 0.00117814 0.000696303 0.00299643 0.000199346 0.00190632 0.0200752 0.00420148 0.00168881 0.000762746 0.00349553 0.00229457 0.00077854 0.00176586 0.00101117 0.00198833 0.00461106 0.00279243 0.00174683 0.00164121 0.00236795 0.0117141 0.00411569 0.000975763 0.006525 9.80913e-07 0.00344793 0.000613737 0.00130001 3.51371e-05 -2.70965e-13 
-395.081 -0.000100331 -0.00043299 -0.000519645 -0.0010396 -1.11633e-05 -0.000230483 5.03586e-06 8.26159e-08 0.000217885 0.000841927 -0.000879098 0.000633424 -0.000342823 0.000533729 0.000815043 0.00547689 0.00335624 0.0215371 0.000819812 0.000415914 0.000266545 0.000750757 0.000503706 0.000248718 0.000253909 0.000559915 0.000257713 0.000185593 0.000227347 0.00170597 0.00154217 0.000360381 0.000121059 0.000528727 0.00047811 0.000339534 0.00102148 0.000467981 0.00171391 0.000151416 0.00114202 0.0132241 0.00249386 0.00111137 0.000568846 0.00245103 0.00152129 0.000599811 0.00131932 0.000769645 0.00128195 0.00292089 0.00183457 0.00107216 0.00109135 0.00132739 0.00738816 0.00272384 0.00072939 0.00417362 -2.05949e-06 0.00238631 0.000338458 0.000529985 8.03768e-06 3.82869e-14 
-242.693 -6.28987e-05 -0.000181401 -0.000168296 -0.000652968 -3.80948e-06 -0.000131956 9.90655e-05 1.99279e-08 -0.000598541 8.68409e-05 -0.000378318 0.000917202 -0.000465274 -0.000546719 0.000594451 0.00391808 0.00290892 0.000819812 0.0118646 0.000272318 0.000119827 0.000379115 0.0003374 0.000157871 0.000196645 0.000403134 0.00015064 0.000115164 0.000166973 0.00117045 0.00107652 0.000236571 8.5898e-05 0.000351509 0.000300143 0.000281919 0.000765786 0.00040017 0.00150407 0.000135489 0.00088488 0.00978166 0.00187983 0.000811579 0.000407268 0.0017329 0.00111791 0.000406078 0.000832963 0.000534324 0.000876917 0.00205375 0.00120677 0.000677175 0.000722551 0.000912749 0.00504157 0.00189179 0.000500261 0.00305162 -2.07364e-06 0.00184956 0.000306877 0.000270635 1.1458e-06 2.77112e-14 
-144.083 -2.18375e-05 -0.000151472 -0.000425241 -0.000624221 -7.44035e-06 -0.000110616 0.000201665 1.66602e-07 0.000397712 0.00035152 -0.00167261 0.00016303 -0.000390643 -0.000464111 0.000375137 0.00164662 0.00291876 0.000415914 0.000272318 0.00385187 5.62083e-05 0.000270896 0.000149064 9.92344e-05 8.48196e-05 0.000164185 8.5178e-05 5.87848e-05 6.66454e-05 0.000552774 0.000497336 0.000115111 3.57535e-05 0.00013613 0.000155057 0.000145972 0.000272752 0.000139327 0.00057156 4.42479e-05 0.000371208 0.00415288 0.000791639 0.000363691 0.000182162 0.000805405 0.000507406 0.000194156 0.000410054 0.000246985 0.000354087 0.00102596 0.000575203 0.000337632 0.000298905 0.000375799 0.00191305 0.000744816 0.000195344 0.00122451 2.17094e-07 0.00070271 5.03821e-05 0.000116278 -1.48855e-05 6.93262e-14 
-59.9636 8.47457e-06 -7.51503e-07 -6.5549e-05 8.04964e-05 -2.42988e-06 -6.51916e-06 2.9952e-05 6.97361e-09 -0.000229082 0.000124317 -5.53263e-06 0.000180428 4.89301e-05 0.000150075 0.000126207 0.00123421 0.000339529 0.000266545 0.000119827 5.62083e-05 0.00159585 0.000145317 7.73548e-05 5.11915e-05 3.95997e-05 9.80914e-05 3.31707e-05 2.91347e-05 4.00491e-05 0.000291943 0.000268344 7.36097e-05 2.8761e-05 0.000106561 9.8388e-05 8.26952e-05 0.000221172 0.000108985 0.000379609 2.33736e-05 0.000220527 0.00232121 0.000513562 0.000216369 0.000113827 0.00047814 0.000313802 0.000118472 0.000285632 0.000141029 0.000230213 0.000594252 0.000345283 0.000215843 0.000175473 0.000270457 0.00112434 0.000422821 0.000105992 0.000728827 -4.60019e-07 0.000234398 2.5696e-05 3.07447e-05 -1.05049e-06 1.56598e-15 
