process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
14561.2 46.7784 0.1 3.03766 0.191249 3.30703 1.03761 0.234624 0.232319 0.234411 0.244364 0.268566 0.320837 0.424753 0.612818 0.915665 1.4181 1.51893 1.01275 0.845766 0.858467 1.0938 1.4923 1.02713 0.794752 0.817792 0.634578 0.813379 0.747801 0.45632 1.03192 0.876495 0.377965 0.909877 0.69749 0.827699 0.425379 1.29262 0.695816 0.755307 0.581353 0.452441 
covariance_matrix:
1.69563 -0.002358 0 -0.000294079 -0.00144602 -0.000178168 -0.00119848 -0.000199639 0.00762797 -0.00020028 -0.000158641 -6.4485e-05 0.000113689 0.000416012 0.000365022 -0.00109934 0.000999811 0.00384708 0.000236364 0.00158136 0.000862135 -0.000130492 0.00339156 0.000374 0.00160065 0.00081156 0.00042732 0.0005732 0.000667276 0.000770225 0.000937538 0.000757611 0.000313611 0.00100786 0.000941122 0.000897725 0.000437186 0.0012502 0.000688679 0.00076787 0.000561934 0.000323137 
1.57305 -0.002853 0 -0.000251024 -0.00121763 -0.000203943 -0.00119346 -0.000190072 -0.00020028 0.00776682 -0.000151969 -5.91793e-05 0.000119967 0.000430642 0.000283536 -0.00123496 0.000943351 0.00404175 0.000210685 0.00157259 0.000852934 -4.25543e-05 0.00342449 0.000384624 0.00161752 0.000858546 0.000475141 0.000617699 0.000700065 0.000785817 0.000969321 0.000770341 0.000330462 0.00106276 0.000946223 0.000917901 0.000452581 0.00128427 0.000710704 0.000791294 0.000586866 0.000341907 
1.53838 -0.00363484 0 -0.000156168 -0.000721768 -0.000229668 -0.00120668 -0.000147442 -0.000158641 -0.000151969 0.00842731 -1.99133e-05 0.000165436 0.000535214 0.000189805 -0.00151787 0.000663545 0.00463994 0.000157956 0.00159942 0.000823649 5.06825e-05 0.00355342 0.000394073 0.00167044 0.00097483 0.000574502 0.000739684 0.000817847 0.000845504 0.00107577 0.000804293 0.000388955 0.00117395 0.000980664 0.000962333 0.000504735 0.00135567 0.000759816 0.000837224 0.000637572 0.000382042 
1.68399 -0.00502885 0 0.000138725 0.000799689 -0.000280391 -0.00126616 -5.15177e-05 -6.4485e-05 -5.91793e-05 -1.99133e-05 0.0100247 0.000287342 0.000831311 3.3413e-05 -0.00213093 -0.000233057 0.00617824 3.70639e-05 0.00169977 0.000723073 0.000191457 0.00391674 0.000339523 0.00170933 0.0011875 0.000776583 0.00099769 0.00108341 0.000967398 0.00129513 0.000880028 0.000517286 0.00139607 0.00106449 0.00105609 0.000616135 0.00151112 0.000856961 0.00094678 0.000755064 0.000478767 
1.61009 -0.00590911 0 0.00152718 0.00780346 -0.00049468 -0.00172101 0.000127788 0.000113689 0.000119967 0.000165436 0.000287342 0.0135789 0.00164031 -0.000653708 -0.00380095 -0.00206874 0.00907609 0.000443277 0.00214398 0.000382958 0.000301742 0.00590017 -0.000541895 0.00142369 0.00173031 0.00107884 0.00113173 0.00175213 0.00125753 0.00192315 0.00113338 0.000743163 0.00186031 0.00131516 0.00121172 0.000808488 0.002038 0.00101797 0.0011596 0.000946952 0.00063309 
10.9699 -0.0199006 0 -0.00149861 -0.00635557 -0.00122645 0.00135892 0.000448113 0.000416012 0.000430642 0.000535214 0.000831311 0.00164031 0.0275848 -0.00685197 -0.0102807 -0.0032285 0.011669 0.00443201 0.00337678 0.00513181 -0.00125106 0.00697058 -0.00172335 -0.00120311 -0.000146578 0.00117002 0.00364929 0.0041839 0.000572413 0.0015144 0.000774964 0.000811669 0.00310278 0.000909026 0.00138814 0.00105567 0.00442521 0.00180823 0.00342185 0.00316671 0.00226837 
11.3236 -0.0324791 0 0.0134218 0.0684557 -0.000244813 0.00507324 0.000439324 0.000365022 0.000283536 0.000189805 3.3413e-05 -0.000653708 -0.00685197 0.0844263 -0.0154914 -0.0406569 0.020695 0.0106997 0.00187332 0.00499134 0.0234088 -0.00344138 0.00597565 -0.0025335 0.0107247 0.00511279 0.00507502 0.002903 0.00239039 0.00579536 0.00326912 0.0020787 0.00682736 0.00356394 0.0047151 0.00263048 0.0107658 0.00410657 0.00573442 0.0050244 0.00297325 
11.1581 -0.03321 0 0.0762041 0.385249 0.00152945 0.00432858 -0.00103754 -0.00109934 -0.00123496 -0.00151787 -0.00213093 -0.00380095 -0.0102807 -0.0154914 0.206351 -0.218892 0.00280212 0.0315377 0.0383683 0.00175282 -0.0412906 -0.0339994 -0.023395 0.054647 -0.00842502 -0.00466387 -0.00468264 0.00162872 -0.00167813 -0.00500514 -0.00687475 -0.000254927 -0.00108298 -0.00265989 -0.00371637 -0.00123136 -0.00587691 -0.00133217 -0.00139106 -0.000391816 0.000248749 
-48.5503 0.0464954 0 -0.283335 -1.43133 -0.00231624 -0.0291854 0.000942493 0.000999811 0.000943351 0.000663545 -0.000233057 -0.00206874 -0.0032285 -0.0406569 -0.218892 0.986103 -0.740386 0.0449237 0.0275087 0.0698844 0.0119477 0.0434163 0.0311981 0.00960051 -0.00447515 0.00174781 0.00916444 0.0118005 0.0136998 0.0239119 0.0202802 0.00508413 0.010102 0.0106525 0.0157388 0.00606419 0.00767042 0.0074333 0.00295771 0.00116038 0.000287582 
15.8772 -0.00577667 0 0.217152 1.09339 0.000446527 0.0142868 0.00386699 0.00384708 0.00404175 0.00463994 0.00617824 0.00907609 0.011669 0.020695 0.00280212 -0.740386 1.27509 -0.347149 -0.0881465 -0.0882446 0.00798578 0.0542863 0.004063 0.0212381 0.0207878 0.00578926 0.00750382 0.00211728 -0.000533828 0.0137388 0.0111943 0.00367035 0.0113894 0.00703418 0.00888639 0.00558459 0.0197382 0.00986082 0.0109042 0.00819577 0.00727407 
