process[Recruitment].b0 catchability[chatTANq].q process[instant_mort].m{male} selectivity[chatTANSel_f].mu selectivity[chatTANSel_f].sigma_l selectivity[chatTANSel_f].sigma_r selectivity[chatTANSel_m].mu selectivity[chatTANSel_m].sigma_l selectivity[chatTANSel_m].sigma_r selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[lineFSel].a50 selectivity[lineFSel].ato95 process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} 
133196 0.0868123 0.14632 5.58426 2.00671 25.3314 4.92313 1.50185 200 7.46917 2.38823 20.2034 7.0437 2.0943 32.0154 10.5646 3.11464 0.566281 0.796971 0.719815 0.828376 0.830193 0.734097 0.675343 0.508068 0.445231 0.496566 0.504741 0.425322 0.377135 0.44515 0.540289 0.611202 0.509674 0.515034 0.442769 0.464608 0.579995 0.773168 0.924823 0.650636 0.602512 0.575204 0.650541 0.537089 0.496586 0.479175 0.440755 0.48113 0.522755 0.435196 0.64029 0.474097 0.535281 0.686716 
covariance_matrix:
0.0070587 -8.79767e-09 4.09094e-09 3.68408e-08 1.81472e-08 -3.4353e-07 4.59439e-08 2.88827e-08 2.45901e-07 1.49546e-07 9.58445e-08 -4.70819e-06 5.57616e-08 2.47212e-08 1.3951e-06 -7.31928e-08 -5.27604e-08 1.55552e-08 1.98277e-08 1.51275e-08 1.26617e-08 8.67492e-09 3.59068e-09 1.12548e-09 -5.47736e-10 -1.43339e-09 -2.75322e-09 -4.2509e-09 -3.94295e-09 -3.53288e-09 -4.67622e-09 -5.37479e-09 -5.78619e-09 -5.02135e-09 -5.41042e-09 -4.40365e-09 -4.15261e-09 -4.65612e-09 -4.92644e-09 -3.98987e-09 -2.08455e-09 -1.32017e-09 -8.75408e-10 -7.54404e-10 -4.90155e-10 -1.97775e-10 -2.57549e-10 -4.42344e-10 -2.01455e-10 4.30746e-10 6.70625e-10 1.13436e-09 1.11041e-09 3.13e-09 6.41333e-09 
1131.22 -0.00154632 0.000863832 -0.0104114 -0.0132788 0.221107 0.0011039 -0.000209277 1.49546e-07 0.55421 0.425205 -2.40967 0.164117 0.109934 0.311163 -0.00867009 -0.0119869 -0.00055947 0.0116299 0.00306557 0.000335003 0.00736782 0.00030363 -5.91117e-06 -0.00148811 -0.00109681 -7.64016e-06 -0.00127764 -0.000434811 -0.000392681 -0.000992942 -0.00152149 -0.000961575 -0.00112473 -0.000862622 -6.79243e-05 0.000449271 -0.000484962 -1.23818e-05 0.00065237 0.000382789 0.00118937 0.00101215 0.0013728 0.00256485 0.00249568 0.00224175 0.00154914 0.00314702 0.00538101 0.00438665 0.00225043 0.00101038 -0.00457656 0.0081949 
474.615 -0.000504405 0.000144853 -0.0198254 -0.0175007 0.0940461 -0.00653259 -0.00488748 9.58445e-08 0.425205 0.362928 -1.68245 0.0992209 0.0697354 0.193581 -0.00853415 -0.00817587 -0.00182233 0.00837299 0.000975022 -0.00262733 0.00432089 -0.00135266 0.000230993 -0.000885665 -0.000313768 0.000661986 5.14201e-05 0.000581728 0.000429943 0.000202364 -0.000183289 0.00082055 0.000239811 0.000467336 0.000720855 0.000931012 2.56471e-05 0.000575866 0.0014396 0.000915617 0.00160235 0.00109492 0.00130427 0.00223657 0.00197204 0.00155607 0.000984529 0.00215259 0.00394623 0.00275514 -0.00015014 -0.000743381 -0.00676719 0.00500499 
-52501.2 0.0504023 -0.0148299 -0.0365505 0.0111919 18.142 -0.188579 -0.154964 -4.70819e-06 -2.40967 -1.68245 81.255 -1.22012 -0.775968 -15.7041 0.914729 0.609092 -0.0862007 -0.154259 -0.110396 -0.0987653 -0.0782231 -0.0476456 -0.0265592 -0.00958876 -0.00546622 -0.0100119 0.00420156 0.00912245 0.00366771 0.00815697 0.00846051 0.00477517 0.00931087 0.0146642 0.0140499 0.0128553 0.0211554 0.0205585 0.0148043 0.0102588 0.00691629 0.0107197 0.0159283 0.00646513 0.0040111 0.00656752 0.00839685 0.0064206 -0.00844944 -0.0130602 -0.00485176 -0.00447848 -0.0143632 -0.0171755 
950.864 -0.00213882 0.00186574 0.0194559 -0.000415286 0.626159 0.0459109 0.0371112 5.57616e-08 0.164117 0.0992209 -1.22012 1.01655 0.783129 0.0607916 0.019267 0.00169531 0.00609611 0.00981996 0.00532229 0.0110925 0.000599901 0.00617584 0.000468465 -0.000655454 -0.00166972 -0.00142761 -0.00371477 -0.00411373 -0.00144659 -0.00296649 -0.00313652 -0.00349579 -0.0032951 -0.00333332 -0.00106705 0.000478781 -0.0014477 -0.000508763 -0.000647664 -0.000740474 -0.000408224 0.00083483 0.000925434 0.00163351 0.00377144 0.00260586 0.00190079 0.00354107 0.00559839 0.00719577 0.00517691 -0.000298934 0.0106808 0.00584787 
435.202 -0.00114709 0.00104842 0.00874662 -0.00398759 0.364812 0.0313927 0.0264932 2.47212e-08 0.109934 0.0697354 -0.775968 0.783129 0.633734 0.00531512 0.0131826 0.00218057 0.00442629 0.00686448 0.00298116 0.00673729 -0.00148958 0.00369552 0.000537816 -0.00026363 -0.000902659 -0.000647657 -0.00234505 -0.00258834 -0.000568222 -0.00162169 -0.00168424 -0.00157207 -0.00172677 -0.00175087 -0.000261926 0.000833433 -0.000867732 -5.33268e-05 4.64757e-05 -0.000272622 6.68864e-05 0.000841768 0.000826199 0.00136546 0.00290842 0.00173483 0.00111748 0.00249904 0.00394439 0.00493901 0.00188236 -0.00169468 0.00647806 0.00302702 
26366.8 -0.0323013 0.0141838 -0.894095 -0.885297 -2.48049 -0.0548066 -0.0754998 1.3951e-06 0.311163 0.193581 -15.7041 0.0607916 0.00531512 16.8911 -0.30957 -0.201111 0.0117301 0.00558319 0.0252436 -0.00535699 -0.00285706 -0.030755 -0.021485 -0.0217381 -0.0264231 -0.0358761 -0.0341746 -0.0399332 -0.0337063 -0.0392364 -0.0542285 -0.0530448 -0.044874 -0.0472844 -0.0419035 -0.0426795 -0.0499677 -0.0593944 -0.0597986 -0.0367586 -0.030868 -0.0315513 -0.0388081 -0.02999 -0.0264486 -0.0245032 -0.0215205 -0.0333335 -0.0301765 -0.022448 -0.0399128 -0.0270632 -0.014345 0.0210702 
-1742.82 0.00156824 -0.000275906 -0.00488184 -0.00568028 0.618761 -0.000812999 -0.000724702 -7.31928e-08 -0.00867009 -0.00853415 0.914729 0.019267 0.0131826 -0.30957 0.131259 0.0993067 -0.00354757 -0.00428241 -0.00175356 -0.00405617 -0.00041723 -0.000478267 -0.00237693 -0.000974528 -0.000427604 0.000374475 0.000519999 0.00129516 0.000891127 0.00108151 0.000930393 0.000955319 0.00111403 0.00157775 0.00153998 0.00173701 0.0019945 0.00178108 0.00133577 0.000733218 0.000745837 0.000764646 0.000623559 0.000321801 7.83525e-05 0.000193763 -0.000299824 0.000594157 0.000610411 0.000355445 -0.000539741 0.00101342 9.69564e-05 -0.000117319 
-1191.9 0.00132662 -0.000530526 -0.00939088 -0.0077953 0.292562 -0.00256604 -0.000486532 -5.27604e-08 -0.0119869 -0.00817587 0.609092 0.00169531 0.00218057 -0.201111 0.0993067 0.126262 -0.00372318 -0.00426631 -0.00299382 -0.00383208 -0.000692453 -0.000733569 -0.00136215 -0.000362599 6.65787e-05 0.000886517 0.00123698 0.00140793 0.00101025 0.00103516 0.00102397 0.00123536 0.00113367 0.00132161 0.00119107 0.00116995 0.00119272 0.000956383 0.00114713 0.000836946 0.000963043 0.000557786 0.000485606 0.000472776 0.000507981 0.000497742 5.7208e-05 0.000973344 0.00108834 0.00081662 0.000382483 0.00145088 0.000704841 0.00155447 
411.349 -0.000669987 0.000608597 0.0111281 0.00763165 -0.0580033 0.00665358 0.00359747 1.55552e-08 -0.00055947 -0.00182233 -0.0862007 0.00609611 0.00442629 0.0117301 -0.00354757 -0.00372318 0.0461691 0.00418163 0.00361028 0.0042466 0.00337283 0.00327355 0.00337072 0.00256968 0.00197702 0.00214809 0.00195222 0.00167396 0.00163458 0.0016282 0.00214684 0.00225958 0.00194183 0.00191363 0.00165375 0.00175193 0.00225679 0.00284009 0.00358677 0.00237756 0.00220487 0.00219157 0.0024983 0.0018349 0.00166032 0.00130952 0.00114097 0.0016134 0.00133248 0.0005968 0.000586012 0.00035306 0.00095176 0.00364603 
