process[Recruitment].b0 catchability[chatTANq].q process[instant_mort].m{male} selectivity[chatTANSel_f].mu selectivity[chatTANSel_f].sigma_l selectivity[chatTANSel_f].sigma_r selectivity[chatTANSel_m].mu selectivity[chatTANSel_m].sigma_l selectivity[chatTANSel_m].sigma_r selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[lineFSel].a50 selectivity[lineFSel].ato95 process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} 
133196 0.0868123 0.14632 5.58426 2.00671 25.3314 4.92313 1.50185 200 7.46917 2.38823 20.2034 7.0437 2.0943 32.0154 10.5646 3.11464 0.566281 0.796971 0.719815 0.828376 0.830193 0.734097 0.675343 0.508068 0.445231 0.496566 0.504741 0.425322 0.377135 0.44515 0.540289 0.611202 0.509674 0.515034 0.442769 0.464608 0.579995 0.773168 0.924823 0.650636 0.602512 0.575204 0.650541 0.537089 0.496586 0.479175 0.440755 0.48113 0.522755 0.435196 0.64029 0.474097 0.535281 0.686716 
covariance_matrix:
-172.606 0.000180718 -9.34109e-05 -0.00145535 -0.000242918 -0.0110413 -0.00103107 -5.66636e-05 -3.94295e-09 -0.000434811 0.000581728 0.00912245 -0.00411373 -0.00258834 -0.0399332 0.00129516 0.00140793 0.00167396 0.00259532 0.00299907 0.00349743 0.00361704 0.00315199 0.00291347 0.00194688 0.00178653 0.00225167 0.00234103 0.00567927 0.00185558 0.00202287 0.00256511 0.00287226 0.00238633 0.00240454 0.00205878 0.00212201 0.0026255 0.00346739 0.00410664 0.00285645 0.00264926 0.00242919 0.00271889 0.00228005 0.00202788 0.0018205 0.00177407 0.00180297 0.00188023 0.00127119 0.0020197 0.00125256 0.00165708 0.00145004 
-154.335 0.000166941 -9.23196e-05 -0.00181268 -0.000718972 -0.00904826 -0.000910341 -0.000232038 -3.53288e-09 -0.000392681 0.000429943 0.00366771 -0.00144659 -0.000568222 -0.0337063 0.000891127 0.00101025 0.00163458 0.00261319 0.002699 0.00302553 0.00320069 0.00281854 0.00267642 0.00191016 0.00170476 0.00200374 0.00209389 0.00185558 0.00453889 0.00196652 0.00225342 0.0026571 0.00220643 0.00220674 0.00186569 0.00192179 0.00236357 0.00306138 0.00370913 0.00257559 0.00235135 0.00216033 0.00258037 0.00194612 0.00183473 0.001633 0.00144488 0.001672 0.00169987 0.00123813 0.00185051 0.00115345 0.00132055 0.000854967 
-181.95 0.000208029 -0.00012455 -0.00255889 -0.00116544 -0.0099169 -0.00218966 -0.00122207 -4.67622e-09 -0.000992942 0.000202364 0.00815697 -0.00296649 -0.00162169 -0.0392364 0.00108151 0.00103516 0.0016282 0.00292452 0.00301637 0.00326511 0.00376768 0.0032589 0.00302341 0.00222093 0.00203532 0.00237263 0.00240402 0.00202287 0.00196652 0.00513517 0.00263485 0.00312748 0.00255 0.00257427 0.00215043 0.00221089 0.00271937 0.00356894 0.00442506 0.00299288 0.00264226 0.00257812 0.00287337 0.00237894 0.00216018 0.00190269 0.00177172 0.00192851 0.00204561 0.00149851 0.00216669 0.00136786 0.00153551 0.00106209 
-210.866 0.000241919 -0.000149944 -0.00140544 8.65324e-05 -0.0150622 -0.00170786 -0.000663659 -5.37479e-09 -0.00152149 -0.000183289 0.00846051 -0.00313652 -0.00168424 -0.0542285 0.000930393 0.00102397 0.00214684 0.00377275 0.00380216 0.00420463 0.00471408 0.00402625 0.00379652 0.00278345 0.00253729 0.00304186 0.00308581 0.00256511 0.00225342 0.00263485 0.00678993 0.00385009 0.00311048 0.00321304 0.00273234 0.00281149 0.00353322 0.00450458 0.00532659 0.00380234 0.00349569 0.00311885 0.00329515 0.00280388 0.00275334 0.00251599 0.00225665 0.00245692 0.00260963 0.00192458 0.00273054 0.00180003 0.00187356 0.00131556 
-233.824 0.000275223 -0.000176125 -0.00272568 -0.0012209 -0.0164994 -0.00210498 -0.00107427 -5.78619e-09 -0.000961575 0.00082055 0.00477517 -0.00349579 -0.00157207 -0.0530448 0.000955319 0.00123536 0.00225958 0.00405199 0.0044738 0.00468614 0.00528528 0.00452355 0.00423805 0.00319151 0.00288792 0.00336309 0.00349804 0.00287226 0.0026571 0.00312748 0.00385009 0.00796078 0.00371386 0.00366137 0.00304553 0.00316715 0.00383577 0.00504698 0.00621217 0.00429034 0.00415665 0.00356253 0.00391072 0.00328125 0.00302933 0.00277646 0.00255609 0.00274132 0.0029026 0.00223114 0.00319429 0.00202422 0.00253358 0.00114835 
-190.032 0.000226646 -0.000148354 -0.00236775 -0.00112653 -0.0136548 -0.00183091 -0.0010083 -5.02135e-09 -0.00112473 0.000239811 0.00931087 -0.0032951 -0.00172677 -0.044874 0.00111403 0.00113367 0.00194183 0.003374 0.00363504 0.00387259 0.00426645 0.00369449 0.00346211 0.00259616 0.00232997 0.00277743 0.00285959 0.00238633 0.00220643 0.00255 0.00311048 0.00371386 0.00598851 0.00313807 0.00260084 0.00259417 0.00320714 0.0042568 0.0052852 0.00363153 0.00322773 0.0030168 0.00334848 0.00275042 0.00254685 0.00232826 0.00214031 0.00234713 0.00244152 0.00183706 0.00258963 0.0017346 0.00206432 0.00120268 
-191.16 0.000228952 -0.000151671 -0.00241567 -0.00100485 -0.0113008 -0.0022709 -0.00134528 -5.41042e-09 -0.000862622 0.000467336 0.0146642 -0.00333332 -0.00175087 -0.0472844 0.00157775 0.00132161 0.00191363 0.00340642 0.00346205 0.00383676 0.00432026 0.00366646 0.00348001 0.00255481 0.00232031 0.00278645 0.0028636 0.00240454 0.00220674 0.00257427 0.00321304 0.00366137 0.00313807 0.00587511 0.00258276 0.00279505 0.00324921 0.0043845 0.00542973 0.00355002 0.00325984 0.00308969 0.0033767 0.00280991 0.00254935 0.00236717 0.00218359 0.00237552 0.00246944 0.00186106 0.00260459 0.00173633 0.00193053 0.00141362 
-150.923 0.000178181 -0.000122283 -0.00160699 -0.000428934 -0.00639115 -0.00162293 -0.000837909 -4.40365e-09 -6.79243e-05 0.000720855 0.0140499 -0.00106705 -0.000261926 -0.0419035 0.00153998 0.00119107 0.00165375 0.00299801 0.00291251 0.00330114 0.00366522 0.00312779 0.00295235 0.00214332 0.00195952 0.00237982 0.00242732 0.00205878 0.00186569 0.00215043 0.00273234 0.00304553 0.00260084 0.00258276 0.00463403 0.00237721 0.00291369 0.00382391 0.00455749 0.00309451 0.00285153 0.00262829 0.00292258 0.00243235 0.00222063 0.00206765 0.00191179 0.00209345 0.00218101 0.0016229 0.00227597 0.00148871 0.00149758 0.00140722 
-137.556 0.000160565 -0.000116055 -0.0015625 -0.000413992 -0.00122758 -0.00174918 -0.00100465 -4.15261e-09 0.000449271 0.000931012 0.0128553 0.000478781 0.000833433 -0.0426795 0.00173701 0.00116995 0.00175193 0.00319281 0.00297067 0.00343564 0.00386747 0.00324017 0.00308619 0.00221329 0.002032 0.00248285 0.00248882 0.00212201 0.00192179 0.00221089 0.00281149 0.00316715 0.00259417 0.00279505 0.00237721 0.0049777 0.00313827 0.00404206 0.00465939 0.00331797 0.003068 0.00279096 0.00307556 0.00259767 0.00237722 0.00220769 0.00203633 0.00224846 0.00234867 0.00176342 0.00239962 0.00161722 0.00158278 0.00160139 
-141.934 0.000161541 -0.000126411 -0.0017521 -0.000346687 0.00236846 -0.00234145 -0.00146219 -4.65612e-09 -0.000484962 2.56471e-05 0.0211554 -0.0014477 -0.000867732 -0.0499677 0.0019945 0.00119272 0.00225679 0.00407891 0.00367461 0.00435998 0.00482004 0.00404814 0.00385226 0.00276653 0.00251344 0.00306606 0.00307215 0.0026255 0.00236357 0.00271937 0.00353322 0.00383577 0.00320714 0.00324921 0.00291369 0.00313827 0.00717944 0.00515955 0.00584182 0.0040586 0.00397008 0.00350983 0.00385412 0.00327428 0.00301591 0.0028091 0.00258702 0.00283323 0.00294336 0.00218103 0.00304752 0.00206164 0.00184136 0.00218716 
-141.679 0.000162005 -0.000142199 -0.00187879 -0.000120956 0.00666514 -0.00314512 -0.00208176 -4.92644e-09 -1.23818e-05 0.000575866 0.0205585 -0.000508763 -5.33268e-05 -0.0593944 0.00178108 0.000956383 0.00284009 0.00529359 0.00490224 0.00580194 0.00651604 0.00545924 0.00509181 0.00358822 0.00336585 0.00399635 0.00400434 0.00346739 0.00306138 0.00356894 0.00450458 0.00504698 0.0042568 0.0043845 0.00382391 0.00404206 0.00515955 0.0111424 0.00796744 0.00548631 0.00501756 0.00469401 0.00529095 0.00437738 0.00404012 0.00376686 0.00349594 0.0037783 0.00398652 0.00295236 0.00426653 0.00278536 0.00256355 0.00311103 
-117.178 0.000138545 -0.000153453 -0.00158299 -0.000127552 0.00637314 -0.00254431 -0.00149288 -3.98987e-09 0.00065237 0.0014396 0.0148043 -0.000647664 4.64757e-05 -0.0597986 0.00133577 0.00114713 0.00358677 0.00615981 0.00638061 0.00702647 0.00758011 0.00646048 0.00608057 0.00443196 0.00394078 0.00469449 0.004868 0.00410664 0.00370913 0.00442506 0.00532659 0.00621217 0.0052852 0.00542973 0.00455749 0.00465939 0.00584182 0.00796744 0.015258 0.006912 0.00638566 0.00577349 0.00674727 0.00532846 0.00500471 0.00466659 0.00421959 0.00466186 0.00479489 0.00368166 0.00533012 0.00344501 0.00414845 0.00280535 
-47.5108 5.90801e-05 -9.4038e-05 -0.0012356 -0.000402864 0.009769 -0.0017373 -0.00116921 -2.08455e-09 0.000382789 0.000915617 0.0102588 -0.000740474 -0.000272622 -0.0367586 0.000733218 0.000836946 0.00237756 0.00417655 0.00455607 0.00489288 0.00523166 0.00452451 0.00415924 0.00307745 0.00275467 0.00320714 0.00339077 0.00285645 0.00257559 0.00299288 0.00380234 0.00429034 0.00363153 0.00355002 0.00309451 0.00331797 0.0040586 0.00548631 0.006912 0.00868334 0.00451854 0.00413652 0.00467017 0.00382136 0.00347618 0.00327674 0.00299236 0.00331656 0.00341223 0.00260769 0.00382817 0.00244841 0.00299611 0.00186511 
-20.2949 2.82291e-05 -7.79466e-05 -0.00108225 -0.000429849 0.0141797 -0.00188819 -0.00138295 -1.32017e-09 0.00118937 0.00160235 0.00691629 -0.000408224 6.68864e-05 -0.030868 0.000745837 0.000963043 0.00220487 0.00376179 0.00421449 0.0046238 0.00482719 0.00417357 0.00387097 0.00283546 0.00251451 0.00298188 0.00315871 0.00264926 0.00235135 0.00264226 0.00349569 0.00415665 0.00322773 0.00325984 0.00285153 0.003068 0.00397008 0.00501756 0.00638566 0.00451854 0.0080589 0.00386423 0.00420089 0.00363216 0.0034602 0.00318943 0.00277343 0.00312306 0.00321149 0.00249441 0.00357898 0.00238029 0.00298535 0.00160955 
15.8779 -6.63215e-06 -5.98437e-05 -2.13328e-05 0.000410259 0.0116848 -0.00123807 -0.000953354 -8.75408e-10 0.00101215 0.00109492 0.0107197 0.00083483 0.000841768 -0.0315513 0.000764646 0.000557786 0.00219157 0.00372557 0.00362887 0.004129 0.00427928 0.00379142 0.00351198 0.00257142 0.00228661 0.00269832 0.00280678 0.00242919 0.00216033 0.00257812 0.00311885 0.00356253 0.0030168 0.00308969 0.00262829 0.00279096 0.00350983 0.00469401 0.00577349 0.00413652 0.00386423 0.00747215 0.00433061 0.00351642 0.00323947 0.00302749 0.00270961 0.00309698 0.00318841 0.00236727 0.00342363 0.00232813 0.00255557 0.00193715 
42.7905 -2.04813e-05 -7.0062e-05 0.00125299 0.00155307 0.00464551 -0.000279789 -7.31311e-05 -7.54404e-10 0.0013728 0.00130427 0.0159283 0.000925434 0.000826199 -0.0388081 0.000623559 0.000485606 0.0024983 0.00410562 0.00386258 0.00456882 0.004532 0.00409335 0.00391934 0.00280755 0.00250027 0.00295266 0.00307591 0.00271889 0.00258037 0.00287337 0.00329515 0.00391072 0.00334848 0.0033767 0.00292258 0.00307556 0.00385412 0.00529095 0.00674727 0.00467017 0.00420089 0.00433061 0.00964353 0.00415563 0.0037341 0.00343378 0.00318222 0.0036161 0.00373342 0.00281111 0.00414901 0.00271704 0.00302668 0.00248904 
36.4702 -1.03697e-05 -6.8271e-05 0.000530777 0.000834656 0.00890557 -0.000830236 -0.000577995 -4.90155e-10 0.00256485 0.00223657 0.00646513 0.00163351 0.00136546 -0.02999 0.000321801 0.000472776 0.0018349 0.00302338 0.00318968 0.00383051 0.00377244 0.00345857 0.00317632 0.00225991 0.00206825 0.00245889 0.00259434 0.00228005 0.00194612 0.00237894 0.00280388 0.00328125 0.00275042 0.00280991 0.00243235 0.00259767 0.00327428 0.00437738 0.00532846 0.00382136 0.00363216 0.00351642 0.00415563 0.00713526 0.00314934 0.00303788 0.00263331 0.00305455 0.00319056 0.00238842 0.00349114 0.00236277 0.00272359 0.00198688 
52.1726 -2.13394e-05 -6.60237e-05 0.000491568 0.00065864 0.0102601 -0.00041587 -0.000222816 -1.97775e-10 0.00249568 0.00197204 0.0040111 0.00377144 0.00290842 -0.0264486 7.83525e-05 0.000507981 0.00166032 0.00298328 0.00279013 0.00342695 0.00346957 0.00312572 0.00292745 0.00212471 0.00196853 0.00227163 0.00245363 0.00202788 0.00183473 0.00216018 0.00275334 0.00302933 0.00254685 0.00254935 0.00222063 0.00237722 0.00301591 0.00404012 0.00500471 0.00347618 0.0034602 0.00323947 0.0037341 0.00314934 0.00668621 0.00284738 0.00263214 0.00300457 0.0031635 0.00242622 0.00340319 0.00225762 0.00249217 0.00156879 
56.4203 -1.52772e-05 -7.38771e-05 0.000573275 0.000642984 0.0107888 -0.000524891 -0.000345254 -2.57549e-10 0.00224175 0.00155607 0.00656752 0.00260586 0.00173483 -0.0245032 0.000193763 0.000497742 0.00130952 0.00246286 0.0024984 0.00310075 0.0030371 0.00283752 0.00259591 0.00193613 0.00175754 0.00209965 0.00224475 0.0018205 0.001633 0.00190269 0.00251599 0.00277646 0.00232826 0.00236717 0.00206765 0.00220769 0.0028091 0.00376686 0.00466659 0.00327674 0.00318943 0.00302749 0.00343378 0.00303788 0.00284738 0.00656576 0.00260735 0.00292386 0.00311905 0.00241365 0.00335921 0.00225415 0.00252284 0.00167448 
56.4121 -1.15192e-05 -6.71529e-05 0.000467576 0.000489132 0.00945429 -0.000300993 -0.000277991 -4.42344e-10 0.00154914 0.000984529 0.00839685 0.00190079 0.00111748 -0.0215205 -0.000299824 5.7208e-05 0.00114097 0.00237267 0.00229584 0.00282416 0.00289753 0.00269329 0.00252754 0.00188682 0.00174258 0.00198529 0.00202849 0.00177407 0.00144488 0.00177172 0.00225665 0.00255609 0.00214031 0.00218359 0.00191179 0.00203633 0.00258702 0.00349594 0.00421959 0.00299236 0.00277343 0.00270961 0.00318222 0.00263331 0.00263214 0.00260735 0.00630606 0.00280106 0.00301981 0.0023964 0.00332797 0.00217523 0.00236469 0.00176062 
77.9151 -1.57128e-05 -7.47295e-05 0.00295755 0.00260038 -0.00209368 0.00113793 0.00107625 -2.01455e-10 0.00314702 0.00215259 0.0064206 0.00354107 0.00249904 -0.0333335 0.000594157 0.000973344 0.0016134 0.00254437 0.00218504 0.003179 0.0027754 0.00277178 0.00271718 0.00202171 0.00174068 0.0021792 0.00219853 0.00180297 0.001672 0.00192851 0.00245692 0.00274132 0.00234713 0.00237552 0.00209345 0.00224846 0.00283323 0.0037783 0.00466186 0.00331656 0.00312306 0.00309698 0.0036161 0.00305455 0.00300457 0.00292386 0.00280106 0.00803606 0.00361683 0.00281239 0.00391868 0.00276413 0.00297957 0.00181035 
90.989 -5.71301e-06 -8.96967e-05 0.00193903 0.00146286 0.00121425 0.00103482 0.000872037 4.30746e-10 0.00538101 0.00394623 -0.00844944 0.00559839 0.00394439 -0.0301765 0.000610411 0.00108834 0.00133248 0.0023217 0.00194255 0.0034098 0.00261522 0.00307711 0.0027851 0.00224166 0.0020293 0.00235966 0.00237599 0.00188023 0.00169987 0.00204561 0.00260963 0.0029026 0.00244152 0.00246944 0.00218101 0.00234867 0.00294336 0.00398652 0.00479489 0.00341223 0.00321149 0.00318841 0.00373342 0.00319056 0.0031635 0.00311905 0.00301981 0.00361683 0.010031 0.00327596 0.00463302 0.00311448 0.00342204 0.001834 
94.4133 -1.24259e-05 -7.49876e-05 0.00252121 0.0018733 0.00325712 0.00053477 0.000349475 6.70625e-10 0.00438665 0.00275514 -0.0130602 0.00719577 0.00493901 -0.022448 0.000355445 0.00081662 0.0005968 0.00168867 0.00126255 0.00237207 0.00175207 0.00219216 0.00219775 0.00165216 0.00145749 0.00188063 0.00173733 0.00127119 0.00123813 0.00149851 0.00192458 0.00223114 0.00183706 0.00186106 0.0016229 0.00176342 0.00218103 0.00295236 0.00368166 0.00260769 0.00249441 0.00236727 0.00281111 0.00238842 0.00242622 0.00241365 0.0023964 0.00281239 0.00327596 0.00897543 0.00415112 0.00293118 0.0027442 0.00134525 
177.302 -4.90118e-05 -8.22975e-05 0.00539679 0.00377538 0.00185986 0.0026872 0.00176826 1.13436e-09 0.00225043 -0.00015014 -0.00485176 0.00517691 0.00188236 -0.0399128 -0.000539741 0.000382483 0.000586012 0.00245934 0.00216585 0.00334773 0.00334564 0.0034381 0.00310515 0.00228628 0.00199822 0.00243501 0.00240999 0.0020197 0.00185051 0.00216669 0.00273054 0.00319429 0.00258963 0.00260459 0.00227597 0.00239962 0.00304752 0.00426653 0.00533012 0.00382817 0.00357898 0.00342363 0.00414901 0.00349114 0.00340319 0.00335921 0.00332797 0.00391868 0.00463302 0.00415112 0.0185348 0.00462602 0.00486293 0.00223702 
169.222 -3.48866e-05 -5.80799e-05 0.00585225 0.00341778 0.00354026 0.00250324 0.000941742 1.11041e-09 0.00101038 -0.000743381 -0.00447848 -0.000298934 -0.00169468 -0.0270632 0.00101342 0.00145088 0.00035306 0.000843213 0.00100242 0.00197755 0.0019698 0.0023921 0.00164058 0.00159123 0.00129756 0.00141642 0.00129209 0.00125256 0.00115345 0.00136786 0.00180003 0.00202422 0.0017346 0.00173633 0.00148871 0.00161722 0.00206164 0.00278536 0.00344501 0.00244841 0.00238029 0.00232813 0.00271704 0.00236277 0.00225762 0.00225415 0.00217523 0.00276413 0.00311448 0.00293118 0.00462602 0.0161388 0.00506196 0.00215396 
379.852 -0.000190942 7.82118e-05 0.00592489 0.0024901 0.0120859 0.00231016 -0.00123143 3.13e-09 -0.00457656 -0.00676719 -0.0143632 0.0106808 0.00647806 -0.014345 9.69564e-05 0.000704841 0.00095176 0.00420225 0.00283386 -7.18398e-05 0.00501161 0.00142745 0.00200682 0.00096065 0.00113046 0.00135964 0.00155777 0.00165708 0.00132055 0.00153551 0.00187356 0.00253358 0.00206432 0.00193053 0.00149758 0.00158278 0.00184136 0.00256355 0.00414845 0.00299611 0.00298535 0.00255557 0.00302668 0.00272359 0.00249217 0.00252284 0.00236469 0.00297957 0.00342204 0.0027442 0.00486293 0.00506196 0.0293843 0.00402478 
513.715 -0.000251882 0.000238059 0.00135167 -0.00354133 0.0363693 -0.00105572 -0.00568792 6.41333e-09 0.0081949 0.00500499 -0.0171755 0.00584787 0.00302702 0.0210702 -0.000117319 0.00155447 0.00364603 0.00201038 0.00171919 0.00436621 0.00159596 0.00228719 0.0027207 0.00025741 0.000905604 0.00135062 0.000514202 0.00145004 0.000854967 0.00106209 0.00131556 0.00114835 0.00120268 0.00141362 0.00140722 0.00160139 0.00218716 0.00311103 0.00280535 0.00186511 0.00160955 0.00193715 0.00248904 0.00198688 0.00156879 0.00167448 0.00176062 0.00181035 0.001834 0.00134525 0.00223702 0.00215396 0.00402478 0.079254 
*end
