process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
53978.7 2.53418e-05 0.0377007 6.9954 2.70699 3.03453 0.102436 0.186485 0.220297 0.255099 0.332815 0.534031 0.984026 0.457586 2.39033 0.269305 0.257654 0.396214 0.281243 0.188517 0.170476 0.222 0.212853 0.265264 0.37749 0.429691 0.423202 0.339132 0.346415 0.400982 0.350607 0.340512 0.3714 0.300401 0.201247 0.210577 0.185649 0.23524 0.300469 0.331638 0.33138 0.276146 0.246016 0.237995 0.2048 0.190489 0.224501 0.176459 0.281866 0.304415 0.304014 
covariance_matrix:
34.6493 -7.46813e-09 -2.52167e-06 -0.000733926 0.000168607 -1.05008e-05 1.7683e-05 -1.61926e-06 0.0217349 -0.000685692 -0.0020287 -0.0015292 0.00064554 0.00156853 0.00290526 0.000523307 0.00122381 0.00137839 -1.48048e-05 0.000623588 0.000296215 0.000139077 0.00120775 0.0012678 0.000353756 0.000419275 0.00130941 0.00137805 0.000931742 0.000320571 0.00112789 0.00107804 0.00109115 0.000950319 0.000707967 0.000414472 0.000594483 0.000451751 0.000725943 0.00096849 0.000655173 0.000700127 0.000373504 0.000314238 0.000558022 4.99721e-05 0.000308481 -6.69392e-05 0.000113019 -8.57469e-05 -0.00223427 
52.9171 -3.80877e-09 -2.5889e-05 -0.00237839 -0.00139978 -5.46031e-05 -2.14384e-05 0.000128253 -0.000685692 0.0304606 -0.00629742 -0.00842092 0.00786199 0.00545832 0.000746552 -6.469e-05 0.00202874 -0.000844113 0.000457765 0.000356063 0.000740165 -0.00038842 0.00109724 0.000433367 0.00130931 0.00153658 0.00072647 0.00106984 0.000370627 0.000889828 0.000664122 0.00105414 0.000999426 0.000788495 0.000656018 0.000530248 0.000577429 0.000499029 0.000850128 0.00093675 0.000884174 0.000460481 0.000783008 0.000407871 0.000454438 0.000658843 0.00112877 0.000185656 0.00124529 0.00101361 0.000141467 
125.263 -5.38525e-08 -4.82353e-05 0.00113196 -0.000413799 3.96258e-05 3.26648e-05 0.00010391 -0.0020287 -0.00629742 0.0655907 -0.0343024 0.00606991 0.00228763 0.0147654 0.000898453 -2.10168e-05 -0.000824532 0.00270001 0.000445435 0.00103001 0.00116152 0.000926814 4.72076e-05 0.00311494 0.000289444 0.00186048 0.00192727 0.00156733 0.00170293 0.00182971 0.00244407 0.00174061 0.00157486 0.00164586 0.000969716 0.0015217 0.00122959 0.00204069 0.00216736 0.00243752 0.00188735 0.00166064 0.000599265 0.0023397 0.000813081 0.00181228 0.00200803 0.000688586 -0.000276394 0.00248144 
-26.374 1.10994e-08 7.27825e-05 0.00144558 0.00671252 5.89906e-05 -7.4272e-05 -0.000558159 -0.0015292 -0.00842092 -0.0343024 0.246969 -0.241083 0.0427178 0.0382933 -0.00504092 0.00232571 0.00378556 -0.00132063 -0.000148654 3.31777e-05 0.00287839 -0.00273176 0.00251713 0.000885449 -0.00178726 0.00548721 -0.00121387 0.0017284 -0.00246425 0.00132659 0.000274832 -0.000178535 0.000736352 -0.000714287 0.000946456 -0.000810547 0.000522738 -0.000370546 0.00020065 -0.000311043 7.29635e-05 -0.000426239 -0.000218069 0.000228466 0.000226629 6.29997e-05 -0.00333813 0.00259548 -0.00174564 -0.00185862 
8.46912 5.45027e-08 4.37874e-06 -0.00367872 -0.00671252 -9.34602e-05 0.000464562 0.00133763 0.00064554 0.00786199 0.00606991 -0.241083 0.538308 -0.158403 0.033328 0.0135782 0.0017667 0.0106035 0.0134711 0.00497828 0.00536879 0.00136261 0.0119189 0.00691667 0.00973817 0.0245494 -0.000217523 0.0172054 0.0102591 0.0168694 0.0115073 0.0106421 0.0149312 0.00895774 0.00872678 0.00561168 0.00748735 0.00715389 0.010566 0.0109333 0.0111456 0.00879864 0.00810077 0.00803109 0.00458549 0.00334061 0.00402014 0.00803621 0.0031822 -0.00529715 -0.000425224 
70.9302 -4.75477e-08 -5.96016e-05 0.000222006 0.00591512 -0.000152821 -0.000313323 -0.00072594 0.00156853 0.00545832 0.00228763 0.0427178 -0.158403 0.179385 -0.0860687 0.00398423 0.00586741 -0.00395403 -0.00102622 0.000387661 0.00110099 -0.00191964 0.00030752 -0.000975821 -0.000459715 -0.00478556 0.0045062 -0.00304075 -0.00247312 -0.000849973 -0.000948496 -0.00084905 -0.00181398 4.85924e-05 -0.00171237 0.000282133 -0.00147775 -0.000373916 -0.00127375 -0.00101944 -0.0013956 -0.000657157 -0.00116805 -0.000788224 0.000140727 -0.00121911 0.00140138 -0.00213094 -0.00323464 0.0029149 0.00449084 
-402.394 1.97499e-07 0.000290544 -0.00730013 -0.00302784 -0.000320435 0.000302183 0.000438017 0.00290526 0.000746552 0.0147654 0.0382933 0.033328 -0.0860687 0.453022 -0.0333408 0.00211186 0.028695 0.0148859 0.0131081 0.0119565 0.0133255 0.0146299 0.0187985 0.0255523 0.0302195 0.0240051 0.0298214 0.0208426 0.0286525 0.0252437 0.0249618 0.0257568 0.021113 0.0134172 0.0143975 0.0120391 0.0155577 0.0194239 0.021792 0.0208326 0.0176872 0.0142166 0.0153456 0.0107945 0.0103125 0.00815531 0.00490994 -0.00210677 -0.00829255 -0.00681973 
-12.7482 1.07737e-08 2.76868e-06 0.00219953 0.00122025 4.51738e-05 2.45962e-05 3.08695e-05 0.000523307 -6.469e-05 0.000898453 -0.00504092 0.0135782 0.00398423 -0.0333408 0.0346644 -0.00435892 -0.00268839 0.00194908 0.000217925 5.87608e-05 -0.000131481 0.000680961 -9.78163e-06 9.28348e-05 0.000592424 -0.000652966 0.000554491 0.00111881 -0.000496879 0.00112984 -0.000218283 0.000652541 -7.40949e-05 0.000545679 -0.000225186 0.000532527 4.53162e-05 0.000397369 0.000341215 2.25449e-05 0.00072482 -0.000190376 0.00078579 0.000387978 -0.000211653 0.00100199 -0.000430844 0.00094951 0.000125726 0.000119885 
-7.57873 1.172e-08 -7.63103e-07 0.00109585 0.00250761 -8.33333e-05 9.73474e-06 -0.000160205 0.00122381 0.00202874 -2.10168e-05 0.00232571 0.0017667 0.00586741 0.00211186 -0.00435892 0.0248029 -0.0109865 0.00176749 0.00273695 0.000341659 0.000711194 0.00131686 0.000658995 0.00139082 0.00288195 0.00124537 0.00172632 0.00146517 0.00195432 0.00188865 0.00138176 0.00190463 0.00142662 0.000994977 0.00101602 0.000863003 0.00114621 0.00144017 0.00161178 0.00175008 0.0015453 0.00109761 0.00132768 0.00113403 -0.000193406 0.00126497 0.00155075 -1.71439e-05 0.000485969 -0.00123294 
-135.541 7.03026e-08 9.38913e-05 -0.00341226 -0.00161582 -2.36984e-05 5.52968e-05 0.000270501 0.00137839 -0.000844113 -0.000824532 0.00378556 0.0106035 -0.00395403 0.028695 -0.00268839 -0.0109865 0.0376116 -0.0117474 0.00216512 0.0014052 0.00104457 0.00225036 0.00164686 0.00247419 0.00347609 0.00283845 0.0033666 0.00321287 0.00299338 0.00286426 0.00301772 0.0028396 0.00232516 0.00150915 0.00142706 0.00123546 0.00141475 0.00179138 0.00218034 0.00193257 0.00160131 0.00154636 0.00103483 0.00118786 0.00054008 -0.000228145 -0.000109151 -2.23444e-05 -0.00276653 -0.00241796 
-37.6176 1.37e-08 1.12611e-05 0.00205101 0.00305422 -5.84126e-05 5.97998e-06 -0.000156206 -1.48048e-05 0.000457765 0.00270001 -0.00132063 0.0134711 -0.00102622 0.0148859 0.00194908 0.00176749 -0.0117474 0.0225019 -0.0040678 0.0012126 0.000793405 0.00121281 0.00174036 0.00251483 0.00273592 0.00210124 0.00198572 0.00217879 0.00219027 0.00233469 0.00175783 0.002276 0.00175863 0.00124071 0.00131818 0.00100258 0.00143529 0.0017041 0.00181996 0.00165319 0.00161573 0.00107023 0.00118835 0.000735464 -2.74294e-05 0.00111474 6.3276e-05 0.000525619 -0.00023222 0.00242736 
