process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].ycs_values{1958} process[Recruitment].ycs_values{1959} process[Recruitment].ycs_values{1960} process[Recruitment].ycs_values{1961} process[Recruitment].ycs_values{1962} process[Recruitment].ycs_values{1963} process[Recruitment].ycs_values{1964} process[Recruitment].ycs_values{1965} process[Recruitment].ycs_values{1966} process[Recruitment].ycs_values{1967} process[Recruitment].ycs_values{1968} process[Recruitment].ycs_values{1969} process[Recruitment].ycs_values{1970} process[Recruitment].ycs_values{1971} process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Instantaneous_Mortality].m{male.nonspawn} process[Instantaneous_Mortality].m{female.nonspawn} observation[TangaroaAcousticMature].process_error observation[TangaroaAcousticImmature].process_error 
314528 0.0855841 0.729928 0.512671 0.331184 0.0190747 0.51254 0.941203 0.999 0.255898 0.260995 0.267025 0.274312 0.283173 0.294103 0.308799 0.824677 0.531625 0.370703 0.266765 0.138528 0.0802537 0.158215 0.106305 0.0575723 0.0607929 0.127247 0.0505653 0.0395934 0.0499645 0.375867 0.368154 0.0940201 0.0328013 0.136472 0.130805 0.112561 0.286164 0.127934 0.437718 0.035898 0.256495 2.75116 0.558714 0.2639 0.126748 0.560017 0.36192 0.144856 0.320595 0.192791 0.298743 0.705181 0.417688 0.254272 0.252377 0.324954 1.69567 0.686601 0.200672 1.20373 0.16935 0.875691 0.132659 0.151183 0.160327 0.0001 0.0001 
covariance_matrix:
-4.44363e-05 1.62733e-11 1.25783e-10 5.93139e-10 8.00117e-10 1.96587e-11 3.03596e-10 1.50457e-10 1.3821e-14 9.64293e-10 -6.53567e-10 -1.38779e-09 -8.11424e-10 -8.34417e-10 2.6486e-09 4.24488e-09 -9.92572e-10 -8.27063e-10 -1.28327e-09 -4.42941e-11 -3.85358e-11 -5.25679e-11 -1.6383e-10 -1.49268e-10 5.79974e-11 -5.51434e-11 1.35646e-11 -1.22718e-11 1.41926e-13 -2.25574e-11 1.51791e-10 -2.18342e-10 -1.0486e-11 -1.30101e-11 -1.71097e-10 5.06886e-11 -1.02198e-10 3.37466e-11 -6.20936e-11 -1.54039e-10 -1.11816e-11 -2.55221e-10 -8.9594e-10 5.83283e-12 2.41501e-10 -6.56467e-11 -7.87364e-10 5.70708e-11 2.5669e-10 2.69624e-10 -4.71219e-11 -1.23548e-10 -5.78465e-10 -3.1165e-10 -3.53449e-10 -5.27881e-10 -5.3938e-10 9.20282e-10 -4.23712e-10 1.32591e-10 -1.81164e-09 -3.04109e-10 -7.09256e-10 -4.14936e-10 2.29828e-11 9.60681e-12 1.65733e-19 1.53055e-18 
534.644 5.82418e-06 -0.000104024 0.00206209 0.00016264 -3.32885e-05 0.000366078 0.000200564 9.64293e-10 0.0703398 -0.00236499 -0.00104833 -0.00175738 -0.00305079 -0.00409256 -0.00174101 -0.00564921 0.00133365 0.00124403 0.000594815 9.15434e-05 0.000118132 -4.86872e-05 8.26677e-05 -6.17571e-05 4.12041e-05 -4.58306e-05 7.64272e-06 -2.52119e-05 -1.40029e-05 -0.000201191 -0.00030258 -8.34454e-05 -2.89443e-05 -0.000203523 -0.000224845 -0.00016672 -0.000361633 -0.000168078 -0.000376968 2.1106e-05 0.000162892 0.00090813 0.000430294 0.000142033 -3.72071e-05 -0.000285672 0.000199678 -0.000191603 -0.000417007 -0.000210874 -1.76658e-05 -5.23898e-05 -0.000124496 6.44612e-05 8.89461e-05 -1.0716e-05 -0.000608425 0.000311409 -2.8515e-05 0.00075535 -1.38988e-05 -5.91485e-05 0.000136923 0.000452405 -6.49815e-05 -1.87031e-13 -1.04535e-12 
295.823 -0.000126488 -0.000533414 -0.00121093 0.00304297 1.82487e-05 -0.000312196 0.000373668 -6.53567e-10 -0.00236499 0.0794849 -0.00854613 -0.00316671 -0.0037641 -0.0018322 -0.00878024 0.00576366 -0.000138205 0.000459874 0.000751462 0.000115334 0.000169519 4.99182e-05 5.7778e-05 7.05936e-06 6.61913e-05 1.66734e-05 2.19493e-05 3.41328e-05 -5.01052e-07 0.000171474 -1.1315e-05 -1.92085e-05 -2.23401e-05 -0.000130717 4.08413e-06 -0.000161405 -0.000196636 -4.26315e-05 5.2516e-05 3.13964e-05 0.000283467 0.00439633 0.000747832 0.000114236 9.01342e-05 6.35147e-05 0.000263888 7.22957e-05 -7.67453e-05 0.000132693 0.000180417 0.000440254 0.000219779 0.000276033 -6.00226e-05 0.000316361 0.00220928 0.000468029 0.000100164 0.000453012 0.000192892 0.000452681 0.000246085 0.0006135 -3.37469e-05 1.95173e-13 1.63707e-12 
249.853 -7.06253e-05 0.000269831 0.00107151 0.000794874 1.62413e-05 1.17931e-05 0.000247596 -1.38779e-09 -0.00104833 -0.00854613 0.0786361 -0.00657235 -0.00025609 -0.00400061 -0.00355515 -0.00412906 0.000899083 0.000931285 0.000609761 0.000167746 6.28514e-05 0.000109919 6.42365e-05 -2.38211e-05 6.69301e-05 4.22966e-06 -2.72279e-06 3.75349e-06 -6.65728e-09 -9.28813e-05 -0.000140646 -8.30766e-05 -2.27199e-05 -0.000169327 -0.000213031 -0.000175855 -0.00033544 -0.000149909 -0.000325031 1.11565e-05 0.000209389 0.002304 0.000616691 0.00023754 1.10958e-05 -0.000281478 0.000194433 -4.46974e-05 -0.000126769 -4.69882e-05 0.000100748 0.000227186 2.2153e-05 0.000107556 8.90337e-05 9.82667e-05 0.000962998 0.000235331 -4.21616e-05 0.000274927 -6.70273e-06 -0.000324139 -9.32048e-05 0.000602628 -1.49411e-05 3.27634e-13 2.42305e-12 
116.665 -0.000194992 -0.000227233 -0.000361656 -0.0058556 1.42902e-05 -0.000860411 0.000137192 -8.11424e-10 -0.00175738 -0.00316671 -0.00657235 0.0771661 -0.000489156 -0.0023111 -0.00330847 -0.00812856 -0.00110726 2.8948e-05 0.000436578 0.000114232 -1.1796e-05 0.00022396 1.98288e-05 3.36678e-09 7.83009e-05 1.87004e-05 1.33032e-05 3.89745e-05 2.67749e-05 0.000139007 1.21102e-05 -3.96733e-05 -1.80076e-05 -8.20659e-05 -8.88607e-05 -0.00011368 -0.000268482 -6.23023e-05 -2.82042e-05 4.58829e-06 0.00031274 0.00468131 0.000781726 0.000241781 0.000121386 8.78249e-05 0.00014834 4.02006e-05 0.000106765 8.28927e-05 0.000473574 0.000362426 0.000333488 0.000196169 0.000124228 0.000537094 0.00237135 0.000686146 5.88144e-05 0.00106095 0.000225266 0.000424325 5.98927e-05 0.00065894 -3.40082e-06 2.77308e-13 2.63017e-12 
29.5035 -0.000167819 -0.000583925 -0.00190367 0.00306408 -3.46777e-05 0.000174323 0.000144733 -8.34417e-10 -0.00305079 -0.0037641 -0.00025609 -0.000489156 0.0912273 -0.00317473 -0.00174892 -0.0233933 -0.000392255 0.000702599 -0.000253603 4.84031e-05 5.34161e-05 0.000333973 0.000226671 -1.35166e-05 0.00015788 0.000174835 6.43462e-05 7.53626e-05 8.73369e-05 0.00043799 0.000161508 -2.16911e-05 2.23181e-06 7.92854e-05 -7.52453e-05 -2.59855e-05 -8.21059e-05 8.97685e-06 0.00020964 3.1613e-05 0.000539626 0.00730286 0.00127044 0.000628902 0.000122103 0.00122184 0.000608977 4.3976e-05 0.000256451 9.97082e-05 0.000658036 0.00104747 0.000851644 0.000519195 0.000379966 0.000447328 0.00285663 0.00104924 0.000293 0.00192036 0.000394485 0.00017256 0.000154043 0.00078159 2.2827e-05 8.69376e-14 -2.43585e-14 
-237.905 -0.000203828 -0.000914398 0.00133449 -0.00727436 -2.11915e-05 -0.000420887 0.000113712 2.6486e-09 -0.00409256 -0.0018322 -0.00400061 -0.0023111 -0.00317473 0.0975352 -0.00979482 -0.0139573 -0.00100326 0.00128769 0.000483204 0.000210033 0.00026845 0.000532091 0.000299259 6.81203e-05 0.000189318 0.000281842 0.000133796 0.000106133 0.000110534 0.000790851 0.000309778 4.14108e-05 2.85356e-07 4.75414e-05 -8.71716e-06 -2.46292e-05 2.24618e-06 3.3716e-05 0.000501451 7.29247e-05 0.000725802 0.00983667 0.00185831 0.000846088 0.000260964 0.00135999 0.00130906 7.38666e-05 0.000470431 0.000427748 0.00107508 0.00114516 0.00111221 0.000721163 0.000426417 0.000858756 0.00507787 0.00206708 0.000627004 0.00348742 0.00044712 0.00111181 0.00064728 0.00103109 -6.41211e-05 -4.65518e-13 -2.22935e-12 
-793.622 -0.00048609 -0.00179634 -0.00445053 0.00157011 -9.10998e-05 -0.00093142 -0.000308988 4.24488e-09 -0.00174101 -0.00878024 -0.00355515 -0.00330847 -0.00174892 -0.00979482 0.113827 -0.0202197 0.00547359 0.00255445 0.00136507 0.000472795 0.000374945 0.000819149 0.000330043 0.000120565 0.000191883 0.000194708 5.64983e-05 6.01262e-05 8.38814e-05 0.000206477 -0.000135775 -8.05134e-05 -6.73825e-05 -0.000289677 -0.000275585 -0.000396562 -0.00106676 -0.000210989 -0.000295329 4.03716e-05 0.00064219 0.00862035 0.000939183 -0.000293681 0.000288645 0.00214329 0.000418145 0.000317016 0.000512296 0.000472517 -0.000116971 0.00145075 0.000322636 0.00024435 0.000561136 0.000198884 0.00405236 0.0017771 0.000650389 0.00241504 0.000161323 0.00185421 0.000209072 0.00166766 4.19448e-05 -8.08001e-13 -4.64916e-12 
-3198.05 -0.000881547 -0.00278244 -0.00425158 -0.000264098 -0.000201113 -0.00133841 0.000676304 -9.92572e-10 -0.00564921 0.00576366 -0.00412906 -0.00812856 -0.0233933 -0.0139573 -0.0202197 0.321675 0.00542929 0.0111846 0.00597456 0.00260286 0.00201567 0.00369372 0.00247118 0.000836635 0.00130646 0.00223841 0.000801244 0.000588023 0.000819308 0.00500106 0.00398413 0.000808034 0.000177513 0.000771763 0.000201451 0.000248399 0.000516582 0.000684764 0.00410173 0.000504154 0.00515891 0.0585768 0.0106882 0.00377853 0.00210844 0.010342 0.00623606 0.0029566 0.00490682 0.00272835 0.00452893 0.012929 0.0066135 0.00391189 0.00433342 0.00491752 0.030132 0.0104824 0.00235809 0.0158549 0.00203598 0.0100481 0.0010025 0.00544902 0.000320677 -1.40294e-13 -3.24137e-12 
-903.964 -0.000189678 -0.000964667 -0.00103557 -0.00315576 -8.74868e-05 -0.000607471 0.000172312 -8.27063e-10 0.00133365 -0.000138205 0.000899083 -0.00110726 -0.000392255 -0.00100326 0.00547359 0.00542929 0.0810517 0.00391977 0.00229436 0.000925844 0.000709353 0.00153055 0.00100418 0.000515343 0.000491837 0.00105868 0.000373186 0.000367559 0.000412364 0.00311189 0.00287039 0.000589012 0.000149926 0.000827898 0.000752209 0.000498359 0.00141454 0.00075074 0.00320871 0.000318322 0.00262281 0.0305447 0.00536962 0.00248455 0.00137343 0.00541886 0.00355883 0.00129285 0.00306102 0.00184119 0.00267534 0.00722928 0.00392508 0.00246124 0.00222816 0.00292431 0.0168425 0.00613507 0.00181305 0.0114096 0.00161355 0.0082069 0.00129212 0.00157668 3.73132e-05 2.09828e-13 1.79436e-12 
