*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
27.5311 -2.07763e-09 2.90809e-06 -0.000577269 0.000684131 -1.51554e-05 8.17746e-06 -0.000145851 0.0222845 -0.000688509 -0.00216795 -0.003911 0.0068435 -0.00153743 0.00385423 0.000242945 0.000780497 0.00155484 -6.52187e-05 0.000724538 0.000349492 -2.17628e-05 0.000964347 0.00115503 0.000717487 0.000277579 0.0016326 0.00102871 0.00102354 0.000480195 0.00099404 0.00099888 0.00111829 0.000908145 0.000570797 0.000629247 0.000408322 0.000598649 0.000714563 0.000911115 0.000829004 0.000567115 0.000445326 0.000228192 0.000369287 7.05769e-05 0.000516501 -6.84525e-05 0.000491541 -0.000748463 -0.00146729 
86.5588 -2.57141e-08 -2.2377e-05 -0.00101775 -0.000564801 -3.12399e-05 -7.87003e-06 0.000377889 -0.000688509 0.0316012 -0.00840155 -0.00798377 0.00998481 0.00326176 0.000125306 -0.00113425 0.000412307 0.000474672 0.000564588 0.000452556 -4.99013e-05 0.000481701 0.000204847 0.000416006 0.00151981 0.00167464 0.000407647 0.0012949 0.000368835 0.000740594 0.000541195 0.000699882 0.000861095 0.000753458 0.000466869 0.000596866 0.000554894 0.000386712 0.000886504 0.000695019 0.000953151 0.000373144 0.000651371 0.000192753 0.000266509 0.000499834 0.00110981 0.000316437 -0.000832396 -0.00090449 0.000987275 
70.8995 -1.69924e-08 -3.06736e-05 -0.00053213 -0.000778318 1.3885e-05 8.75147e-06 -6.44696e-05 -0.00216795 -0.00840155 0.0637055 -0.0341097 0.000576156 0.00728582 0.012623 0.0012546 0.00187569 0.00136617 0.000610534 -0.000471892 0.00190161 0.00039661 0.000681291 0.000594965 0.00222533 -0.00162818 0.00338575 0.0017468 0.00164521 0.001186 0.00163018 0.00249406 0.00107932 0.0013449 0.00142748 0.00047232 0.00132705 0.000832758 0.00138015 0.00195706 0.00160086 0.00178483 0.00148934 0.000727077 0.0017011 0.000954706 -0.000243653 0.000571345 -0.00113926 -0.000274538 -0.00132802 
128.693 -6.73014e-08 -4.98545e-05 -0.00163413 -0.00610896 -2.77956e-05 -0.000148065 -0.000293855 -0.003911 -0.00798377 -0.0341097 0.308849 -0.306338 0.046404 0.0512573 -0.00308686 6.78901e-06 0.003745 0.000600927 -0.000908207 0.00135293 0.00109506 2.49204e-05 0.000673618 0.00209763 0.00223158 0.000559124 0.00081937 0.00141254 -0.000114451 0.00183248 0.00127241 0.000960757 0.00191225 0.000589406 0.000903503 0.00130372 0.000691692 0.00184541 0.00143163 0.00149942 0.000832999 0.00128723 0.00124792 0.000489293 0.000591785 0.00213305 -0.000575399 -0.00512306 0.00584063 -0.00382351 
-3.73135 3.24857e-08 0.000103609 -0.000582629 0.00306798 8.21036e-05 0.000339935 0.000930869 0.0068435 0.00998481 0.000576156 -0.306338 0.641943 -0.195247 0.0350296 0.0133267 0.00911168 0.0112249 0.0105344 0.00582847 0.0048631 0.00506869 0.00761708 0.00921393 0.0098737 0.0158749 0.01332 0.0107447 0.0133524 0.013376 0.0109692 0.0108244 0.0142455 0.00905198 0.00714171 0.00770885 0.00463673 0.00890363 0.00907164 0.0111822 0.010588 0.00938114 0.00698099 0.00698811 0.0068075 0.00401437 0.00618817 0.00302601 0.00772123 -0.00826086 1.04055e-05 
5.11013 -3.63037e-08 -5.6308e-06 -0.00243651 0.00722595 -4.3642e-05 -0.000185098 -0.00068928 -0.00153743 0.00326176 0.00728582 0.046404 -0.195247 0.228475 -0.116597 0.00445755 0.00287801 -0.00215182 0.000515773 -0.00143425 -0.000301644 -0.00106051 -0.00194743 0.000429482 -0.00119014 -0.000990994 -0.000617815 -0.00134792 -0.00312762 -0.000769843 -0.00167572 -0.00183216 -0.00197119 -0.000910778 -0.001205 -0.000978903 -0.000779747 -0.00168751 -0.00136206 -0.00201665 -0.00174274 -0.00142197 -0.00156445 -0.0015373 -0.00165596 -0.0012863 -0.000854296 -0.000857623 -0.000598981 0.00346681 0.00180056 
11.3502 -1.00295e-07 2.32978e-06 -0.0167866 -0.0204082 -7.94853e-05 0.000100787 0.000162295 0.00385423 0.000125306 0.012623 0.0512573 0.0350296 -0.116597 0.456497 -0.0345946 0.00387172 0.0297186 0.0119136 0.0113538 0.0118835 0.0123249 0.0130138 0.0168106 0.0242646 0.0192731 0.0290817 0.0236669 0.0230438 0.0269021 0.0220148 0.0230754 0.0245346 0.0196581 0.0126619 0.0140705 0.0112101 0.0151907 0.0187843 0.0211467 0.0206994 0.0175785 0.014555 0.0158038 0.0106608 0.0102044 0.0100343 0.00240823 -0.00269526 -0.00196714 -0.00618764 
-20.4387 9.5502e-09 1.54e-05 0.00115499 0.00231582 2.84503e-05 6.18e-06 -6.16374e-05 0.000242945 -0.00113425 0.0012546 -0.00308686 0.0133267 0.00445755 -0.0345946 0.0379184 -0.00390404 -0.00134865 0.00169236 -0.000314571 0.000990494 -0.000192618 0.000883957 0.000498827 0.00108094 0.00262592 0.000557907 0.00143522 -6.33615e-05 0.000927274 0.00148463 0.000822954 0.000739553 0.000854602 0.000603208 0.000230896 0.000892423 0.000354153 0.000937304 0.000833076 0.000356571 0.000930993 0.000233941 0.00109939 0.000284838 0.000162701 0.000440949 -0.000770281 0.000490146 -0.000690804 -0.000545086 
-2.14291 8.14695e-09 2.78176e-05 0.00105215 0.00218902 4.42809e-06 -1.8864e-06 9.65691e-05 0.000780497 0.000412307 0.00187569 6.78901e-06 0.00911168 0.00287801 0.00387172 -0.00390404 0.0264033 -0.0112605 0.00277798 0.000966163 0.000974592 0.000905321 0.000366499 0.00109845 0.00106273 0.0016265 0.00304354 0.000102593 0.00180413 0.00162097 0.00132685 0.00144166 0.00169401 0.00124701 0.00109974 0.000928734 0.000766035 0.00117388 0.00132837 0.00161701 0.0016871 0.00157793 0.00100687 0.00108399 0.0014067 9.80418e-05 0.00161719 0.00125574 -0.000451559 -0.000263435 6.01378e-05 
-43.4342 -1.22288e-08 1.37219e-05 -0.00540629 -0.00181704 3.27799e-05 2.06882e-05 -0.000368316 0.00155484 0.000474672 0.00136617 0.003745 0.0112249 -0.00215182 0.0297186 -0.00134865 -0.0112605 0.0394824 -0.0114079 0.00226281 0.0011758 0.00231711 0.00178238 0.00234845 0.00338247 0.00447757 0.00396023 0.00407559 0.0028477 0.00461557 0.00272034 0.00371742 0.00361184 0.00297084 0.00184106 0.00210595 0.00161136 0.00209384 0.00275527 0.00291893 0.003009 0.00229548 0.00214157 0.00150925 0.00168926 0.00132247 0.000786283 -0.000431467 0.00165534 -0.00056838 -0.00115712 
-24.387 1.28904e-09 1.03369e-05 0.0012557 0.00136982 -4.14856e-05 -5.62008e-07 -8.45693e-05 -6.52187e-05 0.000564588 0.000610534 0.000600927 0.0105344 0.000515773 0.0119136 0.00169236 0.00277798 -0.0114079 0.0219498 -0.00436289 0.00123081 0.000717936 0.00128482 0.0016703 0.00222907 0.00162304 0.00296612 0.0010488 0.00247861 0.00167533 0.00204138 0.00167314 0.00203651 0.00151936 0.00120349 0.00110188 0.000973128 0.00125913 0.00149806 0.0017414 0.00135975 0.00151528 0.000951967 0.00113053 0.000816812 3.07723e-05 0.00103953 1.2995e-05 -0.000977081 0.00159745 0.000404775 
-23.0805 -2.42161e-09 1.22136e-05 -0.000881507 -0.000419392 -4.02065e-05 9.14113e-06 -0.00019833 0.000724538 0.000452556 -0.000471892 -0.000908207 0.00582847 -0.00143425 0.0113538 -0.000314571 0.000966163 0.00226281 -0.00436289 0.00961018 -0.00156862 0.000635363 0.00100502 0.000710541 0.00126862 0.00135532 0.0018254 0.00133228 0.00125105 0.00154751 0.00140685 0.00107883 0.00123506 0.000926868 0.00051894 0.000641303 0.000655238 0.000716122 0.00100002 0.00079956 0.000961748 0.000702306 0.00093916 0.000965342 -3.10147e-05 0.000473086 -7.36054e-05 0.000722087 0.000948504 -0.000875497 -0.00173224 
-12.8677 5.20625e-09 6.40029e-06 0.000404918 0.000752508 -2.45959e-05 1.1489e-06 -3.60207e-05 0.000349492 -4.99013e-05 0.00190161 0.00135293 0.0048631 -0.000301644 0.0118835 0.000990494 0.000974592 0.0011758 0.00123081 -0.00156862 0.00713885 -0.0020495 0.000966756 0.00129469 0.00177535 0.00122642 0.00117574 0.00178949 0.00134157 0.00151496 0.00121996 0.00141369 0.00145036 0.00111016 0.00102748 0.000817321 0.000809928 0.000937741 0.00122582 0.0013537 0.00146617 0.00144468 0.000910963 0.000575075 0.000779792 0.000631646 0.00132315 -0.000258061 3.93264e-05 0.000216367 0.00071063 
-33.7931 4.7466e-09 2.01168e-05 -0.00155867 -0.000905776 2.66108e-05 4.54872e-06 -0.000264238 -2.17628e-05 0.000481701 0.00039661 0.00109506 0.00506869 -0.00106051 0.0123249 -0.000192618 0.000905321 0.00231711 0.000717936 0.000635363 -0.0020495 0.00910097 -0.00198741 0.000989139 0.00176785 0.00202843 0.00217177 0.0011987 0.00100378 0.00204067 0.00100935 0.00148108 0.00133968 0.0010567 0.000800601 0.00062646 0.000659329 0.000756858 0.00108452 0.00096957 0.00106165 0.000929488 0.000694895 0.000775296 0.000427052 0.000456553 0.000292877 0.000528319 -0.00041823 0.000223944 -0.000600644 
-31.1378 2.08014e-09 1.2814e-05 -0.000687421 0.000411035 -4.96402e-05 1.12501e-05 -0.000166507 0.000964347 0.000204847 0.000681291 2.49204e-05 0.00761708 -0.00194743 0.0130138 0.000883957 0.000366499 0.00178238 0.00128482 0.00100502 0.000966756 -0.00198741 0.00773563 -0.00144861 0.00201545 0.00204907 0.00221917 0.00130456 0.00143516 0.0016453 0.00138872 0.00158197 0.00160459 0.00126103 0.000877006 0.000952601 0.000692555 0.00099033 0.0011141 0.00129864 0.00126518 0.00103681 0.000781484 0.000836296 0.000290405 0.000595173 8.15428e-05 0.000460114 0.000993857 -0.000199105 -0.000727423 
