process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
53971.6 2.5348e-05 0.0377049 6.99583 2.70805 3.06313 0.187373 0.186487 0.2206 0.255345 0.333122 0.531308 0.988168 0.453788 2.39155 0.26921 0.257488 0.396052 0.280984 0.188703 0.170511 0.221805 0.212914 0.265145 0.377217 0.429685 0.423358 0.338949 0.346261 0.400865 0.350615 0.340434 0.37119 0.300489 0.200993 0.210689 0.185474 0.235239 0.300363 0.331549 0.331285 0.276114 0.245929 0.237922 0.204787 0.190393 0.224515 0.17625 0.281854 0.304251 0.30437 
covariance_matrix:
46.6277 -3.36405e-09 -8.40261e-07 -0.000391686 -0.000238948 1.18865 3.52774 6.1295e-05 0.0276644 -0.00219525 -0.00304152 -0.00472936 0.00621349 -0.000629484 0.00404492 0.000252911 0.000324788 0.000746365 0.000479691 0.000333483 0.000329096 0.000461888 0.000451085 0.000587618 0.000866604 0.000954347 0.00101173 0.000778581 0.000823866 0.000990345 0.000854677 0.000837661 0.000918091 0.000742844 0.000482362 0.000515499 0.00044415 0.000569912 0.000730439 0.000802985 0.00079767 0.000653038 0.000573367 0.000539052 0.000416531 0.000353492 0.000310185 0.000105803 -1.42917e-05 1.20259e-07 8.21113e-09 
47.1926 -4.303e-09 -1.10864e-06 -0.000506066 -0.000309702 1.50657 4.47127 7.32234e-05 -0.00219525 0.039887 -0.00716851 -0.014278 0.0104381 -0.000373389 0.0058351 0.000347002 0.000466597 0.00104869 0.000652261 0.000449761 0.000440239 0.000617038 0.000599817 0.000779994 0.00114961 0.00126697 0.00133781 0.00102848 0.00108647 0.00130446 0.00112493 0.00110208 0.00120765 0.000976908 0.000634472 0.0006781 0.000584259 0.000749687 0.000960568 0.00105572 0.00104864 0.000858475 0.000753987 0.000709594 0.000550581 0.000469326 0.000421709 0.00015572 -1.40748e-05 1.70587e-07 1.14436e-08 
52.0407 -5.91275e-09 -1.5422e-06 -0.000700562 -0.000421841 2.06406 6.12585 9.45829e-05 -0.00304152 -0.00716851 0.0808953 -0.0413483 -0.00364703 0.00450478 0.0119145 5.18314e-05 0.000561751 0.00158453 0.00094605 0.000646084 0.00063198 0.000885718 0.000857342 0.00111333 0.00163938 0.00180787 0.00190304 0.00146172 0.00154184 0.00184941 0.00159396 0.00156114 0.00171038 0.00138335 0.000898612 0.000960466 0.000827591 0.00106191 0.00136032 0.00149481 0.00148458 0.00121539 0.00106779 0.00100581 0.000782999 0.000669766 0.000613118 0.00023966 -1.52263e-05 2.49747e-07 1.65605e-08 
70.2375 -7.84923e-09 -2.04269e-06 -0.000924397 -0.000513278 2.8176 8.36223 0.000119028 -0.00472936 -0.014278 -0.0413483 0.367011 -0.354889 0.0532256 0.0589369 -0.00523225 -0.00107769 0.00228977 0.00125627 0.000835374 0.000856773 0.00121331 0.00116954 0.00151407 0.00222789 0.0024528 0.00258157 0.00198175 0.0020876 0.00250341 0.00215757 0.00211327 0.00231509 0.00187246 0.00121658 0.00130048 0.00112073 0.00143791 0.00184185 0.00202363 0.00200921 0.00164493 0.00144559 0.00136215 0.00106117 0.000908752 0.000837029 0.000333481 -2.17762e-05 3.11979e-07 2.07055e-08 
84.3812 -3.90486e-08 -7.13257e-06 -0.00515916 -0.00324236 14.5421 43.1589 0.00052057 0.00621349 0.0104381 -0.00364703 -0.354889 0.745792 -0.209152 0.0238076 0.0158891 0.00924681 0.0134501 0.00847256 0.00544857 0.00505566 0.00700042 0.00670937 0.0086861 0.012776 0.0141022 0.0147186 0.01128 0.0118569 0.0141835 0.0122038 0.0119412 0.0130742 0.0105691 0.00686805 0.00734177 0.00632544 0.00811495 0.010386 0.0114052 0.0113228 0.0092672 0.00814829 0.00769261 0.00604268 0.00521999 0.00500767 0.00222399 -1.15295e-05 2.15793e-06 1.39535e-07 
9.36896 1.18316e-09 -2.42998e-06 0.000434633 0.000204872 -1.39104 -4.12842 -1.38967e-05 -0.000629484 -0.000373389 0.00450478 0.0532256 -0.209152 0.257652 -0.133618 0.00712806 0.00324614 -0.00103765 -0.000997738 -0.000450794 -0.000472705 -0.000657621 -0.000620845 -0.000792843 -0.00115951 -0.00127153 -0.00132216 -0.00100942 -0.00105475 -0.0012587 -0.00108205 -0.00105811 -0.00115663 -0.000934744 -0.000607554 -0.000649406 -0.000559166 -0.000715839 -0.000913915 -0.00100078 -0.000989939 -0.000808235 -0.000710733 -0.000670333 -0.000525588 -0.000456025 -0.000441547 -0.000203133 -1.02431e-06 -1.67432e-07 -1.0641e-08 
-31.4015 -6.8865e-08 -1.74351e-06 -0.0103328 -0.0056326 30.7466 91.2515 0.000660377 0.00404492 0.0058351 0.0119145 0.0589369 0.0238076 -0.133618 0.494364 -0.0431278 -0.00104899 0.0297539 0.0162833 0.0107311 0.0101865 0.0139336 0.0132314 0.017023 0.0249624 0.0273891 0.0286047 0.0218671 0.0229269 0.027412 0.0235836 0.0230781 0.0252459 0.0204115 0.0132673 0.014186 0.0122217 0.0156614 0.020022 0.0219539 0.0217511 0.0177775 0.0156319 0.0147383 0.0115432 0.00999415 0.00957638 0.00428834 1.16937e-05 4.01614e-06 2.57718e-07 
-8.04404 -1.23578e-09 1.16342e-06 -0.000283286 -7.59261e-05 1.08145 3.2096 8.74899e-06 0.000252911 0.000347002 5.18314e-05 -0.00523225 0.0158891 0.00712806 -0.0431278 0.0460246 -0.00636333 -0.00229168 0.00167166 0.000292639 0.00033349 0.000487023 0.000457185 0.000585029 0.000852872 0.00093226 0.000972747 0.000741235 0.00077421 0.000923551 0.000794157 0.000777212 0.000849522 0.000686773 0.000446511 0.000477461 0.000411438 0.0005268 0.000672891 0.000736979 0.00072858 0.000595235 0.000523468 0.000493521 0.000386091 0.000334387 0.000321694 0.000145967 7.17782e-08 1.10358e-07 6.8702e-09 
-8.165 -3.1971e-09 3.91546e-07 -0.000435581 -7.08823e-05 1.88532 5.59537 2.88927e-05 0.000324788 0.000466597 0.000561751 -0.00107769 0.00924681 0.00324614 -0.00104899 -0.00636333 0.0319544 -0.0146313 0.00381133 0.000669918 0.000558063 0.000851639 0.000803904 0.00103059 0.00150529 0.00164591 0.00172166 0.00131374 0.00137256 0.001639 0.0014093 0.00138009 0.00150934 0.00122044 0.0007935 0.000848692 0.000731848 0.000938054 0.0011997 0.00131575 0.00130231 0.0010658 0.000937419 0.000884496 0.000692578 0.000598357 0.000573754 0.000256573 -1.57633e-06 1.89829e-07 1.17067e-08 
-24.6518 -3.50625e-09 3.96599e-06 -0.000408503 0.000558798 4.58343 13.603 4.94076e-05 0.000746365 0.00104869 0.00158453 0.00228977 0.0134501 -0.00103765 0.0297539 -0.00229168 -0.0146313 0.0469735 -0.0149228 0.00286512 0.00172985 0.00206979 0.0019851 0.00252927 0.00370003 0.00405065 0.00424031 0.00323077 0.00336492 0.0040099 0.00344701 0.00337549 0.00369172 0.00298521 0.00194092 0.00207631 0.00179198 0.00229858 0.0029412 0.00322814 0.00319358 0.00261903 0.00230459 0.0021779 0.00170739 0.00146897 0.00140453 0.000616759 -1.27554e-05 3.2526e-07 1.84539e-08 
