process[Recruitment].b0 catchability[chatTANq].q selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} 
52583 0.0575073 9.51995 5.53388 10.8664 10.8129 3.50263 6.86989 6.44798 3.00327 7.88329 1.02472 1.04659 1.06325 1.07299 1.07458 1.06541 1.04328 1.01815 1.00286 0.426938 0.476757 0.520428 0.382199 0.527158 0.445186 0.674269 1.00397 0.761246 0.653432 0.592745 0.488618 0.321245 0.30342 0.221371 0.33299 0.219917 0.328752 0.925174 0.525767 0.434871 0.187221 0.307342 0.259688 0.23094 0.26021 3 3 
covariance_matrix:
-30.2471 -2.50854e-05 -0.00165674 -0.00207603 -0.0138066 0.00839508 -0.0268368 0.0345386 0.361853 0.00399791 0.000500362 -0.0222054 -0.0235993 -0.00413195 0.0199548 0.0255209 0.0145248 -0.00423531 -0.0127025 0.00116679 0.00177348 0.000327384 0.00130746 0.000131625 -0.00213637 -0.0019395 -0.00326417 -0.00959592 -0.00578151 -0.00716965 -0.00210863 0.00297184 0.00289943 0.00435815 0.00381433 0.00236706 0.000117071 0.000547792 -0.0046482 -0.00396811 0.000902678 -0.000665672 7.86799e-05 0.00104364 0.00186724 0.00157192 1.73985e-10 1.73978e-10 
33.5604 3.37374e-05 0.000654489 0.00087124 0.00974622 -0.0095258 0.0155941 -0.0152266 0.00399791 0.337011 0.0110928 0.010508 0.0124826 0.00233123 -0.0111684 -0.0139313 -0.00785959 0.00223877 0.00635493 0.000724846 -0.00043956 -7.16214e-05 3.3801e-06 0.000669552 0.00198189 0.00236975 0.00372017 0.00559208 0.00521416 0.00479841 0.00140073 -0.00111414 -0.00162226 -0.00269993 -0.00208311 -0.00233165 -0.000849235 -0.0012062 -0.00138825 0.000111745 -0.000362841 -0.000272192 -9.49825e-05 -0.000165107 -0.000407089 -0.000508595 -4.33942e-11 -4.33915e-11 
12.0649 4.30235e-05 -0.00872757 -0.0109614 -0.0439021 0.0175948 -0.125691 0.18816 0.000500362 0.0110928 4.85391 -0.104012 -0.101714 -0.0157264 0.083435 0.1054 0.0576466 -0.0219036 -0.0565648 0.0221187 0.0118556 0.00291859 0.0113333 0.00618306 -0.00269918 0.00141248 0.000669986 -0.0355448 -0.00943122 -0.0244317 -0.00698473 0.0158985 0.0112469 0.0153804 0.0156491 0.00175763 -0.0058497 -0.00475782 -0.048913 -0.0321054 0.00451352 -0.00699804 -0.000223124 0.00689 0.0118587 0.0088639 1.09406e-09 1.09402e-09 
-218.288 -0.00021884 0.000934233 0.00256716 -0.0283936 0.0219142 0.0105619 -0.0471114 -0.0222054 0.010508 -0.104012 0.0847737 0.108784 0.0721476 0.0107668 -0.0194048 -0.0150665 0.0088318 0.0149241 -0.0242137 -0.00500127 -0.00218108 -0.00787963 -0.00828705 -0.0109284 -0.0154013 -0.023373 -0.0144441 -0.0253236 -0.0125944 -0.00406981 -0.00298062 0.00346391 0.00738516 0.00333024 0.0141132 0.00987677 0.0112306 0.0407708 0.0201994 -0.000400926 0.00538898 0.000803947 -0.00282876 -0.00442602 -0.00215551 -3.99666e-10 -3.99655e-10 
-257.989 -0.000253929 0.000440476 0.000762933 -0.0369091 0.0201053 0.002285 -0.0334977 -0.0235993 0.0124826 -0.101714 0.108784 0.157803 0.118827 0.0401423 -0.00261047 -0.00647398 0.01294 0.0111941 -0.0339357 -0.00437365 -0.00245322 -0.00755849 -0.00844343 -0.0124148 -0.0166295 -0.0254165 -0.0205343 -0.0285175 -0.0163699 -0.00547056 -0.00173508 0.0048303 0.00947807 0.00521876 0.0153096 0.0100472 0.0116665 0.0387241 0.0183557 0.000295401 0.00496291 0.00103151 -0.00199659 -0.00312418 -0.00102833 -2.94847e-10 -2.94841e-10 
-44.366 -4.80395e-05 0.000323678 -0.000272085 -0.00668453 0.00760249 -0.00504438 -0.000500092 -0.00413195 0.00233123 -0.0157264 0.0721476 0.118827 0.118041 0.0798264 0.0468195 0.0239434 0.0108465 -0.00663233 -0.0311527 -0.00136292 -0.000550938 -0.000853911 -0.000984693 -0.0015721 -0.00234269 -0.0040036 -0.00415454 -0.0054489 -0.00373954 -0.0010459 0.000968223 0.00193491 0.0028097 0.00160609 0.00246283 0.00116075 0.00118054 0.00376827 0.00183079 0.000114024 0.000792494 0.000277104 -0.000179405 -0.000364941 -8.83411e-05 -4.48912e-11 -4.48899e-11 
240.57 0.000225721 0.000384614 -2.76364e-05 0.0354051 -0.00649136 -0.00698185 0.0280993 0.0199548 -0.0111684 0.083435 0.0107668 0.0401423 0.0798264 0.108517 0.0973314 0.0591096 0.0117185 -0.0181955 -0.0138277 0.00214628 0.00203338 0.00672143 0.00777699 0.0121149 0.0152728 0.0228175 0.0202975 0.0246704 0.0144719 0.00529453 0.00252603 -0.00322798 -0.00740299 -0.00449261 -0.0136737 -0.00929309 -0.0111929 -0.0349043 -0.0158835 -0.00065711 -0.00381273 -0.000868443 0.00125966 0.00186703 0.000159297 1.75477e-10 1.75475e-10 
297.57 0.000286559 -0.000210213 -0.000403479 0.0423371 -0.0146013 -0.00652457 0.0371971 0.0255209 -0.0139313 0.1054 -0.0194048 -0.00261047 0.0468195 0.0973314 0.107457 0.0756399 0.0278677 0.000781747 0.0181833 0.00452523 0.00284649 0.00809025 0.00915527 0.0140592 0.0184793 0.0286617 0.0263748 0.0328035 0.0195472 0.00659779 0.000508812 -0.00683924 -0.0122768 -0.00713673 -0.0176389 -0.0111781 -0.0128081 -0.0405645 -0.0189222 -0.000669986 -0.00500246 -0.00129718 0.00162243 0.00268511 0.000594067 2.78018e-10 2.78012e-10 
157.102 0.000154869 -0.000320539 -0.000638401 0.0221209 -0.0131227 0.000187446 0.0190414 0.0145248 -0.00785959 0.0576466 -0.0150665 -0.00647398 0.0239434 0.0591096 0.0756399 0.0730956 0.0543239 0.0439714 0.0565982 0.0044256 0.00214806 0.00412261 0.00446129 0.00681585 0.0095368 0.0156785 0.0155674 0.0195355 0.0121009 0.00352975 -0.00222649 -0.0062871 -0.00948573 -0.00540333 -0.0102099 -0.00574105 -0.00607905 -0.0192776 -0.00922507 -0.000311283 -0.00281566 -0.000839011 0.000855767 0.00158287 0.000508154 1.77366e-10 1.77361e-10 
-70.9438 -6.31082e-05 -0.000116896 -0.000364803 -0.00934367 -0.00592325 0.00970316 -0.0130942 -0.00423531 0.00223877 -0.0219036 0.0088318 0.01294 0.0108465 0.0117185 0.0278677 0.0543239 0.0819583 0.0936066 0.0918489 0.00163861 0.000143726 -0.00229096 -0.00271146 -0.00398712 -0.00447287 -0.00566629 -0.00306938 -0.00405416 -0.00141314 -0.00127955 -0.00388046 -0.00237686 -0.00172327 -0.00099947 0.00263458 0.00283963 0.00393329 0.0130864 0.00596067 0.000177431 0.000991484 0.000106797 -0.00044228 -0.000515888 5.24656e-05 -3.2754e-11 -3.27551e-11 
