process[Recruitment].b0 catchability[chatTANq].q selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} 
52583 0.0575073 9.51995 5.53388 10.8664 10.8129 3.50263 6.86989 6.44798 3.00327 7.88329 1.02472 1.04659 1.06325 1.07299 1.07458 1.06541 1.04328 1.01815 1.00286 0.426938 0.476757 0.520428 0.382199 0.527158 0.445186 0.674269 1.00397 0.761246 0.653432 0.592745 0.488618 0.321245 0.30342 0.221371 0.33299 0.219917 0.328752 0.925174 0.525767 0.434871 0.187221 0.307342 0.259688 0.23094 0.26021 3 3 
covariance_matrix:
-82.2491 -6.7118e-05 -0.00164986 -0.00172128 -0.0183165 -0.00183859 -0.0121261 0.0173058 -0.00578151 0.00521416 -0.00943122 -0.0253236 -0.0285175 -0.0054489 0.0246704 0.0328035 0.0195355 -0.00405416 -0.0161003 -0.00511716 0.000722617 -0.000600583 -0.000326749 -0.00137453 -0.00437401 -0.00460691 -0.00752708 -0.0145698 0.259067 -0.00928527 -0.00303775 0.00294409 0.00417759 0.00634919 0.00495699 0.00527826 0.00217233 0.00273799 0.0020325 -0.000749237 0.00112248 -0.000201112 0.00037006 0.00106083 0.00171605 0.00163241 1.38138e-10 1.38131e-10 
-70.4712 -6.90624e-05 -0.000612841 -0.000734447 -0.0147757 0.0110023 -0.0139666 0.00954338 -0.00716965 0.00479841 -0.0244317 -0.0125944 -0.0163699 -0.00373954 0.0144719 0.0195472 0.0121009 -0.00141314 -0.00822857 -0.00561894 -0.000241551 -0.000335701 -0.00107164 -0.00183517 -0.00372067 -0.00467535 -0.00730448 -0.00878712 -0.00928527 0.223796 -0.0021846 0.00103424 0.00248503 0.00422863 0.00294467 0.00456056 0.00228467 0.00283241 0.00665375 0.0023823 0.000429016 0.000916948 0.000257576 -6.16312e-05 2.69749e-05 0.000398119 4.35434e-12 4.35254e-12 
-26.2843 -2.37267e-05 -0.000199382 -0.000175389 -0.00455302 0.000513555 -0.00104949 1.88849e-06 -0.00210863 0.00140073 -0.00698473 -0.00406981 -0.00547056 -0.0010459 0.00529453 0.00659779 0.00352975 -0.00127955 -0.00308789 -0.00131177 -0.000159866 -0.0002339 -0.000494109 -0.000679097 -0.00131523 -0.001585 -0.00249496 -0.00320378 -0.00303775 -0.0021846 0.208554 0.000306868 0.000862559 0.0014239 0.000981449 0.00161518 0.000889817 0.00105479 0.00253623 0.000974407 0.000172315 0.000251456 0.000113215 3.59763e-05 5.82306e-05 0.000164889 1.64146e-12 1.64093e-12 
26.3736 2.94612e-05 -0.000437647 -0.000532706 0.00249607 -0.00476819 -0.00218069 0.00898499 0.00297184 -0.00111414 0.0158985 -0.00298062 -0.00173508 0.000968223 0.00252603 0.000508812 -0.00222649 -0.00388046 -0.00177833 0.00709082 0.00102286 0.000305861 0.00119681 0.00112681 0.00115909 0.00187872 0.00283753 0.000559382 0.00294409 0.00103424 0.000306868 0.172782 -0.000162773 -0.000537568 1.18867e-05 -0.00159306 -0.00124826 -0.00136638 -0.00604181 -0.00324193 0.00019839 -0.000921124 -0.000105902 0.000580932 0.00092871 0.000549666 8.31814e-11 8.31786e-11 
39.1938 3.53224e-05 4.90626e-05 -9.03618e-05 0.00512857 0.00124638 -0.00356511 0.00653785 0.00289943 -0.00162226 0.0112469 0.00346391 0.0048303 0.00193491 -0.00322798 -0.00683924 -0.0062871 -0.00237686 0.00243239 0.00727476 0.000687384 0.000512663 0.00105459 0.0011362 0.00181005 0.00229018 0.00362984 0.00392789 0.00417759 0.00248503 0.000862559 -0.000162773 0.110962 -0.00182408 -0.00110188 -0.00236123 -0.00147687 -0.00164211 -0.00487864 -0.00224247 -0.000146109 -0.000508914 -0.000191119 8.73222e-05 0.000194182 -1.9431e-05 2.67896e-11 2.67891e-11 
56.7028 5.09943e-05 0.000267236 0.000136766 0.00867299 0.000430519 -0.00132758 0.00447054 0.00435815 -0.00269993 0.0153804 0.00738516 0.00947807 0.0028097 -0.00740299 -0.0122768 -0.00948573 -0.00172327 0.00494918 0.00844205 0.000685972 0.000636293 0.00127029 0.00153181 0.00272117 0.00335178 0.00531826 0.00642939 0.00634919 0.00422863 0.0014239 -0.000537568 -0.00182408 0.102731 -0.00192618 -0.00347304 -0.00201493 -0.00230181 -0.00610136 -0.00258079 -0.000303361 -0.000618875 -0.000264256 2.33407e-06 4.70151e-05 -0.000211968 1.5448e-11 1.54482e-11 
44.4824 4.2354e-05 -3.96932e-06 -0.000110091 0.00628306 -0.00179666 -0.00138894 0.00594039 0.00381433 -0.00208311 0.0156491 0.00333024 0.00521876 0.00160609 -0.00449261 -0.00713673 -0.00540333 -0.00099947 0.00253758 0.00585973 0.000762012 0.000479121 0.00123139 0.001374 0.00211174 0.00277244 0.00431905 0.00404632 0.00495699 0.00294467 0.000981449 1.18867e-05 -0.00110188 -0.00192618 0.0750711 -0.00269948 -0.00170297 -0.00193794 -0.00609711 -0.00284166 -0.000104102 -0.000739072 -0.000195438 0.000235798 0.000394819 8.60094e-05 4.13202e-11 4.13193e-11 
48.55 3.59079e-05 0.00089881 0.000800752 0.00891707 0.00779029 -0.000869695 -0.00314599 0.00236706 -0.00233165 0.00175763 0.0141132 0.0153096 0.00246283 -0.0136737 -0.0176389 -0.0102099 0.00263458 0.00916115 0.00293795 -0.00024182 0.000573802 0.000391563 0.000809206 0.00243282 0.00242249 0.00402401 0.00841641 0.00527826 0.00456056 0.00161518 -0.00159306 -0.00236123 -0.00347304 -0.00269948 0.113332 -0.00136446 -0.00161468 -0.00137448 0.000225332 -0.000675525 0.000272077 -0.000253074 -0.000722605 -0.00107635 -0.000972904 -7.88363e-11 -7.88327e-11 
23.1995 1.22166e-05 0.000710045 0.000617213 0.00424608 0.00961341 -0.0032487 -0.00211283 0.000117071 -0.000849235 -0.0058497 0.00987677 0.0100472 0.00116075 -0.00929309 -0.0111781 -0.00574105 0.00283963 0.0064969 -7.48797e-05 -0.000418028 0.000372969 -6.27891e-05 0.000150624 0.00115079 0.000838602 0.00152543 0.00531317 0.00217233 0.00228467 0.000889817 -0.00124826 -0.00147687 -0.00201493 -0.00170297 -0.00136446 0.0751559 -0.000601239 0.00107687 0.00116072 -0.000519899 0.000557387 -0.00014727 -0.000716848 -0.00105406 -0.000833646 -7.90986e-11 -7.90955e-11 
26.9156 1.58577e-05 0.000799001 0.00073546 0.00539866 0.00859706 -0.00136978 -0.00408346 0.000547792 -0.0012062 -0.00475782 0.0112306 0.0116665 0.00118054 -0.0111929 -0.0128081 -0.00607905 0.00393329 0.00744272 -0.00108487 -0.000509058 0.000353268 -7.75819e-05 0.000219993 0.00138193 0.00110174 0.00193007 0.005967 0.00273799 0.00283241 0.00105479 -0.00136638 -0.00164211 -0.00230181 -0.00193794 -0.00161468 -0.000601239 0.114041 0.000970637 0.00121226 -0.000567711 0.000539844 -0.000155645 -0.000745663 -0.00111943 -0.00090619 -8.59869e-11 -8.59834e-11 
20.6861 -1.78237e-05 0.00338991 0.00344457 0.0111217 0.0337522 0.00394424 -0.0351056 -0.0046482 -0.00138825 -0.048913 0.0407708 0.0387241 0.00376827 -0.0349043 -0.0405645 -0.0192776 0.0130864 0.025181 -0.00983743 -0.0036959 0.000356342 -0.00303859 -0.00194066 0.00149737 -0.000885575 -0.000453342 0.0168768 0.0020325 0.00665375 0.00253623 -0.00604181 -0.00487864 -0.00610136 -0.00609711 -0.00137448 0.00107687 0.000970637 0.344508 0.011165 -0.0021432 0.00364293 -0.000230766 -0.00352421 -0.00542766 -0.00394059 -4.44216e-10 -4.44199e-10 
-4.66846 -2.49295e-05 0.00178473 0.00182472 0.00337235 0.0195869 0.00130075 -0.0195597 -0.00396811 0.000111745 -0.0321054 0.0201994 0.0183557 0.00183079 -0.0158835 -0.0189222 -0.00922507 0.00596067 0.0121901 -0.00549181 -0.00215905 7.05827e-05 -0.00201803 -0.00152288 1.52385e-05 -0.00150033 -0.00181903 0.00755026 -0.000749237 0.0023823 0.000974407 -0.00324193 -0.00224247 -0.00258079 -0.00284166 0.000225332 0.00116072 0.00121226 0.011165 0.192265 -0.00110341 0.00221846 -6.29585e-05 -0.00197221 -0.00303042 -0.00212154 -2.49447e-10 -2.49438e-10 
11.9502 1.12841e-05 -9.36726e-05 -0.00015604 0.00104289 0.000428309 -0.00246623 0.00417184 0.000902678 -0.000362841 0.00451352 -0.000400926 0.000295401 0.000114024 -0.00065711 -0.000669986 -0.000311283 0.000177431 0.000236067 0.000950219 0.000321118 0.000173108 0.000461553 0.000429521 0.000523982 0.000721789 0.00110561 0.000686333 0.00112248 0.000429016 0.000172315 0.00019839 -0.000146109 -0.000303361 -0.000104102 -0.000675525 -0.000519899 -0.000567711 -0.0021432 -0.00110341 0.152841 -0.000248924 -5.63731e-05 0.000121346 0.000214808 0.000108113 2.18358e-11 2.18351e-11 
-6.65118 -8.60574e-06 0.000494861 0.000619941 0.00145998 3.72916e-05 0.00647049 -0.0108004 -0.000665672 -0.000272192 -0.00699804 0.00538898 0.00496291 0.000792494 -0.00381273 -0.00500246 -0.00281566 0.000991484 0.00282144 -0.00149161 -0.000751776 -0.000201147 -0.000797315 -0.0005449 -0.000149085 -0.000491884 -0.000665984 0.0015068 -0.000201112 0.000916948 0.000251456 -0.000921124 -0.000508914 -0.000618875 -0.000739072 0.000272077 0.000557387 0.000539844 0.00364293 0.00221846 -0.000248924 0.0644276 3.35913e-05 -0.00044313 -0.000746917 -0.000524909 -6.8353e-11 -6.83504e-11 
4.52551 2.91127e-06 5.65975e-05 2.49161e-05 0.00048802 0.00166022 -0.00139542 0.00100889 7.86799e-05 -9.49825e-05 -0.000223124 0.000803947 0.00103151 0.000277104 -0.000868443 -0.00129718 -0.000839011 0.000106797 0.000711263 0.000490817 2.88419e-05 8.9956e-05 8.2982e-05 8.448e-05 0.000198473 0.00018535 0.000317501 0.000696166 0.00037006 0.000257576 0.000113215 -0.000105902 -0.000191119 -0.000264256 -0.000195438 -0.000253074 -0.00014727 -0.000155645 -0.000230766 -6.29585e-05 -5.63731e-05 3.35913e-05 0.107062 -6.82221e-05 -8.72886e-05 -7.54187e-05 -4.93008e-12 -4.92988e-12 
13.6985 1.3727e-05 -0.000305133 -0.000424681 0.00019107 0.000770534 -0.00552751 0.00890002 0.00104364 -0.000165107 0.00689 -0.00282876 -0.00199659 -0.000179405 0.00125966 0.00162243 0.000855767 -0.00044228 -0.00106268 0.00175867 0.000634386 0.000259365 0.000775468 0.00062383 0.000527644 0.000847411 0.00126498 -3.95301e-05 0.00106083 -6.16312e-05 3.59763e-05 0.000580932 8.73222e-05 2.33407e-06 0.000235798 -0.000722605 -0.000716848 -0.000745663 -0.00352421 -0.00197221 0.000121346 -0.00044313 -6.82221e-05 0.0902669 0.000515147 0.000325723 4.96966e-11 4.96948e-11 
19.8802 2.14205e-05 -0.000481203 -0.00062278 0.000589799 -0.00103417 -0.00621356 0.0118867 0.00186724 -0.000407089 0.0118587 -0.00442602 -0.00312418 -0.000364941 0.00186703 0.00268511 0.00158287 -0.000515888 -0.00180714 0.00222243 0.00093287 0.000317893 0.00114128 0.000952674 0.00079646 0.00133929 0.00197415 -0.000282194 0.00171605 2.69749e-05 5.82306e-05 0.00092871 0.000194182 4.70151e-05 0.000394819 -0.00107635 -0.00105406 -0.00111943 -0.00542766 -0.00303042 0.000214808 -0.000746917 -8.72886e-05 0.000515147 0.0804927 0.000541867 7.92093e-11 7.92065e-11 
17.3848 1.79373e-05 -0.000274034 -0.000368231 0.00118336 -0.00077159 -0.00378896 0.00761994 0.00157192 -0.000508595 0.0088639 -0.00215551 -0.00102833 -8.83411e-05 0.000159297 0.000594067 0.000508154 5.24656e-05 -0.000573178 0.00143547 0.00062258 0.000242951 0.000820329 0.000732584 0.000744195 0.00114033 0.00170632 0.000373814 0.00163241 0.000398119 0.000164889 0.000549666 -1.9431e-05 -0.000211968 8.60094e-05 -0.000972904 -0.000833646 -0.00090619 -0.00394059 -0.00212154 0.000108113 -0.000524909 -7.54187e-05 0.000325723 0.000541867 0.090478 5.06016e-11 5.05999e-11 
1.41669e-06 1.71538e-12 -4.26373e-11 -4.99789e-11 5.82925e-11 -3.16919e-10 -2.8723e-10 8.09527e-10 1.73985e-10 -4.33942e-11 1.09406e-09 -3.99666e-10 -2.94847e-10 -4.48912e-11 1.75477e-10 2.78018e-10 1.77366e-10 -3.2754e-11 -1.84277e-10 1.29627e-10 7.30857e-11 1.7068e-11 8.80503e-11 7.598e-11 5.88828e-11 1.08502e-10 1.56606e-10 -6.25526e-11 1.38138e-10 4.35434e-12 1.64146e-12 8.31814e-11 2.67896e-11 1.5448e-11 4.13202e-11 -7.88363e-11 -7.90986e-11 -8.59869e-11 -4.44216e-10 -2.49447e-10 2.18358e-11 -6.8353e-11 -4.93008e-12 4.96966e-11 7.92093e-11 5.06016e-11 3.04572e-16 6.95118e-18 
1.41663e-06 1.71531e-12 -4.26359e-11 -4.99773e-11 5.82869e-11 -3.16903e-10 -2.87226e-10 8.09504e-10 1.73978e-10 -4.33915e-11 1.09402e-09 -3.99655e-10 -2.94841e-10 -4.48899e-11 1.75475e-10 2.78012e-10 1.77361e-10 -3.27551e-11 -1.84273e-10 1.29624e-10 7.30832e-11 1.70675e-11 8.80471e-11 7.5977e-11 5.88799e-11 1.08497e-10 1.56599e-10 -6.25519e-11 1.38131e-10 4.35254e-12 1.64093e-12 8.31786e-11 2.67891e-11 1.54482e-11 4.13193e-11 -7.88327e-11 -7.90955e-11 -8.59834e-11 -4.44199e-10 -2.49438e-10 2.18351e-11 -6.83504e-11 -4.92988e-12 4.96948e-11 7.92065e-11 5.05999e-11 6.95118e-18 3.04572e-16 
*end
