*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
37.3403 -6.05115e-09 4.9267e-06 -0.000335276 0.00115974 -5.36552e-05 2.10531e-05 -5.26714e-05 0.0226473 -0.000949336 -0.00115507 -0.00683802 0.0105156 -0.00146435 0.00283432 -0.000154983 0.000181085 0.00200289 -0.00060826 0.0013029 -0.00016734 -8.32052e-05 0.000900924 0.00124898 0.000235509 0.000992497 0.0012914 0.00058557 0.00123945 0.000363369 0.000782801 0.000830537 0.00103699 0.000830895 0.000493073 0.000595609 0.000325804 0.000506185 0.000659303 0.000841959 0.000817737 0.000487965 0.000511684 0.000213155 0.000252395 0.00017172 0.000332822 -0.000138568 0.00134385 -0.00210683 -0.00143075 
32.0898 5.71334e-09 5.35857e-06 -0.00107981 -0.000742109 -3.65176e-05 1.16446e-06 0.000293351 -0.000949336 0.0291638 -0.0081509 -0.00660957 0.0124666 0.00259058 0.00245304 0.000995401 0.00213264 -0.000741938 0.00124775 0.000349138 0.000810281 0.000213635 0.000922662 0.000650207 0.00163024 0.00201435 0.00132576 0.000971082 0.000989743 0.000894297 0.00106978 0.0011445 0.00137213 0.00097531 0.000811326 0.00063216 0.00062981 0.000680487 0.000981242 0.000943123 0.000953646 0.00063916 0.000472585 0.000279856 0.000726913 0.000394721 0.00162142 -5.87523e-05 -0.000511205 -0.00042832 5.61693e-05 
56.1419 1.35664e-09 -4.2243e-06 -7.85314e-05 -0.000231157 4.52102e-05 9.14013e-06 0.000248938 -0.00115507 -0.0081509 0.065811 -0.0394148 -0.000215154 0.00925883 0.0056312 -8.16803e-05 0.000534841 0.00111421 -0.000703524 0.000545532 0.000982479 0.000336023 0.000624131 -0.000455296 0.00187603 -0.00169372 0.00180534 0.00120839 0.000608015 0.00109273 0.000366705 0.00128396 0.000718211 0.000395341 0.000951112 0.000170133 0.000817513 0.000310633 0.000855086 0.00100708 0.00112739 0.00110605 0.000977037 0.0003022 0.00159843 0.000377735 0.000780563 -3.81198e-06 8.21261e-05 -0.000221893 0.00172326 
115.046 -7.33674e-08 -8.79623e-05 -0.00215344 -0.00455587 -0.000148123 -0.000162154 0.000250702 -0.00683802 -0.00660957 -0.0394148 0.316782 -0.287107 0.0119846 0.083885 -0.00715371 0.00126664 -0.000893683 0.0029486 0.000509534 -0.000464462 0.00314446 -0.00045552 0.00338333 0.000134115 0.00486063 0.000679972 9.16944e-05 0.00528755 -0.00139646 0.00308543 0.00108468 0.00239003 0.00135717 0.00153056 0.00111417 0.00127264 0.00132562 0.00172214 0.00216559 0.00174445 0.00147127 0.00135899 0.00107511 0.00124823 0.0011381 0.000935873 0.000683695 0.00262434 0.000564652 -0.000605494 
106.008 -1.91395e-09 0.000101045 0.00197895 0.00556542 -5.09048e-05 0.000402262 0.000538354 0.0105156 0.0124666 -0.000215154 -0.287107 0.571178 -0.127698 -0.00775715 0.0161538 0.00485997 0.019366 0.00542054 0.00546246 0.00659194 0.00329135 0.00722641 0.00652541 0.0147758 0.0114409 0.0128222 0.0134065 0.00750975 0.0144395 0.0103082 0.0104786 0.012071 0.00973937 0.00580745 0.00734948 0.0048859 0.00781157 0.00929847 0.0101796 0.0105002 0.0082097 0.00736548 0.00703275 0.00528779 0.00370792 0.00675541 0.00319542 -0.00224546 -0.00713876 0.0024813 
-55.434 3.71032e-08 5.85766e-05 0.00146157 0.00715388 -0.000152411 -0.000215301 -0.000388509 -0.00146435 0.00259058 0.00925883 0.0119846 -0.127698 0.193218 -0.101219 0.000995835 0.00476011 -0.00530388 0.00091988 -0.00115541 0.000657945 -0.00158049 -0.0025405 0.00045511 -0.00192059 -0.00303771 5.59245e-05 -0.00441995 0.000119983 -0.0035246 -0.000877079 -0.00272782 -0.00111426 -0.00166731 -0.00130797 -0.000612536 -0.00159795 -0.00107117 -0.00158807 -0.00190371 -0.00155429 -0.00136982 -0.00137078 -0.00125321 -0.000442624 -0.00182257 0.00105393 -0.000789616 0.00130643 0.00560417 -0.00259387 
101.434 -8.48915e-08 -2.50482e-05 -0.00887989 -0.0118577 -0.000256103 0.000165706 0.00204605 0.00283432 0.00245304 0.0056312 0.083885 -0.00775715 -0.101219 0.456239 -0.0329951 0.0022487 0.0296456 0.00918404 0.0126345 0.00985624 0.0149408 0.0116229 0.0179275 0.0243311 0.0231304 0.0266866 0.0242907 0.0211226 0.0245149 0.0222849 0.0217731 0.0239504 0.0191424 0.0127155 0.0135706 0.0115629 0.0147965 0.0189429 0.0212153 0.0205127 0.017393 0.014472 0.0151727 0.0120305 0.0108012 0.0098805 0.00348961 -0.000965047 -0.00629667 -0.00238005 
-57.6408 3.74786e-08 4.12717e-05 0.000904632 0.00137369 0.000108546 1.26011e-05 0.000196999 -0.000154983 0.000995401 -8.16803e-05 -0.00715371 0.0161538 0.000995835 -0.0329951 0.0348603 -0.0025304 -0.00423053 0.0015134 -0.000334632 0.000845725 -0.000682918 0.000874608 2.67046e-05 -0.000450102 0.00185734 -0.000945484 0.00102978 -0.00024081 0.000332635 0.000772905 0.000215474 0.000283037 4.54535e-05 0.000323962 -6.3442e-05 0.000427708 0.000126129 0.000333368 0.000350421 -0.000124308 0.000527978 -6.94832e-05 0.000799391 0.000350091 -0.000241676 0.000989086 -0.000354541 0.000823834 -0.00046899 -0.000645345 
-30.4699 2.77727e-08 2.47807e-05 0.00107273 0.00191479 -3.03983e-05 -1.07664e-05 -4.71461e-05 0.000181085 0.00213264 0.000534841 0.00126664 0.00485997 0.00476011 0.0022487 -0.0025304 0.0279924 -0.0140851 0.00301181 0.0010296 0.00140611 0.00106768 0.000223291 0.00135569 0.00163193 0.00243192 0.00176389 0.00151266 0.00158556 0.00136962 0.0023184 0.0013321 0.00179071 0.00154942 0.00119191 0.000909757 0.00108634 0.00115405 0.00154607 0.00175896 0.00172348 0.00174797 0.00103912 0.00106022 0.00180557 -0.000541764 0.00190544 0.00112269 -0.00221424 0.000227327 -0.00073335 
12.7406 -2.92399e-08 3.43132e-06 -0.00269243 -0.000592039 -9.05721e-05 5.69998e-05 0.00029938 0.00200289 -0.000741938 0.00111421 -0.000893683 0.019366 -0.00530388 0.0296456 -0.00423053 -0.0140851 0.0408034 -0.0122015 0.00291588 0.000459019 0.00193163 0.00154673 0.00169247 0.00253973 0.00318189 0.00368535 0.00189558 0.00401451 0.00223161 0.00257507 0.00265873 0.00298735 0.00220113 0.00128812 0.00190929 0.000934134 0.00175548 0.0020608 0.00228313 0.00253775 0.00163276 0.00192311 0.00126572 0.00128015 0.00139149 0.000254072 0.000884214 0.00366461 -0.00250825 -0.0023268 
