process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].ycs_values{1958} process[Recruitment].ycs_values{1959} process[Recruitment].ycs_values{1960} process[Recruitment].ycs_values{1961} process[Recruitment].ycs_values{1962} process[Recruitment].ycs_values{1963} process[Recruitment].ycs_values{1964} process[Recruitment].ycs_values{1965} process[Recruitment].ycs_values{1966} process[Recruitment].ycs_values{1967} process[Recruitment].ycs_values{1968} process[Recruitment].ycs_values{1969} process[Recruitment].ycs_values{1970} process[Recruitment].ycs_values{1971} process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} parameter_transformation[M_nonspawn_avg_diff].average_parameter parameter_transformation[M_nonspawn_avg_diff].difference_parameter observation[TangaroaAcousticMature].process_error 
299610 0.0853669 0.735258 0.514323 0.293981 0.0190345 0.515637 0.94578 0.999 0.251687 0.256263 0.261698 0.268296 0.276323 0.286361 0.300089 0.707008 0.464017 0.32237 0.231725 0.12143 0.0708351 0.136124 0.0915088 0.0498304 0.0521509 0.107502 0.0430752 0.0337305 0.042266 0.312768 0.304796 0.0779883 0.0275099 0.112475 0.107569 0.0925564 0.23474 0.105181 0.358491 0.0300068 0.2116 2.26862 0.460416 0.218181 0.106325 0.462205 0.299581 0.120961 0.264764 0.160483 0.246235 0.574981 0.338164 0.205854 0.201745 0.256777 1.31409 0.523281 0.152418 0.876062 0.00771912 0.5907 0.094947 0.161979 -0.00906314 0.0001 
covariance_matrix:
-0.000245213 -8.98129e-11 -1.9475e-10 -7.67508e-10 7.99835e-10 5.64464e-11 -1.37096e-10 -3.51076e-10 4.84453e-14 -5.99654e-09 -3.78505e-10 -7.88477e-09 -3.23804e-10 -1.13806e-09 3.3974e-09 1.26274e-08 6.10391e-10 7.36438e-10 2.19329e-09 7.95751e-11 1.07406e-09 4.91675e-11 1.96321e-10 2.12601e-10 1.56486e-10 1.06171e-10 1.98581e-10 9.23968e-11 6.1495e-11 9.49842e-11 5.17435e-10 4.98227e-10 1.99189e-10 -4.27754e-11 2.72599e-10 1.57323e-10 1.08037e-10 2.25526e-10 2.53801e-10 9.07564e-10 4.99525e-11 5.84419e-10 5.12918e-09 1.10855e-09 4.37022e-10 1.75631e-10 8.63278e-10 5.49407e-10 1.4008e-10 3.59563e-10 9.70439e-11 2.98877e-10 8.78675e-10 5.10392e-10 3.17684e-10 3.04787e-10 6.23118e-10 3.54199e-09 1.349e-09 1.95459e-10 1.3187e-09 9.84367e-12 -7.22281e-10 -2.6843e-10 2.23485e-10 2.44657e-12 -6.36505e-18 
800.431 -8.79757e-06 -0.000204222 0.000768685 -0.000557555 -6.64357e-05 -0.000305413 0.000579198 -5.99654e-09 0.0626476 -0.00152605 0.00309867 -0.00104791 -0.000645534 -0.00202226 -0.00866207 -0.00249383 -0.00100253 -0.000273002 -0.00103438 0.000130255 4.70829e-05 -3.44295e-05 4.08208e-06 -7.94102e-05 2.80904e-05 -9.83993e-05 -5.4531e-05 -5.45643e-05 -3.70536e-05 -0.000329275 -0.000316954 -0.000202346 -4.01564e-05 -0.000300427 -0.000156738 -0.000271725 -0.000309452 -7.91721e-05 3.3243e-05 2.48238e-05 8.38143e-06 0.000255123 1.08031e-05 1.47631e-05 -5.00318e-05 -0.000230359 -0.000216502 -5.10033e-05 -0.000332772 -7.25101e-05 -0.000147529 -0.000335894 -0.000145254 -9.85705e-05 -5.39781e-05 -3.59982e-05 0.000485594 8.94728e-05 0.000117043 0.00106925 -3.01997e-06 0.000965971 0.000559756 0.000359219 -3.45789e-05 6.88376e-13 
488.147 -6.30712e-05 3.79686e-05 -8.43664e-05 -0.00202205 -2.02161e-05 1.10104e-05 4.4002e-05 -3.78505e-10 -0.00152605 0.0686745 -0.0017801 -0.00222994 -0.00355853 -0.00346122 -0.0030923 -0.00397827 -0.000259448 0.000186093 0.000942574 8.75377e-05 0.000124229 0.000439695 0.000204203 7.12441e-05 0.000106873 0.000203491 6.27887e-05 5.12614e-05 6.00637e-05 0.000487233 0.000474328 7.55559e-05 1.77505e-05 7.91243e-05 5.40987e-05 1.21419e-05 0.000142338 7.24586e-06 1.82444e-05 1.01699e-05 0.000233176 0.00366044 0.000637739 0.00026555 0.000160904 0.000684272 0.000532705 0.000203365 0.000436737 0.000298789 0.000477283 0.00115639 0.000629881 0.000416322 0.000377382 0.000485035 0.00218577 0.000677586 0.000190933 0.000716829 -5.14254e-06 -1.37534e-05 0.000147329 0.000409474 -8.09204e-06 1.36907e-13 
393.294 -7.14819e-05 -0.000437458 -0.00168672 0.00295156 -7.64137e-05 5.62177e-05 0.000929597 -7.88477e-09 0.00309867 -0.0017801 0.0732106 -0.00231518 0.000460132 -0.0048211 -0.00683818 -0.000402294 -0.00214343 -0.000683384 0.000104316 0.000192606 1.33831e-05 -0.000115139 8.67366e-05 -9.51906e-06 -3.73808e-05 4.73101e-06 -2.65631e-05 2.78254e-05 6.82104e-06 -0.000149572 -0.000443938 -0.000142711 8.6695e-05 -9.92001e-05 -0.000189513 -0.000132094 -0.000576439 -0.000207321 -0.000390447 -2.84776e-05 0.000151475 0.00140508 -2.20704e-05 -2.12561e-05 8.69841e-06 -1.56458e-05 -0.000200717 -9.30369e-05 -0.000130305 -1.01307e-06 1.4453e-06 -0.000436325 -0.000146617 -0.000168292 -0.000250414 -0.000300245 -0.00178454 -0.0010266 -0.000209645 -0.00172255 4.7034e-06 -0.00132267 -0.000625532 0.000642588 9.91691e-05 1.10193e-12 
464.914 -0.000105802 -0.000571102 -0.000823076 0.00572229 -9.2068e-06 -0.000240194 0.000309357 -3.23804e-10 -0.00104791 -0.00222994 -0.00231518 0.075338 -0.00947173 0.00248361 -0.00218954 -0.0101439 0.00113674 -0.000169446 -0.000178321 -0.00058763 0.000504764 0.000522944 0.000280424 6.49344e-05 0.000194519 0.00031755 7.54651e-05 7.46082e-05 8.30742e-05 0.000702579 0.00081484 0.000126938 5.89133e-05 0.000114177 0.000104611 -4.46704e-05 0.00044326 0.000139199 0.000470792 0.000102031 0.000650155 0.00871605 0.00127661 0.000862189 0.000344488 0.00145213 0.000771172 0.000405139 0.000787415 0.000525731 0.000810408 0.00163881 0.000901379 0.00047102 0.000536366 0.000692818 0.00286681 0.00133636 0.00028143 0.00244989 -1.78042e-05 0.00276309 0.00103814 0.000447148 2.70169e-05 5.56883e-13 
163.791 -1.28737e-05 2.66772e-05 9.07547e-05 -0.00289773 -3.13603e-05 -0.000260753 0.000608082 -1.13806e-09 -0.000645534 -0.00355853 0.000460132 -0.00947173 0.0755943 -0.00349535 -0.00682036 -0.011489 0.00361254 0.0022183 0.000380968 0.00105807 0.000345882 0.00063997 0.00044446 0.000207241 0.000154429 0.000352759 0.000204381 0.000126371 0.000150975 0.00128481 0.00118379 0.000335551 8.01446e-05 0.000379493 0.000427647 0.00043802 0.000863073 0.000383687 0.00148206 0.0001008 0.00103547 0.010009 0.00235958 0.00111506 0.000476636 0.00222317 0.00130526 0.000407269 0.00114828 0.000688808 0.00123297 0.00260272 0.00155408 0.000921862 0.00077918 0.00121898 0.00546277 0.00224291 0.000405686 0.00373691 2.36417e-06 0.00274842 0.000170414 0.000425715 -2.46358e-05 -3.03015e-13 
-53.9661 -0.000248949 -0.000612361 0.000118752 -0.00132866 -2.87571e-05 -0.000325474 -2.23829e-05 3.3974e-09 -0.00202226 -0.00346122 -0.0048211 0.00248361 -0.00349535 0.0810184 -0.00703538 -0.00791905 0.00177518 0.0021141 0.000496636 0.000272157 0.000277125 0.000692292 0.000461476 0.000263569 0.000267796 0.000554088 0.000194646 8.49363e-05 0.00025205 0.00150191 0.00152354 0.000287625 4.49016e-05 0.000333497 0.000389059 0.000114363 0.00096338 0.000484208 0.00174057 0.00018217 0.00127415 0.0146078 0.00271947 0.00101497 0.000433923 0.00254916 0.00157874 0.000504754 0.00121047 0.000702634 0.00126519 0.00268727 0.00153036 0.00118952 0.000899112 0.00154814 0.00650349 0.00273874 0.000820034 0.00425817 -7.74317e-06 0.0021715 0.000738053 0.000870748 3.62e-05 -4.50879e-13 
-721.982 -0.000314768 -0.00148593 -0.00219191 0.00113661 2.02539e-05 -0.000701497 -0.00107156 1.26274e-08 -0.00866207 -0.0030923 -0.00683818 -0.00218954 -0.00682036 -0.00703538 0.103326 -0.0149511 0.00188337 0.00422775 0.00171318 0.0022856 0.000297985 0.0010823 0.000556247 0.00036904 0.000154512 0.000425378 0.000196314 0.000176016 0.000244691 0.00102253 0.000555532 0.000248145 -1.53546e-06 0.000226079 6.76293e-05 5.41275e-05 -0.0003027 0.000180026 0.00106723 5.34542e-05 0.00119496 0.0109728 0.00221499 0.000722558 0.000398167 0.0018818 0.000820223 0.000274806 0.000713448 0.000202007 0.000563543 0.00172529 0.00105032 0.000648896 0.000683122 0.00134198 0.00649058 0.00272654 0.000432175 0.00274308 1.74227e-05 -3.08958e-05 -0.000544787 0.00152988 0.000104229 -1.80414e-12 
-2011.4 -0.000854179 -0.00384321 -0.000425806 -0.0140626 -0.000146388 -0.00204621 0.00136648 6.10391e-10 -0.00249383 -0.00397827 -0.000402294 -0.0101439 -0.011489 -0.00791905 -0.0149511 0.243663 -0.00227745 0.00804298 0.00520482 0.00297751 0.00104107 0.00280125 0.00193004 0.000845839 0.000956741 0.0019159 0.000616961 0.000573021 0.000642366 0.00440704 0.00326699 0.000711157 0.000191197 0.000678195 0.0005277 0.000492798 0.00121821 0.000761545 0.00428237 0.000440537 0.00402187 0.0477488 0.00845184 0.00325423 0.0018429 0.00754949 0.005267 0.00190014 0.00415875 0.00217988 0.00376825 0.0091943 0.0053733 0.00304084 0.00310363 0.00378029 0.0216796 0.00728188 0.00194412 0.0108814 -4.11906e-06 0.0057315 0.000706742 0.00467067 6.39074e-05 -5.75317e-13 
-758.793 -0.00030712 -0.00132368 -0.000206506 -0.00191577 -9.83673e-06 -0.00067694 3.71383e-05 7.36438e-10 -0.00100253 -0.000259448 -0.00214343 0.00113674 0.00361254 0.00177518 0.00188337 -0.00227745 0.0738181 0.00471523 0.000856812 0.00147761 0.000332122 0.00124212 0.000841957 0.000374314 0.000382692 0.000636142 0.000322077 0.000193095 0.000251785 0.00201544 0.00167001 0.000362887 4.96291e-05 0.000383637 0.000318333 0.000222655 0.000562486 0.000435206 0.00167287 0.000166411 0.00182374 0.0215804 0.0035984 0.00145191 0.00083703 0.00345473 0.00230233 0.000843727 0.00177658 0.00100393 0.0017569 0.00439033 0.00257198 0.00153408 0.0015092 0.00149399 0.00979289 0.00326307 0.000856552 0.00515072 -2.78778e-06 0.00381318 0.000194984 0.00174167 -9.66862e-06 -9.38778e-14 
