* MPD
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14199.6 47.3306 0.0597765 3.03959 0.19191 3.3145 1.03325 0.235225 0.232175 0.233214 0.24199 0.264644 0.314841 0.416172 0.601743 0.902116 1.37833 1.56001 1.02891 0.847878 0.846852 1.06536 1.54897 1.05327 0.803063 0.816688 0.628379 0.802062 0.745814 0.467129 1.09423 0.921275 0.384129 0.905891 0.709813 0.835569 0.426295 1.28746 0.690332 0.736378 0.561556 0.439783 
covariance_matrix:
1.67446 -0.000343441 3.54317e-06 989.708 4798.04 -0.000394544 -0.000741274 -4.37348e-05 0.00824726 -4.61659e-05 -5.08428e-05 -6.26682e-05 -9.38459e-05 -0.000167285 -0.000267879 -9.92172e-05 0.00176115 0.00476389 0.000706691 0.000668235 0.000754402 0.00102474 0.00459629 0.000978582 0.000739328 0.000905617 0.000561533 0.000909515 0.000870778 0.000505235 0.00166032 0.00145034 0.000563913 0.0013574 0.000908166 0.00109884 0.000568386 0.00191549 0.00101181 0.00112043 0.00082471 0.000543708 
1.6436 -0.0011352 1.70728e-05 1043.32 5057.97 -0.000398082 -0.00072397 -4.53804e-05 -4.61659e-05 0.00833617 -5.48656e-05 -6.99333e-05 -0.000110411 -0.000210118 -0.000365006 -0.000251787 0.00168595 0.00501552 0.000692754 0.000662306 0.000772326 0.00108051 0.00463191 0.000962027 0.000744969 0.000930374 0.000585277 0.000953357 0.000909665 0.00051546 0.00163408 0.00141255 0.000563546 0.00139672 0.000920162 0.00111137 0.000575395 0.00194651 0.00102976 0.00115388 0.000861084 0.00056785 
1.84307 -0.00251899 3.59945e-05 1133.98 5497.45 -0.000408031 -0.000707559 -4.98042e-05 -5.08428e-05 -5.48656e-05 0.00913297 -8.82222e-05 -0.000148293 -0.000298114 -0.000559746 -0.000577145 0.00148105 0.00562899 0.000686136 0.000662353 0.000814133 0.00119236 0.00478255 0.00095335 0.000769353 0.000991134 0.0006376 0.00104777 0.000995671 0.00054428 0.00162306 0.00137387 0.000573194 0.00149137 0.000959803 0.00115464 0.00059833 0.00203607 0.00107991 0.00123251 0.000939917 0.000620412 
2.41531 -0.00517738 6.38791e-05 1297.58 6290.56 -0.000428175 -0.000685081 -6.00763e-05 -6.26682e-05 -6.99333e-05 -8.82222e-05 0.0113985 -0.000232665 -0.000490342 -0.00097454 -0.00130768 0.000765674 0.00705946 0.00072092 0.000680248 0.000904337 0.00141534 0.00513556 0.000956905 0.000830799 0.00112477 0.000748208 0.00124575 0.00117846 0.000610486 0.0016348 0.00132234 0.000600024 0.00169548 0.00105272 0.00125606 0.00065101 0.00223546 0.00119022 0.00139778 0.00110236 0.000728876 
3.51801 -0.0101128 0.000106761 1563.63 7580.35 -0.000461201 -0.000649625 -8.54765e-05 -9.38459e-05 -0.000110411 -0.000148293 -0.000232665 0.0175422 -0.000981676 -0.00205942 -0.0032302 -0.00178368 0.0104288 0.000992106 0.000799259 0.00111002 0.00184233 0.00591493 0.00102354 0.000990482 0.00143047 0.000991123 0.00167242 0.0015714 0.00076161 0.00173598 0.00128337 0.000670335 0.00212954 0.00126969 0.00149244 0.000769423 0.00266681 0.00142329 0.00172856 0.00141978 0.000940889 
4.92584 -0.0180046 0.000168819 1891.55 9170.1 -0.000502045 -0.000607122 -0.000141658 -0.000167285 -0.000210118 -0.000298114 -0.000490342 -0.000981676 0.0353386 -0.00522191 -0.00949182 -0.0116462 0.0185267 0.00219533 0.0013931 0.00165421 0.00261927 0.00754676 0.0013446 0.00141469 0.00213638 0.00152332 0.00257805 0.00239347 0.0011009 0.0021723 0.00142819 0.000858862 0.0030228 0.00177646 0.00204726 0.00103516 0.00358584 0.00190214 0.00234881 0.00198526 0.00131919 
5.6487 -0.0288279 0.000250599 2075.96 10064.1 -0.00050825 -0.000531749 -0.000211511 -0.000267879 -0.000365006 -0.000559746 -0.00097454 -0.00205942 -0.00522191 0.0926546 -0.0301828 -0.057396 0.0374502 0.00631479 0.00369078 0.00344385 0.00435986 0.0103412 0.00223707 0.00241605 0.00366842 0.00263068 0.00439989 0.00401352 0.00180898 0.00344446 0.00213498 0.00130399 0.00474161 0.00287344 0.00325694 0.00159258 0.00542803 0.00282942 0.00343539 0.00291225 0.00194657 
4.8049 -0.039729 0.000341091 1560.12 7563.35 -0.000312415 -0.000183285 -1.15072e-05 -9.92172e-05 -0.000251787 -0.000577145 -0.00130768 -0.0032302 -0.00949182 -0.0301828 0.302315 -0.255422 0.0215521 0.0234378 0.0123991 0.0103193 0.0112583 0.0134046 0.00280035 0.00395508 0.00628976 0.0045448 0.00745646 0.00664943 0.00299836 0.00600945 0.00379906 0.00210147 0.00743 0.00478775 0.00539663 0.00255136 0.00850999 0.00435308 0.00508058 0.00422626 0.00288296 
8.9828 -0.0793296 0.000736767 1044.29 5062.67 0.000387753 0.00178099 0.00182746 0.00176115 0.00168595 0.00148105 0.000765674 -0.00178368 -0.0116462 -0.057396 -0.255422 1.31554 -1.07939 0.0792055 0.0604052 0.0464577 0.0587225 0.0400854 -0.00992706 0.00297125 0.0111549 0.00952779 0.015984 0.0139793 0.00614469 0.0119597 0.00729218 0.00406899 0.0148271 0.00985659 0.011189 0.00521835 0.0174514 0.00896215 0.0104991 0.00879612 0.00625845 
-43.8385 0.127155 -0.00108072 -12893.8 -62508.3 0.00148866 -0.00215032 0.00463698 0.00476389 0.00501552 0.00562899 0.00705946 0.0104288 0.0185267 0.0374502 0.0215521 -1.07939 1.79562 -0.457354 -0.138005 -0.0597718 -0.0442473 0.150557 0.0327134 0.0137652 0.0146744 0.0104639 0.0178386 0.0161217 0.00968138 0.0368768 0.0321105 0.00979946 0.0189191 0.0179393 0.0211841 0.00946247 0.0287185 0.0138484 0.011315 0.00584795 0.00477578 
