process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
310422 0.0910179 0.125984 12.985 0.127973 0.447102 0.353746 4.87627 1.77034 0.601866 5.60779 2.21422 5.63959 2.29789 0.933191 6.05835 2.73861 8.40246 1.94745 200 1.02089 8.73952 2.08858 40.5571 8.61126 4.59623 0.270055 9.53351 3.69078 14.0488 10.0278 1.17489 9.71474 2.89675 0.466413 0.450209 0.564504 0.566889 0.490794 0.567114 0.578594 0.71085 0.636208 0.807957 0.469275 0.707035 0.410416 0.514556 0.342118 0.347284 0.438271 0.475037 0.451371 0.49483 0.470741 0.804914 0.792144 0.831131 0.712527 0.554297 0.476855 0.461422 0.554454 0.542095 0.482653 0.549962 0.615809 0.774659 0.630547 0.773471 0.639298 0.699373 0.648726 0.506248 0.587382 0.589123 0.574497 
covariance_matrix:
780.681 -0.000284488 -0.000280003 0.092807 0.000765416 -0.00998968 0.000568683 0.011904 0.0438406 0.00151633 -0.0015008 0.0127161 -0.00104971 0.011832 -0.000108861 0.00253379 0.0190741 0.0113823 0.00785871 -0.00133536 0.00120269 0.00655715 0.00598183 0.396544 0.0743192 0.110709 0.00226824 0.0107371 0.0111457 -0.00304376 -0.0278003 -0.000752748 0.00925857 0.00687259 -0.00136845 0.00141185 0.000671405 0.00073472 6.78766e-05 0.000460497 -0.00016594 0.00206769 -0.0014877 -0.000518091 -0.000676772 -0.00148085 -0.000231713 -0.000269824 0.000512101 0.000602301 0.000109338 -1.85349e-05 -0.000199386 -5.17782e-05 -0.000235054 -0.000577421 -0.000219852 0.000163758 0.000515311 -5.33051e-05 0.000322827 0.000260068 0.000307695 0.000782445 0.000407408 0.000693269 0.000221828 0.000291068 0.000834542 0.00173625 0.000534141 0.0015603 0.00175843 0.00156734 -0.000257215 -0.000768389 -0.000742043 
12.6787 -7.0518e-05 -1.95533e-05 0.00125432 5.87995e-05 -0.00147838 -5.44098e-05 -0.00045902 0.00151633 0.0015566 -0.00445224 -0.00138332 -0.00246237 0.000523874 -2.3882e-05 -0.00205903 0.00159511 -0.000974572 0.000284163 0.000196791 0.000367709 -8.57224e-05 0.000890704 0.00235662 0.0116403 0.021611 0.000524279 -6.50193e-05 0.00173373 0.00765158 0.0100493 0.00117466 -7.35544e-05 0.00139766 8.59266e-05 -9.74575e-05 3.5897e-05 -0.000169991 -0.000116357 -8.94005e-05 -0.00035575 0.000164747 -0.000361009 -0.000259121 -2.13869e-05 -0.000217466 1.71934e-05 -9.2165e-05 -8.1318e-05 -9.34737e-05 -5.9849e-05 -6.17683e-05 -6.48967e-05 -0.000157407 -4.97466e-05 -0.000193527 -9.50612e-05 -0.000232665 -0.000150976 -7.52523e-05 -5.50523e-05 -8.7659e-05 -7.73482e-05 -7.99735e-05 -6.7322e-05 -7.70146e-05 -8.25115e-05 -6.09699e-05 -9.05179e-05 -1.62889e-05 2.70892e-06 1.4743e-05 6.68308e-05 8.40531e-05 0.000340615 1.38035e-05 0.000424119 
1291.76 -6.48881e-05 -0.000357348 -0.177279 -0.00229259 0.0496724 0.000475727 0.0738987 -0.0015008 -0.00445224 0.0865961 -0.00114633 0.0526051 -0.0322365 -0.00113951 0.0457084 -0.0565464 0.0067412 -0.0187758 0.00189014 -0.00396608 0.00375575 -0.0241778 -2.26758 -0.340989 -0.616419 -0.0116223 -0.0333877 -0.0680799 -0.178345 -0.214231 -0.0218864 -0.0194087 -0.0429175 -0.00216534 -0.000864822 -0.00171899 0.00117708 0.000249185 -0.00100108 0.00387092 -0.000373271 0.00389353 0.00269348 0.00159293 0.00113943 0.000495633 -0.000674978 -5.37756e-05 0.000949518 0.000218257 -0.000763642 -0.00146807 0.00054614 -0.000188912 0.00063016 -0.00151724 0.000583708 0.000199628 2.87963e-05 -0.000387983 -0.000381341 -0.000718712 -0.00112042 -0.000367429 5.77276e-05 0.000242619 -0.000522547 0.000369618 0.00144633 -5.34676e-05 -0.00098059 0.0010236 -0.00129867 0.00167454 -0.00283727 -0.00304365 
93.822 2.29288e-05 -4.85563e-05 0.250674 0.00211146 -0.0340408 0.00123826 -0.0339668 0.0127161 -0.00138332 -0.00114633 0.068924 -0.0150963 0.0342556 3.65348e-05 -0.0078645 0.049188 0.0173587 0.0194348 -0.00525594 0.00248534 0.011353 0.0180389 2.17387 0.249858 0.404231 0.00756524 0.0301929 0.0373368 0.0166849 -0.0148536 -0.000816247 0.0240711 0.0231337 -0.000168402 0.000165596 0.000983552 0.000967905 0.00136049 0.00327962 0.000613966 0.00178866 -0.000306442 -0.000741586 -0.00150859 -0.000636707 -0.000635977 0.00104267 0.000756047 0.000710655 0.000300624 0.000253807 0.00106863 -0.000362317 0.000340111 -0.00113968 0.0014142 0.000838826 0.000785551 0.000115603 0.000711373 0.000521975 0.00119258 0.00129553 0.00112531 0.000469146 0.000130634 7.59651e-05 0.000589329 -0.00065549 0.000683316 0.00153249 0.0020459 0.000973307 -0.00350592 0.00105985 -0.00271534 
3383.09 -0.0010761 -0.00146902 -0.109501 -0.00133061 0.0372069 0.000848161 0.0568773 -0.00104971 -0.00246237 0.0526051 -0.0150963 0.169374 0.0844403 0.0144496 0.0539585 -0.0287803 0.0193032 -0.0075626 -0.0159533 -0.00104604 0.00676008 -0.0169351 -2.99003 -0.222969 -0.401735 -0.0092647 -0.0112202 -0.0382826 -0.08407 -0.114266 -0.00942475 -0.0042585 -0.013992 0.00316876 -0.00210678 0.00122343 0.00261197 0.000934285 -0.00234692 0.00729656 -0.00179591 0.00524287 0.00111031 0.00204952 0.000681149 0.000575485 0.00160533 0.00170952 0.00189541 0.00137217 0.0016128 0.00222132 0.00382946 0.00218334 0.00456669 0.00134383 0.00301004 0.00263515 0.00132074 0.00153899 0.000264635 0.00099351 0.000438746 0.000729389 0.000830824 0.000852659 0.000704392 0.000579045 0.00174973 0.00049558 -0.000727044 0.00240272 -0.00115014 0.00357516 0.00145246 -0.00234984 
1971.57 -0.000865973 -0.000845272 0.282362 0.00281029 -0.0424734 0.00196491 -0.0465805 0.011832 0.000523874 -0.0322365 0.0342556 0.0844403 0.23678 0.0130371 -0.00240704 0.0797454 0.0325721 0.0305116 -0.0248961 0.00467719 0.0116913 0.0217619 0.950615 0.355303 0.603222 0.00926476 0.0528756 0.0665241 0.177481 0.157066 0.0215231 0.0366267 0.0493796 0.00680129 -0.00184497 0.00622639 0.00247433 0.00230083 0.00150287 0.00702699 0.000394433 0.00258412 -0.0021971 0.000501854 0.000140161 0.000641316 0.00414275 0.00278208 0.00148375 0.00149117 0.00363792 0.00568451 0.00327583 0.00175503 0.00369485 0.00372425 0.00483267 0.00412411 0.00265036 0.00320896 0.00217714 0.00396407 0.00380855 0.00316809 0.00300975 0.00206322 0.00380152 0.00254181 0.00268868 0.00345949 0.00473048 0.00556109 0.00278741 0.0017521 0.00889087 -0.00157027 
-573.07 0.000206038 -0.000844389 -0.00401449 -2.56642e-05 -0.000447067 -0.000294612 -0.00137466 -0.000108861 -2.3882e-05 -0.00113951 3.65348e-05 0.0144496 0.0130371 0.0167793 -0.0281515 -0.0228549 -0.00172297 -0.000739906 -0.00309675 0.000648667 0.00116101 0.00123635 0.260697 -0.00390769 -0.00321444 -0.000353955 0.00272178 0.0059471 -0.0105435 0.000960506 -0.000655351 0.000527794 0.00314382 0.000402271 -5.71699e-05 -0.000523005 0.000158185 -0.00017538 -0.000340817 -7.1853e-05 -0.000441325 -0.000169163 -5.85794e-06 8.87216e-05 7.03089e-05 -0.000141667 -2.07721e-05 -9.60867e-05 -3.56539e-05 -3.21473e-05 -0.000551684 0.000317221 -0.000543762 -0.000150362 -0.000441071 -0.000473432 -0.000471701 -0.000296248 -0.000509433 -9.71257e-05 -0.000422897 -0.000418182 -0.000449331 -0.000433528 -0.000682117 -0.000353305 -0.000865687 -0.000695525 -0.000790898 -0.000407082 -0.00064301 -0.000672254 -0.000728712 -0.000840662 -0.00121847 0.000508893 
3923.93 -0.00138042 0.00129638 -0.0560447 -0.000441188 0.0281406 0.000204596 0.0481489 0.00253379 -0.00205903 0.0457084 -0.0078645 0.0539585 -0.00240704 -0.0281515 0.232502 0.150134 0.0287567 0.000833396 0.00395428 -0.000104432 0.00540442 -0.0139243 -1.57559 -0.102431 -0.215971 -0.0044852 -0.00993384 -0.0406993 0.00641474 -0.0736679 0.000419615 0.00741541 0.00222791 0.00102611 0.00169698 0.00106952 0.00324356 -0.000813113 -9.60552e-05 0.00416939 0.00124629 0.00184791 0.000146826 0.000558988 -9.31982e-05 0.000867741 0.00148665 0.0016259 0.00164738 0.00112574 0.00325186 0.00118733 0.00486485 0.00154929 0.00391228 0.00120805 0.00239331 0.00172143 0.00168899 0.000734934 0.000442459 0.00118251 0.000364207 0.00104813 0.00138207 -0.000195845 0.000972283 0.00108223 0.00122353 0.000368404 -0.00138447 0.00431617 -0.00121936 0.00279415 -6.04253e-05 -0.000976847 
1057.22 -0.00074522 0.00188396 0.391635 0.00459043 -0.0663626 0.000489824 -0.0755481 0.0190741 0.00159511 -0.0565464 0.049188 -0.0287803 0.0797454 -0.0228549 0.150134 0.387124 0.0380767 0.0424992 -0.00022169 0.00881561 0.0105859 0.0324652 4.43795 0.598153 0.995312 0.0186029 0.0571801 0.075999 0.228586 0.162149 0.025636 0.0564273 0.0839219 0.00606684 0.00311436 0.00605669 0.00405866 -0.000225585 0.00511887 0.00133869 0.00528281 -0.00291892 -0.00287585 -0.0012968 -0.000535584 0.000779257 0.00439968 0.00247403 0.0011461 0.000923673 0.00466297 0.00470354 0.00340527 -0.000423782 0.00180375 0.00179241 0.00254 0.00207397 0.00162674 0.00193119 0.0013172 0.00308983 0.00279332 0.0024004 0.00194709 -0.000587766 0.00163889 0.00100981 -0.000368337 0.002404 0.00224898 0.00598772 0.00157318 -0.00226756 0.00394313 0.000669428 
412.774 -7.23937e-05 0.000113657 0.16611 0.000971834 -0.0109124 0.0010686 -0.00108554 0.0113823 -0.000974572 0.0067412 0.0173587 0.0193032 0.0325721 -0.00172297 0.0287567 0.0380767 0.15302 0.0777276 0.0010537 0.0128325 0.0302263 0.016631 1.60878 0.152481 0.205064 0.00522276 0.0173617 0.0120311 -0.0148848 -0.0653118 0.000501405 0.0236246 0.0252848 0.00212391 0.00500654 0.00262799 0.00129613 0.00273891 0.000991759 0.00214939 0.00309805 0.00168545 0.0011868 0.000146318 0.000902405 2.96584e-05 0.00145915 0.000504092 0.000937975 0.00124366 0.00159617 0.00238159 0.0016666 -0.000331277 0.00193536 0.000493494 0.00232731 0.00204966 0.00175074 0.00177826 0.000493466 0.00167324 0.0018426 0.00207542 0.0016048 0.00137189 0.0023526 0.00209682 0.0025829 0.00458925 0.00581045 0.00616521 0.00334576 -0.000372135 -9.81692e-05 0.00391527 
